z_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_z_mean,current_z_std
5.00000000e-02,2.80103658e-03,2.16684607e-05,0.00000000e+00,0.00000000e+00,5.68043765e-04,1.42275470e-05,6.55625960e-03,2.29020037e-05,4.75211982e+00,2.14016808e-02,2.06952438e+04,1.19774570e+02,3.19308952e-03,2.91351519e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-01,2.79520511e-03,2.10125935e-05,0.00000000e+00,0.00000000e+00,5.70638439e-04,1.32607154e-05,6.52586363e-03,2.55571821e-05,4.74657693e+00,2.19512144e-02,2.06534495e+04,1.16767508e+02,3.19064006e-03,2.78487448e-05,0.00000000e+00,0.00000000e+00,1.15452600e+01,5.11083992e-02
2.50000000e-01,2.79545230e-03,2.14313035e-05,0.00000000e+00,0.00000000e+00,5.81186130e-04,1.19042400e-05,6.52234398e-03,3.88155068e-05,4.74916960e+00,2.17267464e-02,2.06551393e+04,1.16333370e+02,3.20111503e-03,2.53612378e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e-01,2.79378804e-03,2.07309523e-05,0.00000000e+00,0.00000000e+00,5.82904002e-04,1.34945096e-05,6.45693878e-03,2.90109211e-05,4.74359522e+00,2.18575222e-02,2.06234963e+04,1.13232781e+02,3.20318396e-03,2.67054579e-05,0.00000000e+00,0.00000000e+00,1.15392800e+01,5.09105829e-02
4.50000000e-01,2.79038808e-03,2.06963386e-05,0.00000000e+00,0.00000000e+00,5.82923249e-04,9.15468580e-06,6.37877511e-03,2.42296669e-05,4.74115684e+00,2.19636929e-02,2.05625193e+04,1.11951774e+02,3.20163488e-03,2.38405175e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.50000000e-01,2.79365530e-03,2.10505202e-05,0.00000000e+00,0.00000000e+00,5.76891061e-04,9.06405065e-06,6.35827572e-03,2.61409093e-05,4.74798450e+00,2.25980769e-02,2.05931430e+04,1.13489840e+02,3.19889687e-03,2.40807868e-05,0.00000000e+00,0.00000000e+00,1.15346800e+01,5.09772460e-02
6.50000000e-01,2.78682045e-03,2.12959955e-05,0.00000000e+00,0.00000000e+00,5.74254021e-04,8.19312549e-06,6.33202943e-03,2.75393261e-05,4.73907148e+00,2.24801138e-02,2.05543383e+04,1.15198536e+02,3.18944007e-03,2.46528310e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.50000000e-01,2.78443853e-03,1.95684691e-05,0.00000000e+00,0.00000000e+00,5.83268337e-04,8.97886917e-06,6.28999245e-03,2.64593094e-05,4.73973317e+00,2.11254801e-02,2.05435043e+04,1.07354717e+02,3.19715466e-03,2.29149823e-05,0.00000000e+00,0.00000000e+00,1.15198000e+01,5.00606004e-02
8.50000000e-01,2.78985854e-03,1.97078144e-05,0.00000000e+00,0.00000000e+00,5.83498743e-04,9.28573761e-06,6.29551017e-03,3.65786643e-05,4.74394648e+00,1.99292384e-02,2.05756344e+04,1.09544577e+02,3.20231933e-03,2.22027897e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.50000000e-01,2.77687696e-03,1.87737630e-05,0.00000000e+00,0.00000000e+00,5.79800676e-04,9.47225500e-06,6.21300260e-03,2.40624953e-05,4.73028598e+00,1.96244915e-02,2.04675475e+04,9.99091902e+01,3.18844634e-03,2.07054104e-05,0.00000000e+00,0.00000000e+00,1.15180000e+01,4.99111949e-02
