nuclide,atoms
U234,3.402211e+19
U235,2.190138e+22
U236,2.941502e+22
U238,4.753089e+24
Np237,4.660640e+21
Pu238,3.157878e+21
Pu239,3.605239e+22
Pu240,1.733756e+22
Pu241,1.170352e+22
Pu242,6.969874e+21
Am241,3.329541e+20
Am242_m1,4.878425e+18
Am243,1.924108e+21
Cm242,1.997243e+20
Cm243,8.967940e+18
Cm244,1.454779e+21
Cm245,1.551423e+20
Sm149,2.510826e+19
Sm151,1.526088e+20
Gd155,1.211580e+18
Gd157,2.273731e+18
Rh103,8.501151e+21
Nd143,1.031192e+22
Nd145,9.617360e+21
Cs133,1.741587e+22
Eu151,1.394493e+17
Eu153,1.709476e+21
Ag109,1.803023e+21
Mo95,1.550175e+22
Mo97,1.897145e+22
Mo98,1.962708e+22
Mo100,2.199087e+22
Xe126,4.158941e+15
Xe128,9.910164e+19
Xe130,1.887698e+20
Xe131,5.917588e+21
Xe132,2.139317e+22
Xe134,2.647025e+22
Xe135,2.011122e+18
Xe136,4.038662e+22
Kr80,1.239471e+16
Kr82,3.017474e+19
Kr83,8.991012e+20
Kr84,2.945536e+21
Kr86,4.349529e+21
Cs135,6.665419e+21
Cs137,2.057229e+22
Ba138,2.183593e+22
La139,2.008816e+22
Ce140,1.994960e+22
Ce142,1.811901e+22
Tc99,1.697597e+22
Pr141,1.740251e+22
Ru101,1.756075e+22
Ru102,1.998773e+22
Nd144,1.868575e+22
Nd146,1.194903e+22
Y89,1.021144e+22
Sr88,7.966273e+21
Sr90,1.209984e+22
