nuclide,atoms_initial,atoms_final,delta_atoms
As60,0.0,0.0,0.0
As61,0.0,0.0,0.0
As62,0.0,0.0,0.0
As63,0.0,0.0,0.0
As64,0.0,0.0,0.0
As65,0.0,0.0,0.0
As66,0.0,0.0,0.0
As67,0.0,0.0,0.0
As68,0.0,0.0,0.0
As69,0.0,0.0,0.0
As70,0.0,0.0,0.0
As71,0.0,0.0,0.0
As72,0.0,0.0,0.0
As73,0.0,0.0,0.0
As74,0.0,0.0,0.0
As75,0.0,0.0,0.0
As75_m1,0.0,0.0,0.0
As76,0.0,0.0,0.0
As77,0.0,0.0,0.0
As78,0.0,0.0,0.0
As79,0.0,0.0,0.0
As80,0.0,0.0,0.0
As81,0.0,0.0,0.0
As82,0.0,0.0,0.0
As82_m1,0.0,0.0,0.0
As83,0.0,0.0,0.0
As84,0.0,0.0,0.0
As85,0.0,0.0,0.0
As86,0.0,0.0,0.0
As87,0.0,0.0,0.0
As88,0.0,0.0,0.0
As89,0.0,0.0,0.0
As90,0.0,0.0,0.0
As91,0.0,0.0,0.0
As92,0.0,0.0,0.0
At193,0.0,0.0,0.0
At194,0.0,0.0,0.0
At194_m1,0.0,0.0,0.0
At195,0.0,0.0,0.0
At195_m1,0.0,0.0,0.0
At196,0.0,0.0,0.0
At196_m1,0.0,0.0,0.0
At197,0.0,0.0,0.0
At197_m1,0.0,0.0,0.0
At198,0.0,0.0,0.0
At198_m1,0.0,0.0,0.0
At199,0.0,0.0,0.0
At200,0.0,0.0,0.0
At200_m1,0.0,0.0,0.0
At200_m2,0.0,0.0,0.0
At201,0.0,0.0,0.0
At202,0.0,0.0,0.0
At202_m1,0.0,0.0,0.0
At202_m2,0.0,0.0,0.0
At203,0.0,0.0,0.0
At204,0.0,0.0,0.0
At204_m1,0.0,0.0,0.0
At205,0.0,0.0,0.0
At206,0.0,0.0,0.0
At207,0.0,0.0,0.0
At208,0.0,0.0,0.0
At209,0.0,0.0,0.0
At210,0.0,0.0,0.0
At211,0.0,0.0,0.0
At212,0.0,0.0002283093439999788,0.0002283093439999788
At212_m1,0.0,0.0,0.0
At213,0.0,-2.361722699290786e-10,-2.361722699290786e-10
At214,0.0,0.0,0.0
At215,0.0,2.9135064103721495e-09,2.9135064103721495e-09
At216,0.0,-2.5604694024668584e-11,-2.5604694024668584e-11
At217,0.0,0.00013528575343366338,0.00013528575343366338
At218,0.0,1.3276814595427487e-05,1.3276814595427487e-05
At219,0.0,0.0007476981558105899,0.0007476981558105899
At220,0.0,0.0,0.0
At221,0.0,0.0,0.0
At222,0.0,0.0,0.0
At223,0.0,0.0,0.0
Au169,0.0,0.0,0.0
Au170,0.0,0.0,0.0
Au170_m1,0.0,0.0,0.0
Au171,0.0,0.0,0.0
Au171_m1,0.0,0.0,0.0
Au172,0.0,0.0,0.0
Au173,0.0,0.0,0.0
Au173_m1,0.0,0.0,0.0
Au174,0.0,0.0,0.0
Au174_m1,0.0,0.0,0.0
Au175,0.0,0.0,0.0
Au175_m1,0.0,0.0,0.0
Au176,0.0,0.0,0.0
Au176_m1,0.0,0.0,0.0
Au177,0.0,0.0,0.0
Au177_m1,0.0,0.0,0.0
Au178,0.0,0.0,0.0
Au179,0.0,0.0,0.0
Au180,0.0,0.0,0.0
Au181,0.0,0.0,0.0
Au182,0.0,0.0,0.0
Au183,0.0,0.0,0.0
Au184,0.0,0.0,0.0
Au184_m1,0.0,0.0,0.0
