nuclide,atoms
Ag109,3.864756e+20
Am241,1.033705e+19
Am242_m1,4.224285e+16
Am243,2.502832e+15
Ba135,5.932661e+15
Ba137,3.014610e+20
Ba137_m1,1.976840e+15
Ba138,1.979468e+22
Ce140,1.827598e+22
Ce142,1.689420e+22
Cm242,5.265295e+15
Cm243,2.965934e+14
Cs133,1.979253e+22
Cs135,1.969923e+22
Cs137,1.294118e+22
Eu151,1.410477e+20
Eu153,5.534428e+20
Gd155,1.086007e+20
Gd157,4.017011e+19
He4,5.232312e+18
Kr80,3.417318e+15
Kr82,4.639852e+18
Kr83,1.517093e+21
Kr84,2.821786e+21
Kr86,5.177402e+21
La139,1.877037e+22
Mo100,1.891047e+22
Mo95,1.934352e+22
Mo97,1.764249e+22
Mo98,1.734247e+22
Nb93,4.010577e+14
Nb93_m1,8.386685e+15
Nb95,3.664863e+18
Nb95_m1,2.039927e+15
Nd143,1.695243e+22
Nd144,1.536118e+22
Nd145,1.143757e+22
Nd146,9.123477e+21
Np237,2.129163e+21
Pa231,1.063669e+15
Pr141,1.707551e+22
Pu238,1.144469e+20
Pu239,1.399249e+23
Pu240,2.508527e+21
Pu241,2.417556e+19
Pu242,3.142429e+17
Rh103,1.044643e+22
Ru101,1.549356e+22
Ru102,1.412045e+22
Ru99,5.839385e+16
Sm149,3.237564e+21
Sm151,1.175085e+21
Sr88,9.699089e+21
Sr90,1.088958e+22
Tc99,1.779617e+22
Th230,5.017974e+14
Th232,1.736854e+15
U233,6.145394e+14
U234,1.783033e+20
U235,1.085329e+24
U235_m1,2.867591e+14
U236,5.872499e+22
U238,6.094102e+24
Xe126,1.609097e+15
Xe128,1.045378e+19
Xe130,2.905541e+19
Xe131,8.785747e+21
Xe132,1.336167e+22
Xe134,2.335016e+22
Xe136,1.929935e+22
Y89,1.295957e+22
Y90,2.762220e+18
Zr90,1.146693e+24
Zr91,2.659700e+23
Zr92,3.978155e+23
Zr93,1.941066e+22
Zr94,4.036797e+23
Zr95,3.160752e+18
Zr96,8.073936e+22
