z_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_z_mean,current_z_std
5.00000000e-02,2.97043159e-03,7.73073441e-05,0.00000000e+00,0.00000000e+00,5.47705136e-04,4.51310198e-05,6.51654443e-03,8.94116448e-05,4.63656925e+00,7.82292172e-02,2.12100615e+04,4.37960386e+02,3.33672111e-03,9.20825816e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-01,2.94234431e-03,7.57909461e-05,0.00000000e+00,0.00000000e+00,5.80941658e-04,4.78697548e-05,6.38553141e-03,5.21882132e-05,4.65589847e+00,7.78355151e-02,2.11685304e+04,5.08535649e+02,3.34914273e-03,9.04877191e-05,0.00000000e+00,0.00000000e+00,1.12674000e+01,1.72156507e-01
2.50000000e-01,2.94513677e-03,6.94680942e-05,0.00000000e+00,0.00000000e+00,5.43145504e-04,3.32181424e-05,6.37646617e-03,5.81200696e-05,4.63803647e+00,7.03749896e-02,2.09559851e+04,3.82308272e+02,3.31627951e-03,8.39156317e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e-01,2.93674963e-03,7.33820772e-05,0.00000000e+00,0.00000000e+00,5.26759955e-04,3.19975310e-05,6.35170206e-03,6.87387984e-05,4.61579204e+00,7.33415471e-02,2.09125743e+04,3.99523656e+02,3.29142463e-03,8.68819093e-05,0.00000000e+00,0.00000000e+00,1.12682000e+01,1.68455335e-01
4.50000000e-01,2.92860453e-03,6.91315939e-05,0.00000000e+00,0.00000000e+00,5.23161647e-04,2.43851007e-05,6.30345586e-03,6.71730201e-05,4.62949866e+00,7.44786762e-02,2.08537932e+04,3.87405272e+02,3.28177259e-03,7.62854860e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.50000000e-01,2.92905976e-03,6.92267104e-05,0.00000000e+00,0.00000000e+00,5.00776211e-04,2.33774627e-05,6.27677984e-03,6.61519697e-05,4.62960645e+00,7.49546863e-02,2.08682229e+04,3.91675232e+02,3.26018087e-03,7.60548193e-05,0.00000000e+00,0.00000000e+00,1.12530000e+01,1.67472753e-01
6.50000000e-01,2.93522808e-03,7.02773346e-05,0.00000000e+00,0.00000000e+00,5.42537387e-04,3.50571821e-05,6.25348082e-03,6.51502905e-05,4.63464458e+00,7.36922348e-02,2.08814074e+04,3.88162813e+02,3.30817029e-03,7.77079160e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.50000000e-01,2.93955138e-03,6.79074819e-05,0.00000000e+00,0.00000000e+00,5.08402118e-04,2.33946008e-05,6.22393026e-03,6.17565359e-05,4.62907375e+00,6.97710933e-02,2.09592107e+04,3.71152006e+02,3.27810802e-03,7.63478329e-05,0.00000000e+00,0.00000000e+00,1.12456000e+01,1.68343712e-01
8.50000000e-01,2.96181911e-03,7.26237190e-05,0.00000000e+00,0.00000000e+00,5.05030150e-04,2.57385333e-05,6.27348495e-03,9.93656793e-05,4.63861787e+00,7.07769809e-02,2.10012511e+04,4.08214447e+02,3.29597401e-03,8.37087135e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.50000000e-01,2.95563074e-03,7.04008612e-05,0.00000000e+00,0.00000000e+00,5.00254878e-04,2.23709966e-05,6.18277800e-03,6.46533887e-05,4.60971434e+00,7.08879886e-02,2.09189259e+04,3.90241255e+02,3.28852074e-03,7.99699862e-05,0.00000000e+00,0.00000000e+00,1.12332000e+01,1.67089479e-01
