r_cm,depth_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_local_mean,heating_local_std,fission_q_recoverable_mean,fission_q_recoverable_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_r_mean,current_r_std
3.00012519e-01,5.00125188e-02,3.65977091e-04,1.35274492e-06,0.00000000e+00,0.00000000e+00,1.36739941e-05,5.06482170e-07,1.32079396e-02,4.89447469e-05,2.90767434e-01,1.01819848e-03,5.96382050e+04,2.18464638e+02,0.00000000e+00,0.00000000e+00,5.78446665e-05,7.04666677e-07,0.00000000e+00,0.00000000e+00,6.35900000e-02,9.09777973e-04
4.00037556e-01,1.50037556e-01,2.83113808e-04,1.05750416e-06,0.00000000e+00,0.00000000e+00,1.33932197e-05,4.89441712e-07,9.67542028e-03,3.21765406e-05,2.53296186e-01,1.08868061e-03,4.45455892e+04,1.52964377e+02,0.00000000e+00,0.00000000e+00,5.91161880e-05,7.45846727e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00062594e-01,2.50062594e-01,2.69802433e-04,1.02518936e-06,0.00000000e+00,0.00000000e+00,1.53333933e-05,7.07966077e-07,8.88518905e-03,3.06170446e-05,2.60759751e-01,1.09261516e-03,4.14579634e+04,1.44449558e+02,0.00000000e+00,0.00000000e+00,6.61736597e-05,9.13266955e-07,0.00000000e+00,0.00000000e+00,1.29219000e+00,2.15840827e-03
6.00087631e-01,3.50087631e-01,2.67621643e-04,9.96515245e-07,0.00000000e+00,0.00000000e+00,1.72507193e-05,7.88855154e-07,8.47064440e-03,2.82750292e-05,2.75262846e-01,1.09211172e-03,4.00099452e+04,1.39791417e+02,0.00000000e+00,0.00000000e+00,7.52590485e-05,9.97061276e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00112669e-01,4.50112669e-01,2.68591423e-04,9.76235169e-07,0.00000000e+00,0.00000000e+00,1.86655445e-05,6.25376859e-07,8.18572909e-03,2.67488982e-05,2.91264235e-01,1.17617690e-03,3.91457965e+04,1.31807595e+02,0.00000000e+00,0.00000000e+00,8.37206031e-05,9.39636893e-07,0.00000000e+00,0.00000000e+00,1.35200000e+00,2.42699447e-03
8.00137707e-01,5.50137707e-01,2.69714038e-04,1.00113379e-06,0.00000000e+00,0.00000000e+00,2.08123023e-05,7.15376400e-07,7.95698113e-03,2.43442940e-05,3.07102382e-01,1.28094982e-03,3.84844290e+04,1.28562580e+02,0.00000000e+00,0.00000000e+00,9.18702656e-05,1.08530157e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00162744e-01,6.50162744e-01,2.72638134e-04,9.61371793e-07,0.00000000e+00,0.00000000e+00,2.32411861e-05,1.13525940e-06,7.79443143e-03,2.49388577e-05,3.23172744e-01,1.28217260e-03,3.80437757e+04,1.25515095e+02,0.00000000e+00,0.00000000e+00,1.00920459e-04,1.45021376e-06,0.00000000e+00,0.00000000e+00,1.41117000e+00,2.61166965e-03
1.00018778e+00,7.50187782e-01,2.75334733e-04,9.53666185e-07,0.00000000e+00,0.00000000e+00,2.61198927e-05,1.40444328e-06,7.64433855e-03,2.46216262e-05,3.38495047e-01,1.34414935e-03,3.76139880e+04,1.18515060e+02,0.00000000e+00,0.00000000e+00,1.09787602e-04,1.64853390e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10021282e+00,8.50212819e-01,2.79183238e-04,9.13523294e-07,0.00000000e+00,0.00000000e+00,2.86775726e-05,1.98622802e-06,7.48766214e-03,2.05387999e-05,3.57714406e-01,1.49196933e-03,3.72665718e+04,1.05938384e+02,0.00000000e+00,0.00000000e+00,1.19471820e-04,2.22296433e-06,0.00000000e+00,0.00000000e+00,1.46968000e+00,2.74553364e-03
1.20023786e+00,9.50237857e-01,2.84412166e-04,9.56863848e-07,0.00000000e+00,0.00000000e+00,3.05781081e-05,1.63716594e-06,7.36795802e-03,2.22744415e-05,3.74648184e-01,1.46106886e-03,3.70154736e+04,1.02281700e+02,0.00000000e+00,0.00000000e+00,1.29063219e-04,2.09554820e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
