z_cm,pb_n2n,nXt
5.00000000e-02,6.53846123e-03,2.55215655e-03
1.50000000e-01,6.50813550e-03,2.54518911e-03
2.50000000e-01,6.50461958e-03,2.54564300e-03
3.50000000e-01,6.43938947e-03,2.53645595e-03
4.50000000e-01,6.36143845e-03,2.53901169e-03
5.50000000e-01,6.34099711e-03,2.54126726e-03
6.50000000e-01,6.31482703e-03,2.53705445e-03
7.50000000e-01,6.27290827e-03,2.53525380e-03
8.50000000e-01,6.27839779e-03,2.53178209e-03
9.50000000e-01,6.19611299e-03,2.52466082e-03
1.05000000e+00,6.16616236e-03,2.53180891e-03
1.15000000e+00,6.12167583e-03,2.54151105e-03
1.25000000e+00,6.07906901e-03,2.53663964e-03
1.35000000e+00,6.04461574e-03,2.53406929e-03
1.45000000e+00,6.00826483e-03,2.52946236e-03
1.55000000e+00,5.95465773e-03,2.52444858e-03
1.65000000e+00,5.90936351e-03,2.52297058e-03
1.75000000e+00,5.87850411e-03,2.52434512e-03
1.85000000e+00,5.86839563e-03,2.52557623e-03
1.95000000e+00,5.82079076e-03,2.52191916e-03
2.05000000e+00,5.76798828e-03,2.51762344e-03
2.15000000e+00,5.73036275e-03,2.52311108e-03
2.25000000e+00,5.67010987e-03,2.51807696e-03
2.35000000e+00,5.63222367e-03,2.52266142e-03
2.45000000e+00,5.60133785e-03,2.51188485e-03
2.55000000e+00,5.55132506e-03,2.50465433e-03
2.65000000e+00,5.50427584e-03,2.50499225e-03
2.75000000e+00,5.48010846e-03,2.49555879e-03
2.85000000e+00,5.45833244e-03,2.49160736e-03
2.95000000e+00,5.42049513e-03,2.49747333e-03
3.05000000e+00,5.37619291e-03,2.49561155e-03
3.15000000e+00,5.35854102e-03,2.48841466e-03
3.25000000e+00,5.29659779e-03,2.48775154e-03
3.35000000e+00,5.28229485e-03,2.48253504e-03
3.45000000e+00,5.24747390e-03,2.48568560e-03
3.55000000e+00,5.19495755e-03,2.48498667e-03
3.65000000e+00,5.16002211e-03,2.48858618e-03
3.75000000e+00,5.11903073e-03,2.48760878e-03
3.85000000e+00,5.08396104e-03,2.47574786e-03
3.95000000e+00,5.08184093e-03,2.48181438e-03
4.05000000e+00,5.02266758e-03,2.47902740e-03
4.15000000e+00,4.99999479e-03,2.47724457e-03
4.25000000e+00,4.96256518e-03,2.48171461e-03
4.35000000e+00,4.92305972e-03,2.47464952e-03
4.45000000e+00,4.89965950e-03,2.47740100e-03
4.55000000e+00,4.86539077e-03,2.47134298e-03
4.65000000e+00,4.81285527e-03,2.46721784e-03
4.75000000e+00,4.78928352e-03,2.45849346e-03
4.85000000e+00,4.75844136e-03,2.45359921e-03
4.95000000e+00,4.71994429e-03,2.45933807e-03
5.05000000e+00,4.68636045e-03,2.46031237e-03
5.15000000e+00,4.66573746e-03,2.46290061e-03
5.25000000e+00,4.63902621e-03,2.45611214e-03
5.35000000e+00,4.59167095e-03,2.45743193e-03
5.45000000e+00,4.55286812e-03,2.46013772e-03
5.55000000e+00,4.53498295e-03,2.46835254e-03
5.65000000e+00,4.50095645e-03,2.46169052e-03
5.75000000e+00,4.48171843e-03,2.46267016e-03
5.85000000e+00,4.43650610e-03,2.45237750e-03
5.95000000e+00,4.42786653e-03,2.45657089e-03
6.05000000e+00,4.40457852e-03,2.44976786e-03
6.15000000e+00,4.37475114e-03,2.45101760e-03
6.25000000e+00,4.31969156e-03,2.45527595e-03
6.35000000e+00,4.27208053e-03,2.44509240e-03
6.45000000e+00,4.22785577e-03,2.44405884e-03
6.55000000e+00,4.20453284e-03,2.44507969e-03
6.65000000e+00,4.18116302e-03,2.44568929e-03
6.75000000e+00,4.14334547e-03,2.44663935e-03
6.85000000e+00,4.11004796e-03,2.44114680e-03
6.95000000e+00,4.07722528e-03,2.43594505e-03
7.05000000e+00,4.05883210e-03,2.43378270e-03
7.15000000e+00,4.03130423e-03,2.42874755e-03
7.25000000e+00,3.98451305e-03,2.43119609e-03
7.35000000e+00,3.94242147e-03,2.43207705e-03
7.45000000e+00,3.91938009e-03,2.42908743e-03
7.55000000e+00,3.89328947e-03,2.42390614e-03
7.65000000e+00,3.86085599e-03,2.42655248e-03
7.75000000e+00,3.82312946e-03,2.42750969e-03
7.85000000e+00,3.80216373e-03,2.42163972e-03
7.95000000e+00,3.78319815e-03,2.41920038e-03
8.05000000e+00,3.75680594e-03,2.41461783e-03
8.15000000e+00,3.71146131e-03,2.41938967e-03
8.25000000e+00,3.68800273e-03,2.41280245e-03
8.35000000e+00,3.65195174e-03,2.40914993e-03
8.45000000e+00,3.62207502e-03,2.40258066e-03
8.55000000e+00,3.61550552e-03,2.40504936e-03
8.65000000e+00,3.59186302e-03,2.40394721e-03
8.75000000e+00,3.54251553e-03,2.40316506e-03
8.85000000e+00,3.50390820e-03,2.40207339e-03
8.95000000e+00,3.47883250e-03,2.39858649e-03
9.05000000e+00,3.45078079e-03,2.39659888e-03
9.15000000e+00,3.43915812e-03,2.39711423e-03
9.25000000e+00,3.41680437e-03,2.39732378e-03
9.35000000e+00,3.40013157e-03,2.39431183e-03
9.45000000e+00,3.39127872e-03,2.39392658e-03
9.55000000e+00,3.35749558e-03,2.39345516e-03
