r_cm,depth_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_local_mean,heating_local_std,fission_q_recoverable_mean,fission_q_recoverable_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_r_mean,current_r_std
3.00012519e-01,5.00125188e-02,3.61283154e-04,1.35070640e-06,0.00000000e+00,0.00000000e+00,1.31152901e-05,3.55860015e-07,1.32077424e-02,4.89643222e-05,2.87478450e-01,9.92616708e-04,5.95917674e+04,2.17820113e+02,0.00000000e+00,0.00000000e+00,5.26739295e-05,5.31133004e-07,0.00000000e+00,0.00000000e+00,5.97900000e-02,8.46537213e-04
4.00037556e-01,1.50037556e-01,2.76587151e-04,9.56314049e-07,0.00000000e+00,0.00000000e+00,1.31067979e-05,3.61648263e-07,9.67534096e-03,3.21889625e-05,2.48979644e-01,1.04586294e-03,4.44915433e+04,1.52195772e+02,0.00000000e+00,0.00000000e+00,5.23462247e-05,5.82153648e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00062594e-01,2.50062594e-01,2.62257368e-04,9.78638194e-07,0.00000000e+00,0.00000000e+00,1.44846403e-05,3.84989294e-07,8.88515907e-03,3.06274775e-05,2.56107134e-01,1.10929292e-03,4.14152117e+04,1.48467193e+02,0.00000000e+00,0.00000000e+00,5.78520080e-05,5.86944220e-07,0.00000000e+00,0.00000000e+00,1.27860000e+00,1.82258529e-03
6.00087631e-01,3.50087631e-01,2.58623221e-04,9.97735597e-07,0.00000000e+00,0.00000000e+00,1.57544554e-05,4.06908581e-07,8.47061606e-03,2.82785469e-05,2.70864644e-01,1.16807628e-03,3.99563862e+04,1.41309263e+02,0.00000000e+00,0.00000000e+00,6.48460106e-05,6.59790525e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00112669e-01,4.50112669e-01,2.57551140e-04,8.71787340e-07,0.00000000e+00,0.00000000e+00,1.70005180e-05,3.65974279e-07,8.18570167e-03,2.67485925e-05,2.85029431e-01,1.09532260e-03,3.90796833e+04,1.30413459e+02,0.00000000e+00,0.00000000e+00,7.10770468e-05,6.43110132e-07,0.00000000e+00,0.00000000e+00,1.33685000e+00,2.20042980e-03
8.00137707e-01,5.50137707e-01,2.57202822e-04,8.63211375e-07,0.00000000e+00,0.00000000e+00,1.83477422e-05,3.85498271e-07,7.95695428e-03,2.43440111e-05,2.99467305e-01,1.20924765e-03,3.84079508e+04,1.29295672e+02,0.00000000e+00,0.00000000e+00,7.68878170e-05,6.81500247e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00162744e-01,6.50162744e-01,2.58534392e-04,8.37009547e-07,0.00000000e+00,0.00000000e+00,2.16656205e-05,1.38053418e-06,7.79475486e-03,2.49580375e-05,3.14654087e-01,1.25041250e-03,3.79443333e+04,1.25340460e+02,0.00000000e+00,0.00000000e+00,8.52830967e-05,1.48192961e-06,0.00000000e+00,0.00000000e+00,1.39597000e+00,2.33387201e-03
1.00018778e+00,7.50187782e-01,2.60269408e-04,8.78735181e-07,0.00000000e+00,0.00000000e+00,2.29868813e-05,1.06341483e-06,7.64442324e-03,2.46215163e-05,3.30507436e-01,1.31279491e-03,3.75067307e+04,1.19549300e+02,0.00000000e+00,0.00000000e+00,9.16327324e-05,1.24081562e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10021282e+00,8.50212819e-01,2.62355419e-04,8.92904583e-07,0.00000000e+00,0.00000000e+00,2.48582317e-05,9.73178677e-07,7.48772100e-03,2.05416684e-05,3.46974154e-01,1.42316532e-03,3.71543527e+04,1.07906640e+02,0.00000000e+00,0.00000000e+00,9.88383740e-05,1.18364600e-06,0.00000000e+00,0.00000000e+00,1.45075000e+00,2.54051469e-03
1.20023786e+00,9.50237857e-01,2.65106795e-04,8.87574687e-07,0.00000000e+00,0.00000000e+00,2.59141699e-05,7.67530886e-07,7.36800661e-03,2.22804121e-05,3.63291168e-01,1.32026030e-03,3.69120254e+04,1.08674887e+02,0.00000000e+00,0.00000000e+00,1.05064594e-04,1.07474864e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.30026289e+00,1.05026289e+00,2.67917337e-04,9.28240568e-07,0.00000000e+00,0.00000000e+00,2.76112373e-05,6.64794216e-07,7.24597247e-03,2.02433217e-05,3.79375175e-01,1.42235014e-03,3.66488592e+04,1.07749319e+02,0.00000000e+00,0.00000000e+00,1.12017508e-04,9.84033830e-07,0.00000000e+00,0.00000000e+00,1.50295000e+00,2.78768429e-03
1.40028793e+00,1.15028793e+00,2.71232334e-04,8.67174511e-07,0.00000000e+00,0.00000000e+00,2.92826439e-05,6.53490702e-07,7.15675689e-03,2.25081879e-05,3.94819829e-01,1.34695707e-03,3.64507446e+04,1.08662086e+02,0.00000000e+00,0.00000000e+00,1.18832957e-04,9.44905164e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50031297e+00,1.25031297e+00,2.74169910e-04,9.21848366e-07,0.00000000e+00,0.00000000e+00,3.23347033e-05,1.69667162e-06,7.05373425e-03,2.29779215e-05,4.10211361e-01,1.62495382e-03,3.62098784e+04,1.16468361e+02,0.00000000e+00,0.00000000e+00,1.27128328e-04,1.83257817e-06,0.00000000e+00,0.00000000e+00,1.55541000e+00,2.89164855e-03
1.60033801e+00,1.35033801e+00,2.76396357e-04,1.00001980e-06,0.00000000e+00,0.00000000e+00,3.40900746e-05,1.66418377e-06,6.94727118e-03,2.19918080e-05,4.24193689e-01,1.62667242e-03,3.59633575e+04,1.17774689e+02,0.00000000e+00,0.00000000e+00,1.33354728e-04,1.82578820e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.70036304e+00,1.45036304e+00,2.79488747e-04,9.35331957e-07,0.00000000e+00,0.00000000e+00,3.44897412e-05,9.49812519e-07,6.85100139e-03,1.89347834e-05,4.38431102e-01,1.64008860e-03,3.57751135e+04,1.01522078e+02,0.00000000e+00,0.00000000e+00,1.38782913e-04,1.18602519e-06,0.00000000e+00,0.00000000e+00,1.60640999e+00,2.92402350e-03
1.80038808e+00,1.55038808e+00,2.82811281e-04,9.04422125e-07,0.00000000e+00,0.00000000e+00,3.62941155e-05,9.07664413e-07,6.77521583e-03,2.26767082e-05,4.52398197e-01,1.52355905e-03,3.56267671e+04,1.11820856e+02,0.00000000e+00,0.00000000e+00,1.45381983e-04,1.08926054e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.90041312e+00,1.65041312e+00,2.84412230e-04,9.67258807e-07,0.00000000e+00,0.00000000e+00,3.70745072e-05,8.64522001e-07,6.66555778e-03,2.18906898e-05,4.66237062e-01,1.69111609e-03,3.53028055e+04,1.06125666e+02,0.00000000e+00,0.00000000e+00,1.50353675e-04,1.14348993e-06,0.00000000e+00,0.00000000e+00,1.65717000e+00,2.91797088e-03
