z_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_z_mean,current_z_std
5.00000000e-02,3.20825750e-03,8.72494976e-05,0.00000000e+00,0.00000000e+00,6.71062669e-04,3.84189829e-05,6.43674138e-03,7.26182959e-05,5.14738727e+00,8.18041179e-02,2.23777770e+04,4.41975129e+02,3.70956796e-03,9.44781149e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-01,3.20429582e-03,8.61205125e-05,0.00000000e+00,0.00000000e+00,7.40639671e-04,7.80379680e-05,6.40836074e-03,6.85054841e-05,5.11510060e+00,7.57428819e-02,2.23081823e+04,4.19301592e+02,3.77582187e-03,1.07856598e-04,0.00000000e+00,0.00000000e+00,1.24460000e+01,1.74214271e-01
2.50000000e-01,3.21030029e-03,8.70422207e-05,0.00000000e+00,0.00000000e+00,7.10613978e-04,3.84938523e-05,6.37112714e-03,6.36967602e-05,5.10148781e+00,7.50291459e-02,2.23362363e+04,4.19068813e+02,3.75016271e-03,9.45563262e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e-01,3.20702920e-03,8.52660512e-05,0.00000000e+00,0.00000000e+00,6.63265727e-04,2.99326317e-05,6.34276456e-03,7.79376414e-05,5.10603916e+00,7.19634970e-02,2.23463802e+04,4.17075928e+02,3.69820022e-03,9.61770515e-05,0.00000000e+00,0.00000000e+00,1.24258000e+01,1.75087871e-01
4.50000000e-01,3.19320216e-03,8.41192808e-05,0.00000000e+00,0.00000000e+00,6.71984910e-04,3.08974714e-05,6.25348423e-03,3.53361515e-05,5.08403685e+00,6.96134201e-02,2.22216112e+04,4.12070473e+02,3.69588973e-03,9.56747630e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.50000000e-01,3.18261659e-03,8.24322508e-05,0.00000000e+00,0.00000000e+00,6.82253995e-04,3.68007382e-05,6.22325312e-03,3.66542251e-05,5.07863123e+00,6.89136198e-02,2.21656672e+04,3.93798380e+02,3.69640521e-03,1.01741755e-04,0.00000000e+00,0.00000000e+00,1.24178000e+01,1.74066909e-01
6.50000000e-01,3.19996345e-03,8.33013914e-05,0.00000000e+00,0.00000000e+00,6.83173952e-04,3.76002882e-05,6.19894947e-03,3.78068508e-05,5.10623909e+00,7.15602957e-02,2.22222607e+04,4.06183729e+02,3.71608365e-03,1.00809751e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.50000000e-01,3.20617768e-03,7.95392799e-05,0.00000000e+00,0.00000000e+00,7.00291687e-04,4.13146103e-05,6.17220805e-03,3.84247875e-05,5.11650194e+00,6.99976610e-02,2.22672718e+04,3.83899625e+02,3.73983450e-03,1.00906479e-04,0.00000000e+00,0.00000000e+00,1.24094000e+01,1.73766066e-01
8.50000000e-01,3.23913836e-03,8.65975079e-05,0.00000000e+00,0.00000000e+00,6.53863338e-04,3.13352838e-05,6.13553862e-03,3.84980583e-05,5.12127291e+00,7.17003148e-02,2.24365156e+04,4.19930905e+02,3.72696061e-03,9.89861696e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.50000000e-01,3.21634576e-03,7.97193884e-05,0.00000000e+00,0.00000000e+00,6.57379463e-04,3.60429111e-05,6.10350211e-03,4.02166097e-05,5.12116938e+00,7.06409157e-02,2.23392813e+04,3.90746891e+02,3.70785836e-03,9.94569747e-05,0.00000000e+00,0.00000000e+00,1.24062000e+01,1.74491890e-01
1.05000000e+00,3.18008376e-03,7.68002869e-05,0.00000000e+00,0.00000000e+00,6.83851431e-04,4.65720019e-05,6.06724607e-03,3.95787559e-05,5.07731625e+00,7.08325649e-02,2.21291014e+04,3.86007074e+02,3.69868643e-03,9.98373001e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.15000000e+00,3.18659704e-03,7.74439474e-05,0.00000000e+00,0.00000000e+00,6.31192158e-04,3.24234335e-05,6.03256827e-03,3.99879353e-05,5.08161002e+00,7.10948587e-02,2.21458488e+04,3.89565350e+02,3.65502959e-03,9.18223333e-05,0.00000000e+00,0.00000000e+00,1.24108000e+01,1.71115152e-01
1.25000000e+00,3.20568817e-03,7.89454837e-05,0.00000000e+00,0.00000000e+00,6.07485862e-04,2.58564918e-05,6.00735105e-03,4.10203921e-05,5.08782929e+00,6.85948458e-02,2.22349471e+04,3.96175571e+02,3.65158169e-03,8.93447453e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.35000000e+00,3.18606396e-03,7.69942627e-05,0.00000000e+00,0.00000000e+00,5.90771532e-04,2.23302987e-05,5.97092067e-03,4.21252550e-05,5.06793476e+00,6.87849244e-02,2.21209074e+04,3.85274031e+02,3.61615317e-03,8.53825267e-05,0.00000000e+00,0.00000000e+00,1.24274000e+01,1.71178344e-01
1.45000000e+00,3.17258989e-03,7.85005130e-05,0.00000000e+00,0.00000000e+00,6.60518263e-04,4.16612299e-05,5.95937099e-03,4.45904487e-05,5.07616892e+00,6.96233276e-02,2.20171965e+04,3.84940085e+02,3.67249561e-03,9.20805100e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.55000000e+00,3.19884190e-03,7.69177338e-05,0.00000000e+00,0.00000000e+00,6.38284220e-04,2.75821991e-05,5.94404918e-03,5.20441804e-05,5.11050060e+00,6.77496735e-02,2.21435598e+04,3.81257110e+02,3.67636313e-03,8.35922671e-05,0.00000000e+00,0.00000000e+00,1.24256000e+01,1.70502537e-01
1.65000000e+00,3.20964831e-03,7.65268424e-05,0.00000000e+00,0.00000000e+00,6.46910347e-04,2.53747591e-05,5.94723728e-03,6.76923680e-05,5.11565881e+00,6.62108806e-02,2.21951223e+04,3.75136892e+02,3.69432583e-03,8.35585260e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.75000000e+00,3.23176017e-03,7.69632670e-05,0.00000000e+00,0.00000000e+00,6.80576017e-04,3.47763522e-05,5.89978723e-03,5.31106533e-05,5.13445946e+00,7.00026856e-02,2.23140716e+04,3.81047127e+02,3.75134831e-03,8.77190703e-05,0.00000000e+00,0.00000000e+00,1.24310000e+01,1.67478357e-01
1.85000000e+00,3.19821255e-03,7.35328123e-05,0.00000000e+00,0.00000000e+00,6.38103845e-04,2.81363070e-05,5.85243999e-03,4.71364419e-05,5.10600458e+00,7.18668207e-02,2.21356939e+04,3.63638724e+02,3.67479916e-03,8.10196545e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.95000000e+00,3.21086139e-03,7.50986908e-05,0.00000000e+00,0.00000000e+00,7.05832815e-04,6.50756620e-05,5.83672511e-03,4.98753460e-05,5.11482649e+00,7.25983992e-02,2.21868550e+04,3.73615753e+02,3.75539584e-03,1.02447322e-04,0.00000000e+00,0.00000000e+00,1.24286000e+01,1.67553345e-01
2.05000000e+00,3.21674976e-03,7.69311371e-05,0.00000000e+00,0.00000000e+00,6.21514216e-04,2.79894720e-05,5.82932455e-03,5.69022423e-05,5.11445881e+00,7.13752623e-02,2.21888242e+04,3.83356275e+02,3.67837167e-03,8.68336875e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
