nuclide,atoms
U234,1.832522e+20
U235,1.084932e+24
U236,5.882117e+22
U238,6.092892e+24
Np237,2.177543e+21
Pu238,1.181530e+20
Pu239,1.406574e+23
Pu240,2.393453e+21
Pu241,2.422156e+19
Pu242,3.007760e+17
Am241,8.768998e+18
Am242_m1,4.069774e+16
Am243,2.401664e+15
Cm242,2.329237e+16
Cm243,2.908325e+14
Cm244,5.395869e+13
Cm245,3.942684e+11
Zr90,1.146450e+24
Zr91,2.660151e+23
Zr92,3.978541e+23
Zr93,1.945349e+22
Zr94,4.037223e+23
Zr95,1.631669e+20
Zr96,8.078857e+22
Sm149,3.249987e+21
Sm151,1.189354e+21
Gd155,1.091311e+20
Gd157,4.045335e+19
Rh103,1.048706e+22
Nd143,1.699561e+22
Nd145,1.146853e+22
Cs133,1.982797e+22
Eu151,1.329693e+20
Eu153,5.559846e+20
Ag109,3.896753e+20
Mo95,1.923415e+22
Mo97,1.771107e+22
Mo98,1.737137e+22
Mo100,1.896534e+22
Xe126,1.717445e+15
Xe128,9.787166e+18
Xe130,2.926842e+19
Xe131,8.812179e+21
Xe132,1.340315e+22
Xe134,2.341481e+22
Xe136,1.935611e+22
Kr80,3.571763e+15
Kr82,4.659008e+18
Kr83,1.520664e+21
Kr84,2.828495e+21
Kr86,5.189102e+21
Cs135,1.975539e+22
Cs137,1.326581e+22
Ba138,1.984813e+22
La139,1.881983e+22
Ce140,1.832232e+22
Ce142,1.693473e+22
Tc99,1.790535e+22
Pr141,1.712525e+22
Ru101,1.553937e+22
Ru102,1.417067e+22
Nd144,1.540516e+22
Nd146,9.150743e+21
Y89,1.298826e+22
Sr88,9.719762e+21
Sr90,1.116555e+22
