nuclide,atoms
U238,6.092892e+24
Zr90,1.146450e+24
U235,1.084932e+24
Zr94,4.037223e+23
Zr92,3.978541e+23
Zr91,2.660151e+23
Pu239,1.406574e+23
Zr96,8.078857e+22
U236,5.882117e+22
Xe134,2.341481e+22
Ba138,1.984813e+22
Cs133,1.982797e+22
Cs135,1.975539e+22
Zr93,1.945349e+22
Xe136,1.935611e+22
Mo95,1.923415e+22
Mo100,1.896534e+22
La139,1.881983e+22
Ce140,1.832232e+22
Tc99,1.790535e+22
Mo97,1.771107e+22
Mo98,1.737137e+22
Pr141,1.712525e+22
Nd143,1.699561e+22
Ce142,1.693473e+22
Ru101,1.553937e+22
Nd144,1.540516e+22
Ru102,1.417067e+22
Xe132,1.340315e+22
Cs137,1.326581e+22
Y89,1.298826e+22
Nd145,1.146853e+22
Sr90,1.116555e+22
Rh103,1.048706e+22
Sr88,9.719762e+21
Nd146,9.150743e+21
Xe131,8.812179e+21
Rb87,7.248294e+21
Ru104,7.242031e+21
Sm147,5.755812e+21
Te130,5.549135e+21
Kr86,5.189102e+21
Nd148,5.110928e+21
Ba137,5.099532e+21
Pd105,4.495278e+21
Rb85,3.550785e+21
Sm149,3.249987e+21
Kr84,2.828495e+21
Pd106,2.481907e+21
Pu240,2.393453e+21
Nd150,2.184880e+21
Np237,2.177543e+21
I129,1.886606e+21
Kr83,1.520664e+21
Pd107,1.321418e+21
Sm151,1.189354e+21
Te128,1.085117e+21
Sm152,1.021440e+21
Se82,9.225374e+20
Pm147,8.534225e+20
Pd108,7.175262e+20
Ce144,5.820719e+20
Br81,5.641238e+20
Eu153,5.559846e+20
Ru100,5.195421e+20
I127,5.081839e+20
Kr85,3.955749e+20
Ag109,3.896753e+20
Se80,3.542826e+20
Sm154,2.943190e+20
Ba134,2.765319e+20
Pd104,2.685794e+20
Mo96,2.492163e+20
Pd110,2.117104e+20
Sm150,2.076316e+20
Sm148,2.071060e+20
Sn126,1.900337e+20
U234,1.832522e+20
Ba136,1.658981e+20
Zr95,1.631669e+20
Ru106,1.498232e+20
Eu151,1.329693e+20
Se79,1.286195e+20
Y91,1.214594e+20
Pu238,1.181530e+20
Cd111,1.113151e+20
Gd155,1.091311e+20
Te125,1.002726e+20
Sn124,9.472557e+19
Nb95,8.915560e+19
Gd156,8.861245e+19
Sr89,8.291048e+19
He4,7.648864e+19
Cd112,7.332682e+19
Ce141,7.278586e+19
Nd142,6.276984e+19
Cs134,6.266316e+19
Cd113,6.181856e+19
Sb123,5.987931e+19
Se78,5.963161e+19
Ru103,5.935066e+19
Sn122,5.913375e+19
Cd116,5.367509e+19
Cd114,5.283775e+19
Np239,5.132494e+19
Sn117,5.084962e+19
Sn119,4.982120e+19
Sn120,4.910934e+19
Sn118,4.771783e+19
In115,4.696929e+19
Sb121,4.676890e+19
Gd157,4.045335e+19
Eu155,3.820837e+19
Ba140,3.023125e+19
Pr143,2.995746e+19
Xe130,2.926842e+19
Sr86,2.809163e+19
Pu241,2.422156e+19
Eu154,2.338812e+19
Se77,2.207561e+19
Gd158,2.207232e+19
Gd154,2.105842e+19
Sb125,1.696178e+19
Xe133,1.384993e+19
Xe128,9.787166e+18
Nd147,9.776104e+18
I131,9.493614e+18
Am241,8.768998e+18
Ge76,8.611278e+18
Tb159,8.365773e+18
Te126,8.248258e+18
Cd110,8.243877e+18
Eu152,7.408438e+18
Mo99,6.637333e+18
Te132,5.593854e+18
H1,4.950596e+18
Kr82,4.659008e+18
La140,3.993056e+18
Gd160,3.448532e+18
U237,3.228137e+18
Ce143,3.038351e+18
As75,3.036192e+18
Sn121_m1,2.954699e+18
Y90,2.839702e+18
Sn115,2.360503e+18
I133,2.280805e+18
Zr97,1.616940e+18
Ba135,1.586988e+18
Te129_m1,1.478043e+18
Ru99,1.464534e+18
Te127_m1,1.350597e+18
Dy161,1.328522e+18
Sn116,1.283381e+18
Ge74,1.063726e+18
Rh105,1.057233e+18
Pm149,1.014074e+18
Xe135,9.967515e+17
Y93,9.790708e+17
Gd152,8.481766e+17
Sr91,8.317024e+17
Te122,8.217837e+17
Te124,7.397460e+17
I135,6.809840e+17
Dy162,5.596588e+17
Cs136,5.443155e+17
Tc99_m1,5.310883e+17
Cd113_m1,4.474075e+17
Dy160,3.801882e+17
Pr145,3.712889e+17
La141,3.650545e+17
Ge73,3.629975e+17
U239,3.547682e+17
In113,3.484267e+17
Sr87,3.389997e+17
Y92,3.174920e+17
Pu242,3.007760e+17
Mo94,2.980288e+17
Sb127,2.900980e+17
La138,2.879533e+17
Sr92,2.403577e+17
Te131_m1,2.400175e+17
Pm151,2.321132e+17
Dy163,2.261053e+17
Te125_m1,2.228673e+17
Eu156,2.032675e+17
Sm146,1.947073e+17
Xe133_m1,1.702190e+17
I132,1.685161e+17
Sm153,1.657329e+17
Ag111,1.563306e+17
Xe131_m1,1.520208e+17
Rb86,1.463346e+17
Kr88,1.429924e+17
Ba139,1.406911e+17
La142,1.384388e+17
U233,1.340131e+17
Ru105,1.327575e+17
Tc98,1.302762e+17
Nb97,1.163796e+17
I134,1.103003e+17
Pm148_m1,1.096801e+17
Sn123,1.060991e+17
Ge72,1.058123e+17
Dy164,1.019095e+17
Nb95_m1,9.942336e+16
Kr85_m1,9.143553e+16
Np238,8.969232e+16
Nb93_m1,8.812188e+16
Te134,7.613062e+16
Xe129,7.564204e+16
Br79,7.420460e+16
Sn119_m1,6.739621e+16
Cs138,5.919511e+16
Rh103_m1,5.823695e+16
Th232,5.746814e+16
Sn125,5.726250e+16
Te133_m1,4.928666e+16
Sb129,4.833306e+16
Kr87,4.816106e+16
Pd109,4.800603e+16
Ho165,4.661578e+16
Nb93,4.493408e+16
Se76,4.469450e+16
Ga71,4.245611e+16
Y91_m1,4.210335e+16
Am242_m1,4.069774e+16
Pa231,3.378621e+16
Nd149,3.301148e+16
Ag110_m1,3.094981e+16
Y94,3.047701e+16
Er166,3.036108e+16
Te127,2.923249e+16
Ba141,2.824641e+16
Zn70,2.620846e+16
Np236,2.526517e+16
Pr144,2.451646e+16
Xe138,2.330562e+16
Cm242,2.329237e+16
La143,2.161327e+16
Mo101,2.145081e+16
Tc101,2.085448e+16
Pr146,1.955344e+16
Br83,1.948130e+16
Te131,1.827038e+16
Cd115_m1,1.817958e+16
Rb89,1.717076e+16
Pm148,1.692307e+16
Y95,1.691021e+16
Er167,1.644229e+16
Sb131,1.634229e+16
Ga69,1.609740e+16
Pm146,1.600354e+16
Ba142,1.579665e+16
Cs139,1.549771e+16
Cd115,1.540480e+16
Rb88,1.504809e+16
Kr83_m1,1.485134e+16
Mo102,1.436351e+16
Pr142,1.353979e+16
Tc104,1.323358e+16
Te133,1.264755e+16
Pd102,1.248736e+16
Te129,1.217440e+16
