nuclide,atoms
Sr87,1.788544e+17
Y94,1.776159e+17
Eu152,1.708102e+17
Xe138,1.680594e+17
Am244,1.669014e+17
Pr144,1.642901e+17
In113,1.614219e+17
Te131,1.580643e+17
Te129,1.521592e+17
Mo102,1.433191e+17
La143,1.415269e+17
Eu151,1.401094e+17
Pr146,1.391248e+17
Rh107,1.381299e+17
Sm156,1.357257e+17
Sb131,1.307567e+17
Te123,1.276275e+17
Cs134_m1,1.197387e+17
Er168,1.188536e+17
Cs139,1.131968e+17
Ba142,1.085136e+17
Am244_m1,1.078252e+17
Y95,1.059795e+17
Gd159,1.015603e+17
Sn121,1.014732e+17
Br83,9.970917e+16
Br82,9.611216e+16
Te133,9.552216e+16
Tc105,7.879469e+16
Ce146,7.754248e+16
Kr83_m1,7.654717e+16
Sb130,7.517024e+16
Ga71,7.351524e+16
Th232,7.029293e+16
Rb89,6.990706e+16
Nb96,6.957415e+16
Br79,6.767464e+16
N15,6.545583e+16
Sb128,6.488138e+16
Sr93,6.335208e+16
Rb88,6.302827e+16
Sn128,6.175766e+16
Pr147,6.157096e+16
Sm146,5.950402e+16
Ce139,5.911230e+16
Sb122,5.905636e+16
Sn127,5.828283e+16
Te123_m1,5.762382e+16
Cm248,5.365023e+16
Ag112,5.249075e+16
Xe135_m1,5.117212e+16
Xe137,4.993530e+16
F19,4.876684e+16
Zn70,4.500189e+16
Nb94,4.177390e+16
Ag113,3.943960e+16
Br84,3.617694e+16
Er167,3.615597e+16
Rh102,3.398600e+16
As77,2.983850e+16
Sn114,2.458736e+16
Np236,2.413458e+16
Ru107,2.353201e+16
In115_m1,2.237163e+16
Ce145,2.099078e+16
Nd151,2.022005e+16
Ga69,2.021112e+16
Be10,1.998684e+16
Ru108,1.935024e+16
Cd108,1.787183e+16
Np240,1.567284e+16
Nb93_m1,1.555174e+16
Pd111,1.513901e+16
Sb130_m1,1.492096e+16
Mo103,1.470759e+16
I132_m1,1.457023e+16
Pd102,1.438330e+16
Sb132,1.377281e+16
Nb99_m1,1.370239e+16
Se83,1.342712e+16
Kr89,1.321543e+16
Nd152,1.302401e+16
Rh106_m1,1.248097e+16
Kr80,1.244006e+16
Tc103,1.211530e+16
Sb128_m1,1.165516e+16
Zn68,1.145542e+16
Mo104,1.109879e+16
Nb97_m1,1.082963e+16
Sr94,1.065982e+16
Cs140,1.059181e+16
Sb133,1.030755e+16
Pm150,1.022361e+16
Rb90,1.022139e+16
Cd117,9.264561e+15
Ba133,8.787827e+15
Sm155,8.686487e+15
U233,8.452195e+15
Ge77,8.327028e+15
I136,7.751121e+15
Pr148,7.619504e+15
Rh104,7.335691e+15
Zn67,7.005009e+15
Rb90_m1,6.916288e+15
Sb132_m1,6.754461e+15
In117_m1,6.621160e+15
I134_m1,6.407521e+15
Pr149,6.086251e+15
Se81,6.010938e+15
Zr98,5.994872e+15
La144,5.955460e+15
Rb91,5.729920e+15
Xe139,5.585620e+15
Ba135_m1,5.460381e+15
Tm169,5.236170e+15
Ho166_m1,4.901401e+15
Mo105,4.856115e+15
Pm152,4.834762e+15
Tc106,4.715706e+15
Xe126,4.555617e+15
Sn130,4.536776e+15
Yb172,4.399559e+15
Eu158,4.343911e+15
Sn117_m1,4.303085e+15
Pr142_m1,4.246858e+15
Y88,4.218222e+15
Er170,4.212429e+15
Ho166,4.210967e+15
Pm153,4.184924e+15
Br85,4.183715e+15
I128,4.172354e+15
Ce147,4.052529e+15
Rh109,3.885171e+15
Xe129_m1,3.863628e+15
Ba132,3.821134e+15
La137,3.819454e+15
Rh106,3.816597e+15
Sn129_m1,3.716830e+15
Se84,3.576326e+15
Yb170,3.538895e+15
Nb98_m1,3.521857e+15
Rh104_m1,3.432417e+15
Cs141,3.378727e+15
Np240_m1,3.305871e+15
As78,3.284349e+15
H2,3.210342e+15
Ba137_m1,3.155058e+15
Cd118,3.101750e+15
Ge78,3.068079e+15
Sr95,3.042853e+15
Gd152,3.041826e+15
Cd109,3.021106e+15
Eu154_m1,2.899550e+15
U240,2.897651e+15
Sn129,2.894232e+15
Cd117_m1,2.835084e+15
Cs132,2.768250e+15
Ag109_m1,2.738104e+15
Ce148,2.737082e+15
I136_m1,2.710044e+15
N14,2.699474e+15
I137,2.690875e+15
La145,2.625010e+15
Sn123_m1,2.545745e+15
Cs138_m1,2.545700e+15
In114_m1,2.358302e+15
Se81_m1,2.231016e+15
Kr90,2.228258e+15
Ba143,2.123554e+15
Te135,2.070582e+15
Sn130_m1,2.046963e+15
Rh105_m1,2.000802e+15
In117,1.984767e+15
Nb93,1.955658e+15
Nb99,1.918777e+15
Br87,1.918180e+15
Pd103,1.908072e+15
Tc107,1.816771e+15
Br86,1.674208e+15
Ag115,1.620928e+15
Ru109,1.609214e+15
I130_m1,1.494446e+15
Zn66,1.475866e+15
Nb101,1.468377e+15
Tm170,1.386164e+15
Zr100,1.358333e+15
Tc100,1.341732e+15
Ba144,1.255273e+15
Xe140,1.240742e+15
Sm157,1.230074e+15
Rh108,1.198199e+15
Tm171,1.148241e+15
Sn127_m1,1.145246e+15
Dy165,1.135800e+15
Tc102,1.119921e+15
Yb171,1.104035e+15
Ag110,1.069268e+15
Pu237,1.002782e+15
Pr144_m1,9.949267e+14
Bk249,9.667836e+14
Ag107,9.591879e+14
Sn131_m1,9.506164e+14
Sn131,9.428704e+14
Sn132,9.305488e+14
Kr81,9.257666e+14
Sn125_m1,8.945865e+14
Eu159,8.599471e+14
Pd111_m1,8.249081e+14
Pm154,8.006849e+14
Pr148_m1,7.933575e+14
Te136,7.457748e+14
Mo106,7.354623e+14
Dy166,7.158951e+14
As79,7.114883e+14
Ag111_m1,6.943531e+14
Rb84,6.920697e+14
Cs135_m1,6.648640e+14
Y96_m1,6.493123e+14
Rh110_m1,6.457060e+14
In119_m1,6.309762e+14
Se85,6.053073e+14
Nb98,5.683054e+14
As76,5.595148e+14
Sb129_m1,5.404454e+14
Y96,5.389145e+14
Nb102,5.137128e+14
Pa233,4.919380e+14
Zn72,4.875025e+14
Br88,4.615235e+14
Sm158,4.600858e+14
Kr91,4.383051e+14
U235_m1,4.363436e+14
Rb93,4.279993e+14
Br84_m1,4.188415e+14
Cf250,4.184208e+14
Rb92,4.135381e+14
Zr99,4.086461e+14
Sr84,3.970462e+14
I138,3.841111e+14
Nd153,3.709543e+14
Pr151,3.585240e+14
Ge70,3.553205e+14
Y97,3.393901e+14
Pm146,3.319039e+14
Gd153,3.233068e+14
Ag116,3.185593e+14
Nb100,3.166668e+14
I126,3.049503e+14
Se79_m1,3.041656e+14
La146,2.922805e+14
Pd114,2.889870e+14
Pd113,2.887554e+14
Cf252,2.678928e+14
Tc97,2.629722e+14
Se86,2.593492e+14
Zr101,2.579865e+14
Ru110,2.576292e+14
Br82_m1,2.524095e+14
Er169,2.356726e+14
La146_m1,2.306268e+14
Ba145,2.210951e+14
Pm155,2.173619e+14
Cf251,2.072991e+14
I133_m1,2.065078e+14
Tc108,2.051056e+14
Ag113_m1,2.047263e+14
Zr102,2.017503e+14
Pr150,1.967371e+14
Pm152_m2,1.962059e+14
U232,1.953909e+14
Tc102_m1,1.882193e+14
Nb103,1.860973e+14
Pm145,1.852514e+14
Ge75,1.832338e+14
Nb104,1.769575e+14
Pm154_m1,1.767497e+14
Nd154,1.713171e+14
As81,1.621952e+14
Ce149,1.611152e+14
Cf249,1.593295e+14
Rh108_m1,1.589034e+14
Ga72,1.538707e+14
La147,1.504672e+14
Sb134_m1,1.420739e+14
Cs142,1.363331e+14
Ce138,1.348785e+14
Pd109_m1,1.289244e+14
Pa231,1.234724e+14
Cm241,1.224714e+14
Ga73,1.209561e+14
Rh111,1.169338e+14
Rb94,1.163856e+14
Mo107,1.131852e+14
Y99,1.089217e+14
Pm152_m1,1.069180e+14
Th230,1.052609e+14
Cd119,1.037018e+14
Sr96,9.997636e+13
Br89,9.885702e+13
Yb173,9.258843e+13
Y98_m1,8.901020e+13
In121_m1,8.834911e+13
As83,8.513761e+13
