nuclide,atoms
U234,3.485312e+19
U235,2.167453e+22
U236,2.958077e+22
U238,4.753423e+24
Np237,4.610898e+21
Pu238,3.161208e+21
Pu239,3.608846e+22
Pu240,1.745752e+22
Pu241,1.141848e+22
Pu242,6.956457e+21
Am241,3.305246e+20
Am242_m1,4.740195e+18
Am243,1.987281e+21
Cm242,1.947375e+20
Cm243,9.071359e+18
Cm244,1.419502e+21
Cm245,1.469441e+20
Sm149,2.406481e+19
Sm151,1.515125e+20
Gd155,1.209273e+18
Gd157,2.311357e+18
Rh103,8.593821e+21
Nd143,1.028024e+22
Nd145,9.607061e+21
Cs133,1.745783e+22
Eu151,1.401094e+17
Eu153,1.713652e+21
Ag109,1.836229e+21
Mo95,1.552644e+22
Mo97,1.897043e+22
Mo98,1.963298e+22
Mo100,2.198761e+22
Xe126,4.555617e+15
Xe128,1.003963e+20
Xe130,1.908198e+20
Xe131,5.847052e+21
Xe132,2.146300e+22
Xe134,2.646520e+22
Xe135,1.973170e+18
Xe136,4.041802e+22
Kr80,1.244006e+16
Kr82,3.120121e+19
Kr83,8.928421e+20
Kr84,2.952640e+21
Kr86,4.351120e+21
Cs135,6.631258e+21
Cs137,2.056172e+22
Ba138,2.183344e+22
La139,2.008136e+22
Ce140,1.996315e+22
Ce142,1.811792e+22
Tc99,1.700318e+22
Pr141,1.741823e+22
Ru101,1.754803e+22
Ru102,1.998521e+22
Nd144,1.876634e+22
Nd146,1.195797e+22
Y89,1.022685e+22
Sr88,7.970758e+21
Sr90,1.210237e+22
