r_cm,depth_cm,pb_n2n,nXt
3.88096520e+01,3.85596520e+01,2.10749928e-04,1.47055702e-03
3.89096770e+01,3.86596770e+01,2.08951919e-04,1.47289249e-03
3.90097021e+01,3.87597021e+01,2.03063779e-04,1.47174035e-03
3.91097271e+01,3.88597271e+01,2.01774537e-04,1.47474739e-03
3.92097521e+01,3.89597521e+01,1.98980841e-04,1.47449767e-03
3.93097772e+01,3.90597772e+01,1.98556519e-04,1.47604408e-03
3.94098022e+01,3.91598022e+01,1.99316187e-04,1.47317038e-03
3.95098272e+01,3.92598272e+01,1.96473196e-04,1.47076103e-03
3.96098523e+01,3.93598523e+01,1.95023277e-04,1.47466758e-03
3.97098773e+01,3.94598773e+01,1.92121596e-04,1.47274372e-03
3.98099024e+01,3.95599024e+01,1.91076617e-04,1.47265276e-03
3.99099274e+01,3.96599274e+01,1.89358933e-04,1.48199111e-03
4.00099524e+01,3.97599524e+01,1.87777432e-04,1.47891233e-03
4.01099775e+01,3.98599775e+01,1.85015936e-04,1.48088640e-03
4.02100025e+01,3.99600025e+01,1.82894614e-04,1.48231927e-03
4.03100275e+01,4.00600275e+01,1.80866147e-04,1.48508928e-03
4.04100526e+01,4.01600526e+01,1.81182684e-04,1.48715965e-03
4.05100776e+01,4.02600776e+01,1.79292097e-04,1.48696291e-03
4.06101027e+01,4.03601027e+01,1.79972070e-04,1.48862591e-03
4.07101277e+01,4.04601277e+01,1.76709627e-04,1.48226403e-03
4.08101527e+01,4.05601527e+01,1.75336232e-04,1.48100491e-03
4.09101778e+01,4.06601778e+01,1.74033900e-04,1.48111021e-03
4.10102028e+01,4.07602028e+01,1.71259315e-04,1.48193392e-03
4.11102278e+01,4.08602278e+01,1.72209462e-04,1.48041607e-03
4.12102529e+01,4.09602529e+01,1.71434309e-04,1.48396681e-03
4.13102779e+01,4.10602779e+01,1.71103999e-04,1.48391459e-03
4.14103030e+01,4.11603030e+01,1.69233228e-04,1.48378974e-03
4.15103280e+01,4.12603280e+01,1.65163154e-04,1.48292970e-03
4.16103530e+01,4.13603530e+01,1.63552300e-04,1.48284459e-03
4.17103781e+01,4.14603781e+01,1.60270599e-04,1.48255151e-03
4.18104031e+01,4.15604031e+01,1.59240846e-04,1.48223743e-03
4.19104281e+01,4.16604281e+01,1.57665224e-04,1.48111436e-03
4.20104532e+01,4.17604532e+01,1.56061737e-04,1.48292289e-03
4.21104782e+01,4.18604782e+01,1.64174518e-04,1.48212918e-03
4.22105033e+01,4.19605033e+01,1.55453385e-04,1.48081382e-03
4.23105283e+01,4.20605283e+01,1.50813746e-04,1.48218776e-03
4.24105533e+01,4.21605533e+01,1.50348316e-04,1.48819247e-03
4.25105784e+01,4.22605784e+01,1.47307318e-04,1.48647618e-03
4.26106034e+01,4.23606034e+01,1.44482417e-04,1.48677999e-03
4.27106284e+01,4.24606284e+01,1.44417428e-04,1.48660700e-03
4.28106535e+01,4.25606535e+01,1.44042924e-04,1.48566481e-03
4.29106785e+01,4.26606785e+01,1.45237939e-04,1.48475729e-03
4.30107036e+01,4.27607036e+01,1.42240937e-04,1.48991636e-03
4.31107286e+01,4.28607286e+01,1.45087098e-04,1.49303993e-03
4.32107536e+01,4.29607536e+01,1.43400023e-04,1.49593298e-03
4.33107787e+01,4.30607787e+01,1.41370941e-04,1.49241626e-03
4.34108037e+01,4.31608037e+01,1.39375978e-04,1.49623386e-03
4.35108287e+01,4.32608287e+01,1.37012381e-04,1.49730053e-03
4.36108538e+01,4.33608538e+01,1.35962431e-04,1.49159238e-03
4.37108788e+01,4.34608788e+01,1.34023707e-04,1.49358474e-03
4.38109039e+01,4.35609039e+01,1.33557077e-04,1.49215741e-03
4.39109289e+01,4.36609289e+01,1.32396535e-04,1.49270192e-03
4.40109539e+01,4.37609539e+01,1.28114271e-04,1.49272064e-03
4.41109790e+01,4.38609790e+01,1.27104157e-04,1.49171360e-03
4.42110040e+01,4.39610040e+01,1.26336843e-04,1.49139329e-03
4.43110290e+01,4.40610290e+01,1.25991197e-04,1.49213129e-03
4.44110541e+01,4.41610541e+01,1.26305518e-04,1.49542474e-03
4.45110791e+01,4.42610791e+01,1.25173661e-04,1.49894029e-03
4.46111042e+01,4.43611042e+01,1.24107904e-04,1.50033995e-03
4.47111292e+01,4.44611292e+01,1.23121836e-04,1.50126958e-03
4.48111542e+01,4.45611542e+01,1.22532090e-04,1.50071713e-03
4.49111793e+01,4.46611793e+01,1.22332970e-04,1.49702836e-03
4.50112043e+01,4.47612043e+01,1.21697437e-04,1.50069173e-03
4.51112293e+01,4.48612293e+01,1.20071316e-04,1.50096348e-03
4.52112544e+01,4.49612544e+01,1.18610476e-04,1.50357282e-03
4.53112794e+01,4.50612794e+01,1.17303947e-04,1.50273250e-03
4.54113045e+01,4.51613045e+01,1.15686239e-04,1.50198734e-03
4.55113295e+01,4.52613295e+01,1.14270729e-04,1.50630779e-03
4.56113545e+01,4.53613545e+01,1.13514270e-04,1.50264728e-03
4.57113796e+01,4.54613796e+01,1.17651715e-04,1.49783253e-03
4.58114046e+01,4.55614046e+01,1.14898992e-04,1.50292653e-03
4.59114296e+01,4.56614296e+01,1.13666138e-04,1.50641589e-03
4.60114547e+01,4.57614547e+01,1.10003362e-04,1.50208268e-03
4.61114797e+01,4.58614797e+01,1.13992097e-04,1.50461999e-03
4.62115048e+01,4.59615048e+01,1.13660312e-04,1.50679399e-03
4.63115298e+01,4.60615298e+01,1.09602352e-04,1.50583968e-03
4.64115548e+01,4.61615548e+01,1.07424605e-04,1.49897726e-03
4.65115799e+01,4.62615799e+01,1.06052244e-04,1.50342638e-03
4.66116049e+01,4.63616049e+01,1.05129774e-04,1.50703167e-03
4.67116299e+01,4.64616299e+01,1.06251612e-04,1.50344461e-03
4.68116550e+01,4.65616550e+01,1.05722912e-04,1.50266205e-03
4.69116800e+01,4.66616800e+01,1.06703523e-04,1.50520717e-03
4.70117051e+01,4.67617051e+01,1.04320676e-04,1.50534892e-03
4.71117301e+01,4.68617301e+01,1.02273213e-04,1.50510817e-03
4.72117551e+01,4.69617551e+01,1.01679881e-04,1.50459610e-03
4.73117802e+01,4.70617802e+01,1.04792997e-04,1.50672863e-03
4.74118052e+01,4.71618052e+01,1.01771072e-04,1.50705807e-03
4.75118302e+01,4.72618302e+01,1.02500756e-04,1.50905668e-03
4.76118553e+01,4.73618553e+01,1.00943989e-04,1.50902632e-03
4.77118803e+01,4.74618803e+01,9.79548823e-05,1.50997858e-03
4.78119054e+01,4.75619054e+01,9.94492136e-05,1.50521375e-03
4.79119304e+01,4.76619304e+01,9.61148639e-05,1.50233025e-03
4.80119554e+01,4.77619554e+01,9.57641697e-05,1.50329729e-03
4.81119805e+01,4.78619805e+01,9.49590317e-05,1.50278087e-03
4.82120055e+01,4.79620055e+01,9.38015081e-05,1.50663775e-03
4.83120305e+01,4.80620305e+01,9.36179687e-05,1.50694739e-03
4.84120556e+01,4.81620556e+01,9.16180275e-05,1.50673274e-03
4.85120806e+01,4.82620806e+01,8.99275055e-05,1.50853393e-03
4.86121057e+01,4.83621057e+01,8.92018813e-05,1.50911531e-03
4.87121307e+01,4.84621307e+01,8.86591294e-05,1.50405049e-03
4.88121557e+01,4.85621557e+01,8.78281108e-05,1.50651051e-03
4.89121808e+01,4.86621808e+01,8.70464414e-05,1.51102943e-03
4.90122058e+01,4.87622058e+01,8.53150150e-05,1.50507846e-03
4.91122308e+01,4.88622308e+01,8.41814064e-05,1.50432975e-03
4.92122559e+01,4.89622559e+01,8.47697452e-05,1.50772763e-03
4.93122809e+01,4.90622809e+01,8.44091360e-05,1.50733238e-03
4.94123060e+01,4.91623060e+01,8.29247017e-05,1.50197948e-03
4.95123310e+01,4.92623310e+01,8.15327276e-05,1.50363745e-03
4.96123560e+01,4.93623560e+01,8.39694658e-05,1.50086528e-03
4.97123811e+01,4.94623811e+01,8.24465659e-05,1.50064137e-03
4.98124061e+01,4.95624061e+01,7.63728161e-05,1.49919658e-03
4.99124311e+01,4.96624311e+01,7.44058392e-05,1.50095225e-03
5.00124562e+01,4.97624562e+01,7.61955975e-05,1.50437865e-03
5.01124812e+01,4.98624812e+01,7.34872309e-05,1.50439672e-03
5.02125063e+01,4.99625063e+01,7.46861987e-05,1.49945736e-03
5.03125313e+01,5.00625313e+01,7.35267066e-05,1.49889648e-03
5.04125563e+01,5.01625563e+01,7.26853120e-05,1.49383242e-03
5.05125814e+01,5.02625814e+01,7.09919544e-05,1.49627591e-03
5.06126064e+01,5.03626064e+01,7.00994660e-05,1.49458208e-03
5.07126314e+01,5.04626314e+01,7.00108834e-05,1.49664940e-03
5.08126565e+01,5.05626565e+01,6.99150370e-05,1.49634611e-03
5.09126815e+01,5.06626815e+01,6.90418802e-05,1.49866603e-03
5.10127066e+01,5.07627066e+01,6.83694338e-05,1.49879448e-03
5.11127316e+01,5.08627316e+01,6.77296419e-05,1.49983551e-03
5.12127566e+01,5.09627566e+01,6.77361076e-05,1.50029241e-03
5.13127817e+01,5.10627817e+01,6.92096067e-05,1.49617874e-03
5.14128067e+01,5.11628067e+01,6.74674684e-05,1.49746835e-03
5.15128317e+01,5.12628317e+01,6.63211993e-05,1.49362102e-03
5.16128568e+01,5.13628568e+01,6.48426510e-05,1.50035442e-03
5.17128818e+01,5.14628818e+01,6.42058317e-05,1.50350438e-03
5.18129069e+01,5.15629069e+01,6.41130122e-05,1.49848843e-03
5.19129319e+01,5.16629319e+01,6.68535835e-05,1.50136689e-03
5.20129569e+01,5.17629569e+01,6.38465127e-05,1.50127285e-03
5.21129820e+01,5.18629820e+01,6.32140018e-05,1.49575120e-03
5.22130070e+01,5.19630070e+01,6.38438651e-05,1.49990540e-03
5.23130320e+01,5.20630320e+01,6.34228480e-05,1.49849677e-03
5.24130571e+01,5.21630571e+01,6.27845155e-05,1.50112106e-03
5.25130821e+01,5.22630821e+01,6.20202456e-05,1.50086609e-03
5.26131072e+01,5.23631072e+01,6.17718348e-05,1.49545833e-03
5.27131322e+01,5.24631322e+01,5.96400570e-05,1.49885805e-03
5.28131572e+01,5.25631572e+01,5.88706621e-05,1.49538228e-03
5.29131823e+01,5.26631823e+01,5.79896999e-05,1.49336880e-03
5.30132073e+01,5.27632073e+01,5.76283949e-05,1.49116869e-03
5.31132323e+01,5.28632323e+01,5.73875713e-05,1.48818064e-03
5.32132574e+01,5.29632574e+01,5.73366985e-05,1.48991497e-03
5.33132824e+01,5.30632824e+01,5.73448144e-05,1.48603919e-03
5.34133075e+01,5.31633075e+01,5.83298335e-05,1.48795159e-03
5.35133325e+01,5.32633325e+01,5.65131866e-05,1.48865244e-03
5.36133575e+01,5.33633575e+01,5.57876994e-05,1.48625721e-03
5.37133826e+01,5.34633826e+01,5.53087265e-05,1.48539020e-03
5.38134076e+01,5.35634076e+01,5.56531320e-05,1.48876622e-03
5.39134326e+01,5.36634326e+01,5.46462886e-05,1.49060926e-03
5.40134577e+01,5.37634577e+01,5.38109970e-05,1.49176678e-03
5.41134827e+01,5.38634827e+01,5.34056411e-05,1.49085845e-03
5.42135078e+01,5.39635078e+01,5.31965667e-05,1.48471499e-03
5.43135328e+01,5.40635328e+01,5.29362363e-05,1.48490326e-03
5.44135578e+01,5.41635578e+01,5.28324597e-05,1.48815199e-03
5.45135829e+01,5.42635829e+01,5.29802562e-05,1.48435725e-03
5.46136079e+01,5.43636079e+01,5.31678344e-05,1.48286463e-03
5.47136329e+01,5.44636329e+01,5.22776165e-05,1.48324913e-03
5.48136580e+01,5.45636580e+01,5.12561722e-05,1.48335781e-03
5.49136830e+01,5.46636830e+01,5.08491790e-05,1.48141228e-03
5.50137081e+01,5.47637081e+01,5.06673604e-05,1.48156043e-03
5.51137331e+01,5.48637331e+01,5.03007407e-05,1.47964203e-03
5.52137581e+01,5.49637581e+01,5.08382141e-05,1.47317047e-03
5.53137832e+01,5.50637832e+01,5.09993275e-05,1.47347064e-03
5.54138082e+01,5.51638082e+01,5.05860485e-05,1.46806062e-03
5.55138332e+01,5.52638332e+01,4.97928619e-05,1.46373887e-03
5.56138583e+01,5.53638583e+01,4.88566880e-05,1.46921361e-03
5.57138833e+01,5.54638833e+01,4.89086564e-05,1.46898664e-03
5.58139084e+01,5.55639084e+01,4.78703606e-05,1.47253798e-03
5.59139334e+01,5.56639334e+01,4.74045444e-05,1.46927344e-03
5.60139584e+01,5.57639584e+01,4.64693485e-05,1.46320902e-03
5.61139835e+01,5.58639835e+01,4.51326974e-05,1.46715933e-03
5.62140085e+01,5.59640085e+01,4.56609590e-05,1.46605255e-03
5.63140336e+01,5.60640336e+01,4.48861113e-05,1.46650707e-03
5.64140586e+01,5.61640586e+01,4.55949809e-05,1.46818491e-03
5.65140836e+01,5.62640836e+01,4.51233863e-05,1.46539915e-03
5.66141087e+01,5.63641087e+01,4.38620037e-05,1.46680191e-03
5.67141337e+01,5.64641337e+01,4.29229607e-05,1.46516718e-03
5.68141587e+01,5.65641587e+01,4.32475191e-05,1.46752503e-03
5.69141838e+01,5.66641838e+01,4.09984247e-05,1.46897448e-03
5.70142088e+01,5.67642088e+01,4.07829272e-05,1.46563199e-03
5.71142339e+01,5.68642339e+01,4.09173695e-05,1.46230623e-03
5.72142589e+01,5.69642589e+01,4.04996884e-05,1.46097267e-03
5.73142839e+01,5.70642839e+01,4.21412247e-05,1.46176860e-03
5.74143090e+01,5.71643090e+01,4.09037695e-05,1.45917903e-03
5.75143340e+01,5.72643340e+01,4.03402600e-05,1.45564891e-03
5.76143590e+01,5.73643590e+01,3.99886226e-05,1.45500501e-03
5.77143841e+01,5.74643841e+01,4.02292962e-05,1.45613166e-03
5.78144091e+01,5.75644091e+01,4.05994486e-05,1.45332243e-03
5.79144342e+01,5.76644342e+01,4.01741507e-05,1.45652741e-03
5.80144592e+01,5.77644592e+01,3.97839082e-05,1.45698472e-03
5.81144842e+01,5.78644842e+01,3.85853287e-05,1.45789311e-03
5.82145093e+01,5.79645093e+01,3.85459371e-05,1.45583303e-03
5.83145343e+01,5.80645343e+01,3.73415185e-05,1.45342825e-03
5.84145593e+01,5.81645593e+01,3.62381788e-05,1.45592262e-03
5.85145844e+01,5.82645844e+01,3.60954402e-05,1.45358166e-03
5.86146094e+01,5.83646094e+01,3.58199315e-05,1.45547980e-03
5.87146345e+01,5.84646345e+01,3.54679251e-05,1.45222445e-03
5.88146595e+01,5.85646595e+01,3.50899769e-05,1.45095107e-03
5.89146845e+01,5.86646845e+01,3.46849365e-05,1.44697352e-03
5.90147096e+01,5.87647096e+01,3.41831022e-05,1.44231075e-03
5.91147346e+01,5.88647346e+01,3.39428145e-05,1.44436685e-03
5.92147596e+01,5.89647596e+01,3.35187842e-05,1.44414959e-03
5.93147847e+01,5.90647847e+01,3.35277455e-05,1.44944708e-03
5.94148097e+01,5.91648097e+01,3.21847297e-05,1.44085935e-03
5.95148348e+01,5.92648348e+01,3.19319885e-05,1.43827696e-03
5.96148598e+01,5.93648598e+01,3.15775597e-05,1.43604639e-03
5.97148848e+01,5.94648848e+01,3.17037427e-05,1.43465413e-03
5.98149099e+01,5.95649099e+01,3.08722517e-05,1.43508150e-03
5.99149349e+01,5.96649349e+01,3.04904047e-05,1.43653568e-03
6.00149599e+01,5.97649599e+01,3.00785529e-05,1.43557774e-03
6.01149850e+01,5.98649850e+01,2.96968157e-05,1.43479944e-03
6.02150100e+01,5.99650100e+01,3.18434150e-05,1.42929750e-03
6.03150351e+01,6.00650351e+01,3.16179067e-05,1.42990226e-03
6.04150601e+01,6.01650601e+01,3.19782964e-05,1.43621230e-03
6.05150851e+01,6.02650851e+01,3.14704654e-05,1.43737629e-03
6.06151102e+01,6.03651102e+01,3.12034254e-05,1.43496955e-03
6.07151352e+01,6.04651352e+01,3.05978511e-05,1.43591745e-03
6.08151602e+01,6.05651602e+01,3.06205899e-05,1.43038106e-03
6.09151853e+01,6.06651853e+01,3.02553050e-05,1.42858728e-03
6.10152103e+01,6.07652103e+01,2.93370323e-05,1.42836976e-03
6.11152354e+01,6.08652354e+01,2.89460218e-05,1.42641448e-03
6.12152604e+01,6.09652604e+01,2.88025152e-05,1.42493887e-03
6.13152854e+01,6.10652854e+01,2.83049854e-05,1.42521033e-03
6.14153105e+01,6.11653105e+01,3.01380927e-05,1.42147242e-03
6.15153355e+01,6.12653355e+01,3.01639687e-05,1.41895490e-03
6.16153605e+01,6.13653605e+01,2.97105385e-05,1.41987774e-03
6.17153856e+01,6.14653856e+01,2.95250180e-05,1.42149952e-03
6.18154106e+01,6.15654106e+01,2.94254560e-05,1.41927968e-03
6.19154357e+01,6.16654357e+01,2.90613741e-05,1.42062029e-03
6.20154607e+01,6.17654607e+01,2.85399677e-05,1.41930678e-03
6.21154857e+01,6.18654857e+01,2.75180616e-05,1.41494416e-03
6.22155108e+01,6.19655108e+01,2.71735448e-05,1.41410882e-03
6.23155358e+01,6.20655358e+01,2.74699949e-05,1.41290921e-03
6.24155608e+01,6.21655608e+01,2.60768441e-05,1.41015859e-03
6.25155859e+01,6.22655859e+01,2.58106725e-05,1.41109398e-03
6.26156109e+01,6.23656109e+01,2.56692179e-05,1.40596137e-03
6.27156360e+01,6.24656360e+01,2.54296642e-05,1.40781855e-03
6.28156610e+01,6.25656610e+01,2.55450488e-05,1.41094273e-03
6.29156860e+01,6.26656860e+01,2.52997412e-05,1.40914232e-03
6.30157111e+01,6.27657111e+01,2.50434832e-05,1.41019041e-03
6.31157361e+01,6.28657361e+01,2.46671987e-05,1.40502114e-03
6.32157611e+01,6.29657611e+01,2.44877869e-05,1.40631075e-03
6.33157862e+01,6.30657862e+01,2.43048413e-05,1.40303889e-03
6.34158112e+01,6.31658112e+01,2.40352747e-05,1.39918817e-03
6.35158363e+01,6.32658363e+01,2.39002736e-05,1.39666359e-03
6.36158613e+01,6.33658613e+01,2.37730804e-05,1.39871954e-03
6.37158863e+01,6.34658863e+01,2.38270181e-05,1.40274386e-03
6.38159114e+01,6.35659114e+01,2.34912006e-05,1.39902570e-03
6.39159364e+01,6.36659364e+01,2.30082203e-05,1.39965665e-03
6.40159614e+01,6.37659614e+01,2.56221193e-05,1.39595219e-03
6.41159865e+01,6.38659865e+01,2.37226313e-05,1.39366814e-03
6.42160115e+01,6.39660115e+01,2.30449580e-05,1.39312514e-03
6.43160366e+01,6.40660366e+01,2.28153838e-05,1.39233842e-03
6.44160616e+01,6.41660616e+01,2.25431004e-05,1.39460665e-03
6.45160866e+01,6.42660866e+01,2.21475637e-05,1.39349084e-03
6.46161117e+01,6.43661117e+01,2.15280260e-05,1.39006681e-03
6.47161367e+01,6.44661367e+01,2.12760234e-05,1.39004798e-03
6.48161617e+01,6.45661617e+01,2.36613503e-05,1.39317185e-03
6.49161868e+01,6.46661868e+01,2.32839993e-05,1.39189191e-03
6.50162118e+01,6.47662118e+01,2.23347611e-05,1.38931288e-03
6.51162369e+01,6.48662369e+01,2.18495975e-05,1.38536240e-03
6.52162619e+01,6.49662619e+01,2.14727176e-05,1.38410579e-03
6.53162869e+01,6.50662869e+01,2.10241897e-05,1.38160494e-03
6.54163120e+01,6.51663120e+01,2.11031709e-05,1.37929819e-03
6.55163370e+01,6.52663370e+01,2.03976719e-05,1.38017127e-03
6.56163620e+01,6.53663620e+01,1.99775951e-05,1.37503482e-03
6.57163871e+01,6.54663871e+01,1.96724338e-05,1.37208710e-03
6.58164121e+01,6.55664121e+01,1.94917137e-05,1.37578520e-03
6.59164372e+01,6.56664372e+01,1.94346606e-05,1.37436894e-03
6.60164622e+01,6.57664622e+01,1.93049659e-05,1.37677678e-03
6.61164872e+01,6.58664872e+01,1.92893531e-05,1.37451694e-03
6.62165123e+01,6.59665123e+01,1.89861405e-05,1.37654153e-03
6.63165373e+01,6.60665373e+01,1.88535432e-05,1.37688349e-03
6.64165623e+01,6.61665623e+01,1.87214284e-05,1.37586306e-03
6.65165874e+01,6.62665874e+01,1.86500727e-05,1.37407055e-03
6.66166124e+01,6.63666124e+01,1.83801550e-05,1.37228463e-03
6.67166375e+01,6.64666375e+01,1.82199474e-05,1.36909814e-03
6.68166625e+01,6.65666625e+01,1.78733748e-05,1.36849988e-03
6.69166875e+01,6.66666875e+01,1.77132015e-05,1.36905699e-03
6.70167126e+01,6.67667126e+01,1.75578744e-05,1.37112216e-03
6.71167376e+01,6.68667376e+01,1.78532863e-05,1.36855597e-03
6.72167626e+01,6.69667626e+01,1.74848071e-05,1.37150869e-03
6.73167877e+01,6.70667877e+01,1.75088492e-05,1.36801304e-03
6.74168127e+01,6.71668127e+01,1.74940448e-05,1.36667240e-03
6.75168378e+01,6.72668378e+01,1.72723168e-05,1.36878930e-03
6.76168628e+01,6.73668628e+01,1.70724594e-05,1.36837223e-03
6.77168878e+01,6.74668878e+01,1.64841880e-05,1.36535452e-03
6.78169129e+01,6.75669129e+01,1.63481715e-05,1.36291762e-03
6.79169379e+01,6.76669379e+01,1.62884704e-05,1.36376444e-03
6.80169629e+01,6.77669629e+01,1.59711960e-05,1.36444301e-03
6.81169880e+01,6.78669880e+01,1.58272003e-05,1.36502077e-03
6.82170130e+01,6.79670130e+01,1.57891874e-05,1.36128823e-03
6.83170381e+01,6.80670381e+01,1.57023930e-05,1.36217512e-03
6.84170631e+01,6.81670631e+01,1.56504941e-05,1.35653099e-03
6.85170881e+01,6.82670881e+01,1.56385037e-05,1.35177313e-03
6.86171132e+01,6.83671132e+01,1.55832972e-05,1.35315185e-03
6.87171382e+01,6.84671382e+01,1.52472182e-05,1.34764733e-03
6.88171632e+01,6.85671632e+01,1.49790179e-05,1.34719720e-03
6.89171883e+01,6.86671883e+01,1.48079324e-05,1.34649006e-03
6.90172133e+01,6.87672133e+01,1.46722093e-05,1.34596552e-03
6.91172384e+01,6.88672384e+01,1.45037177e-05,1.34498986e-03
6.92172634e+01,6.89672634e+01,1.41780134e-05,1.33962606e-03
6.93172884e+01,6.90672884e+01,1.39601195e-05,1.34353320e-03
6.94173135e+01,6.91673135e+01,1.38401951e-05,1.34452576e-03
6.95173385e+01,6.92673385e+01,1.38730422e-05,1.34013387e-03
6.96173635e+01,6.93673635e+01,1.38634648e-05,1.33714136e-03
6.97173886e+01,6.94673886e+01,1.38499962e-05,1.33315179e-03
6.98174136e+01,6.95674136e+01,1.36989743e-05,1.33361124e-03
6.99174387e+01,6.96674387e+01,1.35772139e-05,1.33303762e-03
7.00174637e+01,6.97674637e+01,1.36056055e-05,1.33469788e-03
7.01174887e+01,6.98674887e+01,1.35852212e-05,1.33548017e-03
7.02175138e+01,6.99675138e+01,1.35239869e-05,1.33393767e-03
7.03175388e+01,7.00675388e+01,1.33712269e-05,1.32956990e-03
7.04175638e+01,7.01675638e+01,1.32369447e-05,1.32634471e-03
7.05175889e+01,7.02675889e+01,1.32435180e-05,1.32448997e-03
7.06176139e+01,7.03676139e+01,1.32842589e-05,1.32315364e-03
7.07176390e+01,7.04676390e+01,1.34631855e-05,1.32360748e-03
7.08176640e+01,7.05676640e+01,1.33205303e-05,1.32036948e-03
7.09176890e+01,7.06676890e+01,1.32227731e-05,1.32011154e-03
7.10177141e+01,7.07677141e+01,1.32525401e-05,1.31904899e-03
7.11177391e+01,7.08677391e+01,1.32163863e-05,1.31799517e-03
7.12177641e+01,7.09677641e+01,1.39543369e-05,1.32189335e-03
7.13177892e+01,7.10677892e+01,1.44486269e-05,1.32086116e-03
7.14178142e+01,7.11678142e+01,1.42980356e-05,1.32133575e-03
7.15178393e+01,7.12678393e+01,1.41674973e-05,1.31735158e-03
7.16178643e+01,7.13678643e+01,1.34195460e-05,1.31506649e-03
7.17178893e+01,7.14678893e+01,1.29555862e-05,1.31447860e-03
7.18179144e+01,7.15679144e+01,1.26496752e-05,1.31259743e-03
7.19179394e+01,7.16679394e+01,1.32264738e-05,1.30813075e-03
7.20179644e+01,7.17679644e+01,1.34910059e-05,1.30637960e-03
7.21179895e+01,7.18679895e+01,1.26841297e-05,1.30349956e-03
7.22180145e+01,7.19680145e+01,1.22978178e-05,1.30370335e-03
7.23180396e+01,7.20680396e+01,1.21296866e-05,1.30234962e-03
7.24180646e+01,7.21680646e+01,1.19869078e-05,1.30090762e-03
7.25180896e+01,7.22680896e+01,1.19259934e-05,1.29869726e-03
7.26181147e+01,7.23681147e+01,1.18332810e-05,1.30032663e-03
7.27181397e+01,7.24681397e+01,1.17494524e-05,1.29865282e-03
7.28181647e+01,7.25681647e+01,1.14720443e-05,1.29329026e-03
7.29181898e+01,7.26681898e+01,1.13687302e-05,1.29095374e-03
7.30182148e+01,7.27682148e+01,1.13309027e-05,1.28797703e-03
7.31182399e+01,7.28682399e+01,1.12513450e-05,1.28876383e-03
7.32182649e+01,7.29682649e+01,1.11028801e-05,1.29105038e-03
7.33182899e+01,7.30682899e+01,1.10957082e-05,1.28602635e-03
7.34183150e+01,7.31683150e+01,1.09773437e-05,1.28344784e-03
7.35183400e+01,7.32683400e+01,1.06968767e-05,1.27899312e-03
7.36183650e+01,7.33683650e+01,1.06635819e-05,1.28209975e-03
7.37183901e+01,7.34683901e+01,1.06461534e-05,1.27912562e-03
7.38184151e+01,7.35684151e+01,1.05105246e-05,1.27850368e-03
7.39184402e+01,7.36684402e+01,1.03477754e-05,1.28064756e-03
7.40184652e+01,7.37684652e+01,1.02094594e-05,1.27806758e-03
7.41184902e+01,7.38684902e+01,1.00454726e-05,1.27533382e-03
7.42185153e+01,7.39685153e+01,1.00357063e-05,1.27380850e-03
7.43185403e+01,7.40685403e+01,9.91879510e-06,1.27398076e-03
7.44185653e+01,7.41685653e+01,9.83065318e-06,1.27092127e-03
7.45185904e+01,7.42685904e+01,9.68027971e-06,1.27484675e-03
7.46186154e+01,7.43686154e+01,9.48860925e-06,1.27062336e-03
7.47186405e+01,7.44686405e+01,9.47550810e-06,1.26648709e-03
7.48186655e+01,7.45686655e+01,9.78823717e-06,1.26506905e-03
7.49186905e+01,7.46686905e+01,9.84360000e-06,1.26227187e-03
7.50187156e+01,7.47687156e+01,9.74631561e-06,1.26450972e-03
7.51187406e+01,7.48687406e+01,9.57322939e-06,1.26842138e-03
7.52187656e+01,7.49687656e+01,9.52837863e-06,1.26316743e-03
7.53187907e+01,7.50687907e+01,9.47148210e-06,1.26244258e-03
7.54188157e+01,7.51688157e+01,9.50702317e-06,1.26031070e-03
7.55188408e+01,7.52688408e+01,9.72212644e-06,1.26087860e-03
7.56188658e+01,7.53688658e+01,1.00755844e-05,1.25696402e-03
7.57188908e+01,7.54688908e+01,1.05168462e-05,1.25387464e-03
7.58189159e+01,7.55689159e+01,1.11220320e-05,1.25634530e-03
7.59189409e+01,7.56689409e+01,9.53449938e-06,1.25623819e-03
7.60189659e+01,7.57689659e+01,8.91177794e-06,1.25061668e-03
7.61189910e+01,7.58689910e+01,9.13357440e-06,1.25072183e-03
7.62190160e+01,7.59690160e+01,8.85494321e-06,1.24872650e-03
7.63190411e+01,7.60690411e+01,8.68832597e-06,1.24762412e-03
7.64190661e+01,7.61690661e+01,8.57404366e-06,1.24817997e-03
7.65190911e+01,7.62690911e+01,8.34207915e-06,1.24580903e-03
7.66191162e+01,7.63691162e+01,8.22987449e-06,1.24495904e-03
7.67191412e+01,7.64691412e+01,7.83380109e-06,1.24063591e-03
7.68191662e+01,7.65691662e+01,7.70626110e-06,1.24115466e-03
7.69191913e+01,7.66691913e+01,8.08862883e-06,1.24070143e-03
7.70192163e+01,7.67692163e+01,8.21757069e-06,1.24048786e-03
7.71192414e+01,7.68692414e+01,7.56539431e-06,1.23310511e-03
7.72192664e+01,7.69692664e+01,7.15498003e-06,1.23378748e-03
7.73192914e+01,7.70692914e+01,7.08927814e-06,1.23343220e-03
7.74193165e+01,7.71693165e+01,7.00163345e-06,1.23376432e-03
7.75193415e+01,7.72693415e+01,6.89269346e-06,1.23367100e-03
