z_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_z_mean,current_z_std
5.00000000e-02,2.49374027e-03,5.70120051e-05,0.00000000e+00,0.00000000e+00,4.28886362e-04,3.92202703e-05,6.51654443e-03,8.94116448e-05,4.03051070e+00,6.07883780e-02,1.87320115e+04,3.13961935e+02,2.74205849e-03,7.77221203e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-01,2.46628456e-03,5.80041989e-05,0.00000000e+00,0.00000000e+00,4.59815695e-04,4.37409291e-05,6.38553141e-03,5.21882132e-05,4.03042520e+00,6.26231253e-02,1.86935338e+04,3.79939565e+02,2.75203799e-03,8.11459136e-05,0.00000000e+00,0.00000000e+00,9.73439996e+00,1.42999402e-01
2.50000000e-01,2.47604077e-03,5.59709078e-05,0.00000000e+00,0.00000000e+00,4.33741342e-04,2.86518761e-05,6.37646617e-03,5.81200696e-05,4.02862738e+00,6.13911310e-02,1.85612923e+04,3.01879477e+02,2.73779419e-03,6.85750703e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e-01,2.47703342e-03,5.53052512e-05,0.00000000e+00,0.00000000e+00,4.44432795e-04,3.20465032e-05,6.35170206e-03,6.87387984e-05,4.02021863e+00,6.07262374e-02,1.85529785e+04,2.95664161e+02,2.74962296e-03,7.16127132e-05,0.00000000e+00,0.00000000e+00,9.73359996e+00,1.40399358e-01
4.50000000e-01,2.48509280e-03,5.60978806e-05,0.00000000e+00,0.00000000e+00,4.45467439e-04,2.75127441e-05,6.30345586e-03,6.71730201e-05,4.04473700e+00,6.27799167e-02,1.85817875e+04,3.08337558e+02,2.76082716e-03,6.86856869e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.50000000e-01,2.48306948e-03,5.73848365e-05,0.00000000e+00,0.00000000e+00,4.37033774e-04,2.06058409e-05,6.27677984e-03,6.61519697e-05,4.03634013e+00,6.31584319e-02,1.85446905e+04,3.19696078e+02,2.75128351e-03,6.63840539e-05,0.00000000e+00,0.00000000e+00,9.71579996e+00,1.39833744e-01
6.50000000e-01,2.47390181e-03,5.72057976e-05,0.00000000e+00,0.00000000e+00,4.39420328e-04,2.31145508e-05,6.25348082e-03,6.51502905e-05,4.02727276e+00,6.26367080e-02,1.84799943e+04,3.17280250e+02,2.74464983e-03,6.78455572e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.50000000e-01,2.49528308e-03,5.82245468e-05,0.00000000e+00,0.00000000e+00,4.16755361e-04,1.94400080e-05,6.22393026e-03,6.17565359e-05,4.02675921e+00,5.99339012e-02,1.86445338e+04,3.02429785e+02,2.74223312e-03,6.74602913e-05,0.00000000e+00,0.00000000e+00,9.71779996e+00,1.42068762e-01
8.50000000e-01,2.50263721e-03,5.63120522e-05,0.00000000e+00,0.00000000e+00,4.14822056e-04,2.03807337e-05,6.27348495e-03,9.93656793e-05,4.04982187e+00,5.76907929e-02,1.86412651e+04,3.03708867e+02,2.74629606e-03,6.66991534e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.50000000e-01,2.51901579e-03,5.98169829e-05,0.00000000e+00,0.00000000e+00,4.51599356e-04,5.10146885e-05,6.18277800e-03,6.46533887e-05,4.03724018e+00,5.62942068e-02,1.86834088e+04,3.06469869e+02,2.80298467e-03,8.42543480e-05,0.00000000e+00,0.00000000e+00,9.72919996e+00,1.42660102e-01
1.05000000e+00,2.50135047e-03,6.04401261e-05,0.00000000e+00,0.00000000e+00,4.37161286e-04,4.13016483e-05,6.12064111e-03,5.82835985e-05,4.01724806e+00,5.74998296e-02,1.85671253e+04,3.16117868e+02,2.77285921e-03,8.13992745e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.15000000e+00,2.51052611e-03,6.39113982e-05,0.00000000e+00,0.00000000e+00,4.14252385e-04,1.80838268e-05,6.09281829e-03,5.84552722e-05,4.02781359e+00,5.92085007e-02,1.85876070e+04,3.39932337e+02,2.76080015e-03,7.32760544e-05,0.00000000e+00,0.00000000e+00,9.72359996e+00,1.41587141e-01
1.25000000e+00,2.49214218e-03,6.23693743e-05,0.00000000e+00,0.00000000e+00,4.08729310e-04,1.65294911e-05,6.06250845e-03,5.76336830e-05,4.02096423e+00,6.10703529e-02,1.84856210e+04,3.25455160e+02,2.73814005e-03,7.03086873e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.35000000e+00,2.47221483e-03,5.99761600e-05,0.00000000e+00,0.00000000e+00,4.57518729e-04,3.69318772e-05,6.03726205e-03,5.84678233e-05,4.01354661e+00,5.78387182e-02,1.84065652e+04,3.14497126e+02,2.76669263e-03,8.14060438e-05,0.00000000e+00,0.00000000e+00,9.70299996e+00,1.39681049e-01
1.45000000e+00,2.48596538e-03,5.83051325e-05,0.00000000e+00,0.00000000e+00,4.33913185e-04,1.91436676e-05,5.97965637e-03,5.26872778e-05,4.01187394e+00,5.88275847e-02,1.84796635e+04,3.12080573e+02,2.75788064e-03,6.86575872e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.55000000e+00,2.46446517e-03,5.60885957e-05,0.00000000e+00,0.00000000e+00,4.40098126e-04,2.78724117e-05,5.96809423e-03,5.61057107e-05,3.98737030e+00,5.70767003e-02,1.83407738e+04,2.94819634e+02,2.74333475e-03,6.71912501e-05,0.00000000e+00,0.00000000e+00,9.72079996e+00,1.38339373e-01
1.65000000e+00,2.47368545e-03,5.73153704e-05,0.00000000e+00,0.00000000e+00,4.40967270e-04,1.90018521e-05,5.95819527e-03,5.98160439e-05,4.01533392e+00,5.88415922e-02,1.84090366e+04,2.92885402e+02,2.75309937e-03,6.30383152e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.75000000e+00,2.49604642e-03,6.20719442e-05,0.00000000e+00,0.00000000e+00,4.51451352e-04,2.03450510e-05,5.95615813e-03,5.91831232e-05,4.01615802e+00,5.97345381e-02,1.85002416e+04,3.25276323e+02,2.78588947e-03,6.76740880e-05,0.00000000e+00,0.00000000e+00,9.68839996e+00,1.37624854e-01
1.85000000e+00,2.48419727e-03,6.33144849e-05,0.00000000e+00,0.00000000e+00,4.72630406e-04,2.52630902e-05,5.94607447e-03,5.90122321e-05,3.99964191e+00,6.03802969e-02,1.84448527e+04,3.38663161e+02,2.79565038e-03,7.07504582e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.95000000e+00,2.48038445e-03,6.16417178e-05,0.00000000e+00,0.00000000e+00,4.89882584e-04,2.94853123e-05,5.91475494e-03,5.91795498e-05,4.00646878e+00,5.71385769e-02,1.84352207e+04,3.18402435e+02,2.80979677e-03,7.39277716e-05,0.00000000e+00,0.00000000e+00,9.69019996e+00,1.37383861e-01
2.05000000e+00,2.44411476e-03,6.14666682e-05,0.00000000e+00,0.00000000e+00,5.17105069e-04,3.66942272e-05,5.82376743e-03,6.60958966e-05,3.98415577e+00,6.02189625e-02,1.82262189e+04,3.21014119e+02,2.80266832e-03,7.11670343e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.15000000e+00,2.44910355e-03,6.30197894e-05,0.00000000e+00,0.00000000e+00,4.94016528e-04,2.50533088e-05,5.80523537e-03,7.86941327e-05,3.97141833e+00,5.93589667e-02,1.82535359e+04,3.25906035e+02,2.78422686e-03,7.30918276e-05,0.00000000e+00,0.00000000e+00,9.68099996e+00,1.37948599e-01
2.25000000e+00,2.45905633e-03,6.10031868e-05,0.00000000e+00,0.00000000e+00,4.68540470e-04,1.89636593e-05,5.73698105e-03,7.19543558e-05,3.96609763e+00,6.07146991e-02,1.82361642e+04,3.26686476e+02,2.77089690e-03,6.92247245e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.35000000e+00,2.47664113e-03,5.96575194e-05,0.00000000e+00,0.00000000e+00,4.76972742e-04,2.31938249e-05,5.68339923e-03,6.66653117e-05,3.98369077e+00,5.76413435e-02,1.82856570e+04,3.13672620e+02,2.79837732e-03,7.19348088e-05,0.00000000e+00,0.00000000e+00,9.67559996e+00,1.38387552e-01
