z_cm,pb_n2n,nXt
5.00000000e-02,6.49924626e-03,2.49374027e-03
1.50000000e-01,6.36845510e-03,2.46628456e-03
2.50000000e-01,6.35943572e-03,2.47604077e-03
3.50000000e-01,6.33473027e-03,2.47703342e-03
4.50000000e-01,6.28658511e-03,2.48509280e-03
5.50000000e-01,6.25998186e-03,2.48306948e-03
6.50000000e-01,6.23673563e-03,2.47390181e-03
7.50000000e-01,6.20726456e-03,2.49528308e-03
8.50000000e-01,6.25665586e-03,2.50263721e-03
9.50000000e-01,6.16621139e-03,2.51901579e-03
1.05000000e+00,6.10424186e-03,2.50135047e-03
1.15000000e+00,6.07648532e-03,2.51052611e-03
1.25000000e+00,6.04625468e-03,2.49214218e-03
1.35000000e+00,6.02108849e-03,2.47221483e-03
1.45000000e+00,5.96363278e-03,2.48596538e-03
1.55000000e+00,5.95210359e-03,2.46446517e-03
1.65000000e+00,5.94224085e-03,2.47368545e-03
1.75000000e+00,5.94021366e-03,2.49604642e-03
1.85000000e+00,5.93017426e-03,2.48419727e-03
1.95000000e+00,5.89894398e-03,2.48038445e-03
2.05000000e+00,5.80820219e-03,2.44411476e-03
2.15000000e+00,5.78971286e-03,2.44910355e-03
2.25000000e+00,5.72163147e-03,2.45905633e-03
2.35000000e+00,5.66818121e-03,2.47664113e-03
2.45000000e+00,5.63047610e-03,2.45821811e-03
2.55000000e+00,5.59415431e-03,2.45870650e-03
2.65000000e+00,5.54127707e-03,2.45396213e-03
2.75000000e+00,5.46827250e-03,2.43516589e-03
2.85000000e+00,5.44797180e-03,2.44645182e-03
2.95000000e+00,5.40001602e-03,2.46641594e-03
3.05000000e+00,5.37050595e-03,2.45697665e-03
3.15000000e+00,5.33358386e-03,2.43920826e-03
3.25000000e+00,5.31859117e-03,2.42703331e-03
3.35000000e+00,5.30863126e-03,2.42427718e-03
3.45000000e+00,5.50609866e-03,2.44224270e-03
3.55000000e+00,5.23666330e-03,2.43038651e-03
3.65000000e+00,5.16238410e-03,2.45037922e-03
3.75000000e+00,5.11117699e-03,2.43390256e-03
3.85000000e+00,5.13991268e-03,2.42776717e-03
3.95000000e+00,5.07425860e-03,2.43550051e-03
4.05000000e+00,5.03974394e-03,2.42298409e-03
4.15000000e+00,5.01261661e-03,2.41840697e-03
4.25000000e+00,5.08972652e-03,2.44908953e-03
4.35000000e+00,5.04256011e-03,2.42031356e-03
4.45000000e+00,5.06624568e-03,2.43169397e-03
4.55000000e+00,5.03291090e-03,2.40115816e-03
4.65000000e+00,4.90612213e-03,2.42611857e-03
4.75000000e+00,4.88455086e-03,2.41044617e-03
4.85000000e+00,4.88015831e-03,2.40767154e-03
4.95000000e+00,4.85143074e-03,2.43226754e-03
5.05000000e+00,4.79473964e-03,2.41391839e-03
5.15000000e+00,4.80341890e-03,2.40783481e-03
5.25000000e+00,4.83417731e-03,2.41486131e-03
5.35000000e+00,4.77734512e-03,2.41283227e-03
5.45000000e+00,4.69843586e-03,2.42782200e-03
5.55000000e+00,4.63430970e-03,2.44565975e-03
5.65000000e+00,4.55996060e-03,2.43111596e-03
5.75000000e+00,4.52791481e-03,2.42598218e-03
5.85000000e+00,4.48161122e-03,2.41174936e-03
5.95000000e+00,4.49367486e-03,2.42478523e-03
6.05000000e+00,4.43014830e-03,2.40426620e-03
6.15000000e+00,4.36354755e-03,2.37400087e-03
6.25000000e+00,4.35233302e-03,2.37073225e-03
6.35000000e+00,4.34272746e-03,2.37494055e-03
6.45000000e+00,4.29718714e-03,2.36175568e-03
6.55000000e+00,4.23441632e-03,2.34802649e-03
6.65000000e+00,4.29153883e-03,2.38399997e-03
