z_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_z_mean,current_z_std
5.00000000e-02,2.55275769e-03,6.02791085e-05,0.00000000e+00,0.00000000e+00,5.03902713e-04,3.07105521e-05,6.43674138e-03,7.26182959e-05,4.04287370e+00,5.29937807e-02,1.86545331e+04,3.01699925e+02,2.88641704e-03,6.57102069e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-01,2.56661662e-03,5.72556821e-05,0.00000000e+00,0.00000000e+00,4.73041636e-04,2.59509622e-05,6.40836074e-03,6.85054841e-05,4.03934954e+00,4.98758867e-02,1.86981311e+04,2.83066919e+02,2.86998974e-03,6.69929670e-05,0.00000000e+00,0.00000000e+00,9.76860000e+00,1.26948169e-01
2.50000000e-01,2.55564578e-03,5.83508601e-05,0.00000000e+00,0.00000000e+00,4.86544916e-04,3.01328059e-05,6.37112714e-03,6.36967602e-05,4.04402497e+00,5.10334447e-02,1.86987368e+04,2.86377017e+02,2.87076785e-03,7.41374250e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e-01,2.57979210e-03,5.90858251e-05,0.00000000e+00,0.00000000e+00,5.04769021e-04,4.55092377e-05,6.34276456e-03,7.79376414e-05,4.06333631e+00,5.14661889e-02,1.88261784e+04,2.78437506e+02,2.91187627e-03,8.57296520e-05,0.00000000e+00,0.00000000e+00,9.76140000e+00,1.26090997e-01
4.50000000e-01,2.55104033e-03,5.72224899e-05,0.00000000e+00,0.00000000e+00,5.13626507e-04,3.08872358e-05,6.25348423e-03,3.53361515e-05,4.04165007e+00,5.27865775e-02,1.86706007e+04,2.86083440e+02,2.89485185e-03,7.24854329e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.50000000e-01,2.55423772e-03,5.62284948e-05,0.00000000e+00,0.00000000e+00,5.18082015e-04,3.28239592e-05,6.22325312e-03,3.66542251e-05,4.03385129e+00,5.10135770e-02,1.86322684e+04,2.89064645e+02,2.90367764e-03,7.16898966e-05,0.00000000e+00,0.00000000e+00,9.76180000e+00,1.27545331e-01
6.50000000e-01,2.52678753e-03,5.54782349e-05,0.00000000e+00,0.00000000e+00,5.31027970e-04,3.41872550e-05,6.19894947e-03,3.78068508e-05,4.02672707e+00,5.13840336e-02,1.84874657e+04,2.88821177e+02,2.89058129e-03,7.23616594e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.50000000e-01,2.55592923e-03,5.46093316e-05,0.00000000e+00,0.00000000e+00,5.22547354e-04,3.18049040e-05,6.17220805e-03,3.84247875e-05,4.04674804e+00,5.22114080e-02,1.86254367e+04,2.83181844e+02,2.91156104e-03,7.19298839e-05,0.00000000e+00,0.00000000e+00,9.76680000e+00,1.27350854e-01
8.50000000e-01,2.55237480e-03,5.43811861e-05,0.00000000e+00,0.00000000e+00,5.66981903e-04,5.85433959e-05,6.13553862e-03,3.84980583e-05,4.04103519e+00,5.13318994e-02,1.86134776e+04,2.78222520e+02,2.95290699e-03,8.34938803e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.50000000e-01,2.54204301e-03,5.72776216e-05,0.00000000e+00,0.00000000e+00,5.47140100e-04,3.51396811e-05,6.10350211e-03,4.02166097e-05,4.03643559e+00,5.26837348e-02,1.85933027e+04,2.96358264e+02,2.92293465e-03,7.13735228e-05,0.00000000e+00,0.00000000e+00,9.75780000e+00,1.24962130e-01
1.05000000e+00,2.53775946e-03,5.55016331e-05,0.00000000e+00,0.00000000e+00,5.58741985e-04,3.82564099e-05,6.06724607e-03,3.95787559e-05,4.03185870e+00,5.34601580e-02,1.85544916e+04,2.94271035e+02,2.93084819e-03,7.36407224e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.15000000e+00,2.55874525e-03,5.71891071e-05,0.00000000e+00,0.00000000e+00,5.40789924e-04,3.32279050e-05,6.03256827e-03,3.99879353e-05,4.05559704e+00,5.55209942e-02,1.86651573e+04,3.03280080e+02,2.93630853e-03,6.76806710e-05,0.00000000e+00,0.00000000e+00,9.76500000e+00,1.24642919e-01
