r_cm,depth_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_r_mean,current_r_std
3.00012519e-01,5.00125188e-02,3.68708884e-04,1.35851448e-06,0.00000000e+00,0.00000000e+00,1.41547917e-05,4.80158153e-07,1.32079396e-02,4.89447469e-05,2.94848554e-01,1.04004664e-03,6.43275011e+03,2.26283966e+01,6.11034246e-05,6.84789837e-07,0.00000000e+00,0.00000000e+00,6.72200000e-02,9.66570528e-04
4.00037556e-01,1.50037556e-01,2.86103025e-04,1.02416279e-06,0.00000000e+00,0.00000000e+00,1.44858739e-05,6.06133418e-07,9.67542028e-03,3.21765406e-05,2.58859190e-01,1.04746229e-03,4.91529230e+03,1.63406609e+01,6.32365227e-05,7.85471030e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00062594e-01,2.50062594e-01,2.74142073e-04,1.02404678e-06,0.00000000e+00,0.00000000e+00,1.62360116e-05,6.70591106e-07,8.88518905e-03,3.06170446e-05,2.67954893e-01,1.05710759e-03,4.65406401e+03,1.60245088e+01,7.14728657e-05,8.34709506e-07,0.00000000e+00,0.00000000e+00,1.30933000e+00,2.19411771e-03
6.00087631e-01,3.50087631e-01,2.72673286e-04,1.03845675e-06,0.00000000e+00,0.00000000e+00,1.88478647e-05,7.81327504e-07,8.47064440e-03,2.82750292e-05,2.84613643e-01,1.14206449e-03,4.56898145e+03,1.53711796e+01,8.19362628e-05,9.43397227e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00112669e-01,4.50112669e-01,2.74194119e-04,9.82870619e-07,0.00000000e+00,0.00000000e+00,2.10648386e-05,8.48884567e-07,8.18572909e-03,2.67488982e-05,3.01413902e-01,1.11057600e-03,4.53584814e+03,1.37588891e+01,9.17695988e-05,1.05936508e-06,0.00000000e+00,0.00000000e+00,1.37490000e+00,2.49640131e-03
8.00137707e-01,5.50137707e-01,2.76684417e-04,1.06511621e-06,0.00000000e+00,0.00000000e+00,2.31139786e-05,8.07365944e-07,7.95698113e-03,2.43442940e-05,3.18550763e-01,1.14004856e-03,4.52452198e+03,1.40634675e+01,1.01172407e-04,1.11030875e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00162744e-01,6.50162744e-01,2.80362443e-04,1.04428633e-06,0.00000000e+00,0.00000000e+00,2.45987314e-05,7.21504375e-07,7.79443143e-03,2.49388577e-05,3.35616515e-01,1.18424852e-03,4.53501180e+03,1.35026006e+01,1.10057023e-04,1.05100613e-06,0.00000000e+00,0.00000000e+00,1.43872000e+00,2.65547183e-03
1.00018778e+00,7.50187782e-01,2.83715776e-04,1.00414304e-06,0.00000000e+00,0.00000000e+00,2.69152559e-05,7.67814855e-07,7.64433855e-03,2.46216262e-05,3.52151895e-01,1.33314451e-03,4.54500261e+03,1.29372599e+01,1.18985475e-04,1.14895483e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10021282e+00,8.50212819e-01,2.88925790e-04,1.04417895e-06,0.00000000e+00,0.00000000e+00,2.90124193e-05,7.47556575e-07,7.48766214e-03,2.05387999e-05,3.73065430e-01,1.51454186e-03,4.57138679e+03,1.28526006e+01,1.29602968e-04,1.11355141e-06,0.00000000e+00,0.00000000e+00,1.50145000e+00,2.84244076e-03
1.20023786e+00,9.50237857e-01,2.94561121e-04,1.12033285e-06,0.00000000e+00,0.00000000e+00,3.04385710e-05,7.48202675e-07,7.36795802e-03,2.22744415e-05,3.91382654e-01,1.45057929e-03,4.60084549e+03,1.19883902e+01,1.39145234e-04,1.25733286e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
