nuclide,atoms
Ag109,1.803023e+21
Am241,1.071305e+22
Am242_m1,3.407432e+18
Am243,1.910964e+21
Ba135,1.466811e+17
Ba137,1.674647e+22
Ba137_m1,5.844160e+14
Ba138,2.183593e+22
Ce140,1.994960e+22
Ce142,1.811901e+22
Cm242,8.902974e+15
Cm243,1.575911e+18
Cm244,8.899593e+19
Cm245,1.542215e+20
Cs133,1.741587e+22
Cs135,6.667283e+21
Cs137,3.825819e+21
Eu151,6.576997e+19
Eu153,1.709476e+21
Gd155,1.211580e+18
Gd157,2.273731e+18
He4,4.262309e+21
Kr80,1.239471e+16
Kr82,3.017474e+19
Kr83,8.991012e+20
Kr84,2.945536e+21
Kr86,4.349529e+21
La139,2.008816e+22
Mo100,2.199087e+22
Mo95,1.550175e+22
Mo97,1.897145e+22
Mo98,1.962708e+22
Nd143,1.031192e+22
Nd144,1.868575e+22
Nd145,9.617360e+21
Nd146,1.194903e+22
Np237,5.645369e+21
Np239,1.672514e+15
Pa231,1.576015e+15
Pa233,1.944008e+14
Pr141,1.740251e+22
Pu238,1.887111e+21
Pu239,3.599732e+22
Pu240,1.856272e+22
Pu241,3.394980e+20
Pu242,6.969183e+21
Rh103,8.501151e+21
Ru101,1.756075e+22
Ru102,1.998773e+22
Ru99,4.068578e+18
Sm149,2.510826e+19
Sm151,8.697828e+19
Sr88,7.966273e+21
Sr90,2.086830e+21
Tc99,1.697190e+22
Th230,1.730279e+17
Th232,6.370255e+16
U233,1.194516e+17
U234,1.505603e+21
U235,2.197699e+22
U236,2.955558e+22
U238,4.753090e+24
Xe126,4.158941e+15
Xe128,9.910164e+19
Xe130,1.887698e+20
Xe131,5.917588e+21
Xe132,2.139317e+22
Xe134,2.647025e+22
Xe136,4.038662e+22
Y89,1.021144e+22
Y90,5.293393e+17
Zr90,1.001248e+22
