nuclide,atoms
Ag109,3.86E+20
Am241,1.03E+19
Am243,2.50E+15
Ba135,5.93E+15
Ba137,3.01E+20
Ba138,1.98E+22
Ce140,1.83E+22
Ce142,1.69E+22
Cm242,5.27E+15
Cm243,2.97E+14
Cs133,1.98E+22
Cs135,1.97E+22
Cs137,1.29E+22
Eu151,1.41E+20
Eu153,5.53E+20
Gd155,1.09E+20
Gd157,4.02E+19
He4,5.23E+18
Kr80,3.42E+15
Kr82,4.64E+18
Kr83,1.52E+21
Kr84,2.82E+21
Kr86,5.18E+21
La139,1.88E+22
Mo100,1.89E+22
Mo95,1.93E+22
Mo97,1.76E+22
Mo98,1.73E+22
Nb93,8.79E+15
Nb95,3.66E+18
Nd143,1.70E+22
Nd144,1.54E+22
Nd145,1.14E+22
Nd146,9.12E+21
Np237,2.13E+21
Pa231,1.06E+15
Pr141,1.71E+22
Pu238,1.14E+20
Pu239,1.40E+23
Pu240,2.51E+21
Pu241,2.42E+19
Pu242,3.14E+17
Rh103,1.04E+22
Ru101,1.55E+22
Ru102,1.41E+22
Ru99,5.84E+16
Sm149,3.24E+21
Sm151,1.18E+21
Sr88,9.70E+21
Sr90,1.09E+22
Tc99,1.78E+22
Th230,5.02E+14
Th232,1.74E+15
U233,6.15E+14
U234,1.78E+20
U235,1.09E+24
U236,5.87E+22
U238,6.09E+24
Xe126,1.61E+15
Xe128,1.05E+19
Xe130,2.91E+19
Xe131,8.79E+21
Xe132,1.34E+22
Xe134,2.34E+22
Xe136,1.93E+22
Y89,1.30E+22
Y90,2.76E+18
Zr90,1.15E+24
Zr91,2.66E+23
Zr92,3.98E+23
Zr93,1.94E+22
Zr94,4.04E+23
Zr95,3.16E+18
Zr96,8.07E+22
