z_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_z_mean,current_z_std
5.00000000e-02,2.58511278e-03,1.95788961e-05,0.00000000e+00,0.00000000e+00,4.80935255e-04,1.10209737e-05,6.55598619e-03,2.29412016e-05,4.07074270e+00,1.86176585e-02,1.91752722e+04,1.02280642e+02,2.89067804e-03,2.58369287e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-01,2.57791313e-03,1.88905452e-05,0.00000000e+00,0.00000000e+00,4.77997926e-04,1.11508586e-05,6.52559024e-03,2.55969904e-05,4.06694943e+00,1.81215586e-02,1.91501519e+04,1.02794654e+02,2.88098284e-03,2.44982733e-05,0.00000000e+00,0.00000000e+00,9.85253996e+00,4.37264319e-02
2.50000000e-01,2.57840522e-03,1.78526565e-05,0.00000000e+00,0.00000000e+00,4.91277247e-04,1.14911513e-05,6.52207059e-03,3.88458361e-05,4.07072092e+00,1.81914084e-02,1.91556529e+04,9.43359075e+01,2.89470869e-03,2.52260228e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e-01,2.56540578e-03,1.76000914e-05,0.00000000e+00,0.00000000e+00,4.88825353e-04,1.07653174e-05,6.45666539e-03,2.90457131e-05,4.06051284e+00,1.84242181e-02,1.90590013e+04,9.48697147e+01,2.88134685e-03,2.43768100e-05,0.00000000e+00,0.00000000e+00,9.84281995e+00,4.21886388e-02
4.50000000e-01,2.56865674e-03,1.75868462e-05,0.00000000e+00,0.00000000e+00,4.89458747e-04,8.63582610e-06,6.37850029e-03,2.42600270e-05,4.05860579e+00,1.84135859e-02,1.90288820e+04,9.41205561e+01,2.88701617e-03,2.21950773e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.50000000e-01,2.56932650e-03,1.77552004e-05,0.00000000e+00,0.00000000e+00,4.87036046e-04,9.36429712e-06,6.35799901e-03,2.61679500e-05,4.05728629e+00,1.96593097e-02,1.90396911e+04,9.61021760e+01,2.88523743e-03,2.25598906e-05,0.00000000e+00,0.00000000e+00,9.83253995e+00,4.17959575e-02
6.50000000e-01,2.56677818e-03,1.72086020e-05,0.00000000e+00,0.00000000e+00,4.85874301e-04,9.91792617e-06,6.33175267e-03,2.75585253e-05,4.05083781e+00,1.92325493e-02,1.90177713e+04,9.56064279e+01,2.88160787e-03,2.23407175e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.50000000e-01,2.56261343e-03,1.69244106e-05,0.00000000e+00,0.00000000e+00,4.98904166e-04,1.26347280e-05,6.28971575e-03,2.64604324e-05,4.04637716e+00,1.81089452e-02,1.90037179e+04,9.05287938e+01,2.89130564e-03,2.45088428e-05,0.00000000e+00,0.00000000e+00,9.82311995e+00,4.16068620e-02
8.50000000e-01,2.55914261e-03,1.69093548e-05,0.00000000e+00,0.00000000e+00,4.93278941e-04,1.21152124e-05,6.29522372e-03,3.65872049e-05,4.05558020e+00,1.75936208e-02,1.90010664e+04,9.16216680e+01,2.88148210e-03,2.33852324e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.50000000e-01,2.55590111e-03,1.61738700e-05,0.00000000e+00,0.00000000e+00,5.06791290e-04,1.28009040e-05,6.21272422e-03,2.40662018e-05,4.04920745e+00,1.64311207e-02,1.89407276e+04,8.53913658e+01,2.89458989e-03,2.17413963e-05,0.00000000e+00,0.00000000e+00,9.81481995e+00,4.15842638e-02
1.05000000e+00,2.56454103e-03,1.64176740e-05,0.00000000e+00,0.00000000e+00,5.02766561e-04,1.19310913e-05,6.18269025e-03,2.96825508e-05,4.05720463e+00,1.66171065e-02,1.89650261e+04,8.85522973e+01,2.90024340e-03,2.36867572e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.15000000e+00,2.57377157e-03,1.70682707e-05,0.00000000e+00,0.00000000e+00,5.04967730e-04,1.16637889e-05,6.13808767e-03,2.12930650e-05,4.05933978e+00,1.65579593e-02,1.89902999e+04,9.42157170e+01,2.91266774e-03,2.31400172e-05,0.00000000e+00,0.00000000e+00,9.80753995e+00,4.14751364e-02
1.25000000e+00,2.56677717e-03,1.78988525e-05,0.00000000e+00,0.00000000e+00,5.04973059e-04,1.28394626e-05,6.09537333e-03,2.36115094e-05,4.05670930e+00,1.69613776e-02,1.89094635e+04,9.90895199e+01,2.90798745e-03,2.56239108e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.35000000e+00,2.56695404e-03,1.82676834e-05,0.00000000e+00,0.00000000e+00,4.94844452e-04,1.10854756e-05,6.06082388e-03,2.39781095e-05,4.05344082e+00,1.73900178e-02,1.89061380e+04,1.00692143e+02,2.89858074e-03,2.48205313e-05,0.00000000e+00,0.00000000e+00,9.79703995e+00,4.10358106e-02
1.45000000e+00,2.56251540e-03,1.79556831e-05,0.00000000e+00,0.00000000e+00,4.91311923e-04,1.07899104e-05,6.02437848e-03,2.26901257e-05,4.05225460e+00,1.70302585e-02,1.88707746e+04,9.79839165e+01,2.89172298e-03,2.35099792e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.55000000e+00,2.55120001e-03,1.77805845e-05,0.00000000e+00,0.00000000e+00,4.97273894e-04,1.12861567e-05,5.97062201e-03,2.05441335e-05,4.04259984e+00,1.62707495e-02,1.87941542e+04,9.78169647e+01,2.88745927e-03,2.27320882e-05,0.00000000e+00,0.00000000e+00,9.78827995e+00,4.05806312e-02
1.65000000e+00,2.54956894e-03,1.76516579e-05,0.00000000e+00,0.00000000e+00,5.05790430e-04,1.30283027e-05,5.92519950e-03,2.21065909e-05,4.04109266e+00,1.59904307e-02,1.87809258e+04,9.60884345e+01,2.89516061e-03,2.34200468e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.75000000e+00,2.55071101e-03,1.81296958e-05,0.00000000e+00,0.00000000e+00,5.06076935e-04,1.28416570e-05,5.89426283e-03,2.36822663e-05,4.03745243e+00,1.59439734e-02,1.87517724e+04,9.74834489e+01,2.89768380e-03,2.59072727e-05,0.00000000e+00,0.00000000e+00,9.78107995e+00,4.02362985e-02
1.85000000e+00,2.55113456e-03,1.73425830e-05,0.00000000e+00,0.00000000e+00,4.93428889e-04,9.43934228e-06,5.88412604e-03,2.97610369e-05,4.04240639e+00,1.53605404e-02,1.87843426e+04,9.63496550e+01,2.88445382e-03,2.23132171e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.95000000e+00,2.54932385e-03,1.75883488e-05,0.00000000e+00,0.00000000e+00,4.89960914e-04,1.02496316e-05,5.83640144e-03,2.04968943e-05,4.04155829e+00,1.56606729e-02,1.87536962e+04,9.26221377e+01,2.88112262e-03,2.35495289e-05,0.00000000e+00,0.00000000e+00,9.77523995e+00,4.00377410e-02
2.05000000e+00,2.54436842e-03,1.81318420e-05,0.00000000e+00,0.00000000e+00,4.93457486e-04,1.12179914e-05,5.78346302e-03,2.22462651e-05,4.03179171e+00,1.63973681e-02,1.87031740e+04,9.45103766e+01,2.88096824e-03,2.25491545e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.15000000e+00,2.54888355e-03,1.73255266e-05,0.00000000e+00,0.00000000e+00,4.93798460e-04,1.12375099e-05,5.74573429e-03,2.52841441e-05,4.02925776e+00,1.68493268e-02,1.87098013e+04,8.86313006e+01,2.88653977e-03,2.20026705e-05,0.00000000e+00,0.00000000e+00,9.76261995e+00,3.94377600e-02
2.25000000e+00,2.54458498e-03,1.84947893e-05,0.00000000e+00,0.00000000e+00,5.05577293e-04,1.11989283e-05,5.68531701e-03,2.18350268e-05,4.01883542e+00,1.61169726e-02,1.86598838e+04,9.45544419e+01,2.89521257e-03,2.40143539e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.35000000e+00,2.55088016e-03,1.68671693e-05,0.00000000e+00,0.00000000e+00,5.08492072e-04,1.06891892e-05,5.64733576e-03,2.33781095e-05,4.02681395e+00,1.58136390e-02,1.86693703e+04,8.63761693e+01,2.90557383e-03,2.28462178e-05,0.00000000e+00,0.00000000e+00,9.75777995e+00,3.94232514e-02
2.45000000e+00,2.54312668e-03,1.54716852e-05,0.00000000e+00,0.00000000e+00,4.95984725e-04,9.58133722e-06,5.61637422e-03,2.48758534e-05,4.01935935e+00,1.62656500e-02,1.86058296e+04,8.13765606e+01,2.88634964e-03,2.13679277e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.55000000e+00,2.53176403e-03,1.69070857e-05,0.00000000e+00,0.00000000e+00,4.96137439e-04,9.90245105e-06,5.56622800e-03,2.34487969e-05,4.00986267e+00,1.73229096e-02,1.85374676e+04,8.97017568e+01,2.87624726e-03,2.26342229e-05,0.00000000e+00,0.00000000e+00,9.75083995e+00,3.94570416e-02
2.65000000e+00,2.53311176e-03,1.63839609e-05,0.00000000e+00,0.00000000e+00,4.99723381e-04,1.00692521e-05,5.51905353e-03,2.25362089e-05,4.01449717e+00,1.77250800e-02,1.85219028e+04,8.70451973e+01,2.88234805e-03,2.25507812e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.75000000e+00,2.52445769e-03,1.76835289e-05,0.00000000e+00,0.00000000e+00,4.98070493e-04,1.00046388e-05,5.49481817e-03,2.28868573e-05,4.00537549e+00,1.69621501e-02,1.84657259e+04,9.43848022e+01,2.87259064e-03,2.34321771e-05,0.00000000e+00,0.00000000e+00,9.74045995e+00,3.91798788e-02
2.85000000e+00,2.52059920e-03,1.55970141e-05,0.00000000e+00,0.00000000e+00,4.93319722e-04,1.06491662e-05,5.47297977e-03,2.44719592e-05,4.00068129e+00,1.59199483e-02,1.84427207e+04,8.07183786e+01,2.86425148e-03,1.95505948e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.95000000e+00,2.52509937e-03,1.66417484e-05,0.00000000e+00,0.00000000e+00,4.96150989e-04,1.04251018e-05,5.43503668e-03,2.58771127e-05,4.00688101e+00,1.65155639e-02,1.84664836e+04,8.52020593e+01,2.87255377e-03,2.11051710e-05,0.00000000e+00,0.00000000e+00,9.73279995e+00,3.82657927e-02
3.05000000e+00,2.52227962e-03,1.68475212e-05,0.00000000e+00,0.00000000e+00,4.96281901e-04,1.15654644e-05,5.39061971e-03,2.57523493e-05,4.00174192e+00,1.67183822e-02,1.84123414e+04,8.78130151e+01,2.87119017e-03,2.23715008e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.15000000e+00,2.51669046e-03,1.76118602e-05,0.00000000e+00,0.00000000e+00,4.97042818e-04,1.13705147e-05,5.37292057e-03,3.18327569e-05,4.00236811e+00,1.76064521e-02,1.83763841e+04,9.09376651e+01,2.86744889e-03,2.26210956e-05,0.00000000e+00,0.00000000e+00,9.72097995e+00,3.87581757e-02
3.25000000e+00,2.51356770e-03,1.70785037e-05,0.00000000e+00,0.00000000e+00,4.84130251e-04,9.66035587e-06,5.31081221e-03,2.45585900e-05,3.99837730e+00,1.62449358e-02,1.83305610e+04,9.05728118e+01,2.85288918e-03,2.16329187e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.35000000e+00,2.50636377e-03,1.65465199e-05,0.00000000e+00,0.00000000e+00,4.74783620e-04,8.67578417e-06,5.29647502e-03,2.45617797e-05,3.99299624e+00,1.51061440e-02,1.82987007e+04,8.87188720e+01,2.83654528e-03,2.05627176e-05,0.00000000e+00,0.00000000e+00,9.71199995e+00,3.81941853e-02
3.45000000e+00,2.51209842e-03,1.66267286e-05,0.00000000e+00,0.00000000e+00,4.76414949e-04,8.90849189e-06,5.26156151e-03,2.83823581e-05,3.98949840e+00,1.46867298e-02,1.83053801e+04,8.58336768e+01,2.84434337e-03,2.21861524e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.55000000e+00,2.51260212e-03,1.65751165e-05,0.00000000e+00,0.00000000e+00,4.75502142e-04,8.33146015e-06,5.20890829e-03,2.66617442e-05,3.98634568e+00,1.44419677e-02,1.82714695e+04,8.24724935e+01,2.84552523e-03,2.16376019e-05,0.00000000e+00,0.00000000e+00,9.70839995e+00,3.81685824e-02
3.65000000e+00,2.51655686e-03,1.70765977e-05,0.00000000e+00,0.00000000e+00,4.78236162e-04,8.02968317e-06,5.17387555e-03,2.47804772e-05,3.98633198e+00,1.54289148e-02,1.82757356e+04,8.34330358e+01,2.85268053e-03,2.23968075e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.75000000e+00,2.51662744e-03,1.76201736e-05,0.00000000e+00,0.00000000e+00,4.86862937e-04,9.33567466e-06,5.13277351e-03,2.28989396e-05,3.98402011e+00,1.49063051e-02,1.82520371e+04,8.69912013e+01,2.86255363e-03,2.42867678e-05,0.00000000e+00,0.00000000e+00,9.69691995e+00,3.77941111e-02
3.85000000e+00,2.50551174e-03,1.67099121e-05,0.00000000e+00,0.00000000e+00,4.94888137e-04,1.02464707e-05,5.09760625e-03,2.42198833e-05,3.97909612e+00,1.50785388e-02,1.81809473e+04,8.51833198e+01,2.86028171e-03,2.41978989e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.95000000e+00,2.51474389e-03,1.67797032e-05,0.00000000e+00,0.00000000e+00,4.92792825e-04,9.12193365e-06,5.09548541e-03,3.67246414e-05,3.98553246e+00,1.51143757e-02,1.82359738e+04,8.44823133e+01,2.86725101e-03,2.26176917e-05,0.00000000e+00,0.00000000e+00,9.69209995e+00,3.75199116e-02
4.05000000e+00,2.51158509e-03,1.58858163e-05,0.00000000e+00,0.00000000e+00,5.03919021e-04,1.57156316e-05,5.03614168e-03,2.46218147e-05,3.97070105e+00,1.37716037e-02,1.81958862e+04,8.30520095e+01,2.87547314e-03,2.68564766e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.15000000e+00,2.50645163e-03,1.57267844e-05,0.00000000e+00,0.00000000e+00,4.94749214e-04,1.33892058e-05,5.01340335e-03,2.46100876e-05,3.97294527e+00,1.45198373e-02,1.81491015e+04,7.78748269e+01,2.86265203e-03,2.36350259e-05,0.00000000e+00,0.00000000e+00,9.68129995e+00,3.86223485e-02
4.25000000e+00,2.51357578e-03,1.68702781e-05,0.00000000e+00,0.00000000e+00,4.87445795e-04,9.92205942e-06,4.97588138e-03,2.58881719e-05,3.97332340e+00,1.46226206e-02,1.81652982e+04,8.49850823e+01,2.86355191e-03,2.22333944e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.35000000e+00,2.50316137e-03,1.71625834e-05,0.00000000e+00,0.00000000e+00,4.78394633e-04,8.89894694e-06,4.93626062e-03,2.48667070e-05,3.96622229e+00,1.42775047e-02,1.81129382e+04,8.78895846e+01,2.84453126e-03,2.21480114e-05,0.00000000e+00,0.00000000e+00,9.66677995e+00,3.91912541e-02
4.45000000e+00,2.50577610e-03,1.59284415e-05,0.00000000e+00,0.00000000e+00,4.85008821e-04,1.02972233e-05,4.91280505e-03,2.73042334e-05,3.96934699e+00,1.31851371e-02,1.81113376e+04,7.94417361e+01,2.85426279e-03,2.07181559e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.55000000e+00,2.49918581e-03,1.66267731e-05,0.00000000e+00,0.00000000e+00,4.82998514e-04,8.85582533e-06,4.87844974e-03,2.69664407e-05,3.96383910e+00,1.22037541e-02,1.80674836e+04,8.39482710e+01,2.84701900e-03,2.00723058e-05,0.00000000e+00,0.00000000e+00,9.65559995e+00,3.88155010e-02
4.65000000e+00,2.49373009e-03,1.68705806e-05,0.00000000e+00,0.00000000e+00,4.90157313e-04,1.04186003e-05,4.82576806e-03,2.28422733e-05,3.95749039e+00,1.35578721e-02,1.79978466e+04,8.56154504e+01,2.85040009e-03,2.12172608e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.75000000e+00,2.48529807e-03,1.79337113e-05,0.00000000e+00,0.00000000e+00,4.79079527e-04,8.33237999e-06,4.80212544e-03,2.47343923e-05,3.94914040e+00,1.48399944e-02,1.79447324e+04,9.31310499e+01,2.83110476e-03,2.04279712e-05,0.00000000e+00,0.00000000e+00,9.65035995e+00,3.86761817e-02
4.85000000e+00,2.48478589e-03,1.72010416e-05,0.00000000e+00,0.00000000e+00,4.70966874e-04,6.73916015e-06,4.77120349e-03,2.41138975e-05,3.95227161e+00,1.49125361e-02,1.79344110e+04,8.97421573e+01,2.82321447e-03,1.96395281e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.95000000e+00,2.49162694e-03,1.57811221e-05,0.00000000e+00,0.00000000e+00,4.74345880e-04,7.28842846e-06,4.73259537e-03,2.25280712e-05,3.95350968e+00,1.36852958e-02,1.79524998e+04,8.47123261e+01,2.83408378e-03,1.94001087e-05,0.00000000e+00,0.00000000e+00,9.63269995e+00,3.85634181e-02
5.05000000e+00,2.49286158e-03,1.63401313e-05,0.00000000e+00,0.00000000e+00,4.70204716e-04,8.75414171e-06,4.69892151e-03,2.22634549e-05,3.94792565e+00,1.36703390e-02,1.79218848e+04,8.46323146e+01,2.83223652e-03,2.03386088e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.15000000e+00,2.49047672e-03,1.65193342e-05,0.00000000e+00,0.00000000e+00,4.70709225e-04,9.44266811e-06,4.67825512e-03,2.24887887e-05,3.94645972e+00,1.38943804e-02,1.78977324e+04,8.64400722e+01,2.83139348e-03,2.16237736e-05,0.00000000e+00,0.00000000e+00,9.62283996e+00,3.82231922e-02
5.25000000e+00,2.48050802e-03,1.65226916e-05,0.00000000e+00,0.00000000e+00,4.68393898e-04,7.61802982e-06,4.65147503e-03,2.31467633e-05,3.93273591e+00,1.34701135e-02,1.78137607e+04,8.47461475e+01,2.82028884e-03,2.16261730e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.35000000e+00,2.48576098e-03,1.58853595e-05,0.00000000e+00,0.00000000e+00,4.81401131e-04,9.91043121e-06,4.60399175e-03,2.18129182e-05,3.93499649e+00,1.36889818e-02,1.78345211e+04,8.36914371e+01,2.83952774e-03,2.03229465e-05,0.00000000e+00,0.00000000e+00,9.61577996e+00,3.77326814e-02
5.45000000e+00,2.48679659e-03,1.66538455e-05,0.00000000e+00,0.00000000e+00,4.80422203e-04,1.08917061e-05,4.56508023e-03,2.18174727e-05,3.93815693e+00,1.42019007e-02,1.78344213e+04,8.86431014e+01,2.84034559e-03,2.01280778e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
