r_cm,depth_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_local_mean,heating_local_std,fission_q_recoverable_mean,fission_q_recoverable_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_r_mean,current_r_std
3.00012519e-01,5.00125188e-02,3.66008377e-04,1.36508555e-06,0.00000000e+00,0.00000000e+00,1.37018579e-05,5.02833604e-07,1.32079396e-02,4.89447469e-05,2.90899674e-01,1.03306170e-03,5.96440413e+04,2.18935380e+02,0.00000000e+00,0.00000000e+00,5.78966049e-05,6.91971260e-07,0.00000000e+00,0.00000000e+00,6.34800000e-02,9.14582203e-04
4.00037556e-01,1.50037556e-01,2.83149061e-04,1.05849802e-06,0.00000000e+00,0.00000000e+00,1.33501681e-05,4.88905308e-07,9.67542028e-03,3.21765406e-05,2.53474352e-01,1.05414182e-03,4.45516652e+04,1.52969435e+02,0.00000000e+00,0.00000000e+00,5.90931747e-05,7.40752452e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00062594e-01,2.50062594e-01,2.69800009e-04,1.01447428e-06,0.00000000e+00,0.00000000e+00,1.53622055e-05,7.09628309e-07,8.88518905e-03,3.06170446e-05,2.60812774e-01,1.05656269e-03,4.14644769e+04,1.44529305e+02,0.00000000e+00,0.00000000e+00,6.61957406e-05,9.11318909e-07,0.00000000e+00,0.00000000e+00,1.29273000e+00,2.02418982e-03
6.00087631e-01,3.50087631e-01,2.67535502e-04,9.99745250e-07,0.00000000e+00,0.00000000e+00,1.73456966e-05,7.91278923e-07,8.47064440e-03,2.82750292e-05,2.75348431e-01,1.08924012e-03,4.00107864e+04,1.39820135e+02,0.00000000e+00,0.00000000e+00,7.52685996e-05,9.97752731e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00112669e-01,4.50112669e-01,2.68426273e-04,9.92157413e-07,0.00000000e+00,0.00000000e+00,1.87458035e-05,6.26676088e-07,8.18572909e-03,2.67488982e-05,2.91035186e-01,1.20101895e-03,3.91459238e+04,1.31681406e+02,0.00000000e+00,0.00000000e+00,8.36274849e-05,9.49499893e-07,0.00000000e+00,0.00000000e+00,1.35246000e+00,2.32067630e-03
8.00137707e-01,5.50137707e-01,2.69690578e-04,1.00915893e-06,0.00000000e+00,0.00000000e+00,2.06482047e-05,6.38594038e-07,7.95698113e-03,2.43442940e-05,3.07313183e-01,1.32004678e-03,3.84900222e+04,1.29473645e+02,0.00000000e+00,0.00000000e+00,9.16740650e-05,1.03661637e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00162744e-01,6.50162744e-01,2.72447025e-04,9.70716052e-07,0.00000000e+00,0.00000000e+00,2.22047708e-05,5.52902495e-07,7.79443143e-03,2.49388577e-05,3.23184279e-01,1.31202628e-03,3.80379613e+04,1.25749768e+02,0.00000000e+00,0.00000000e+00,9.96935073e-05,9.88848757e-07,0.00000000e+00,0.00000000e+00,1.41163000e+00,2.56789230e-03
1.00018778e+00,7.50187782e-01,2.75285167e-04,9.86098296e-07,0.00000000e+00,0.00000000e+00,2.52079961e-05,9.21504920e-07,7.64433855e-03,2.46216262e-05,3.38655311e-01,1.36992007e-03,3.76027978e+04,1.18960440e+02,0.00000000e+00,0.00000000e+00,1.08833633e-04,1.26512385e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10021282e+00,8.50212819e-01,2.79296816e-04,9.07751616e-07,0.00000000e+00,0.00000000e+00,2.82079360e-05,1.86758144e-06,7.48766214e-03,2.05387999e-05,3.57852599e-01,1.51449167e-03,3.72620442e+04,1.07436230e+02,0.00000000e+00,0.00000000e+00,1.19111432e-04,2.10410911e-06,0.00000000e+00,0.00000000e+00,1.47020000e+00,2.78422676e-03
1.20023786e+00,9.50237857e-01,2.84279967e-04,9.77680507e-07,0.00000000e+00,0.00000000e+00,3.02059710e-05,1.55853159e-06,7.36795802e-03,2.22744415e-05,3.74482328e-01,1.49068057e-03,3.70052771e+04,1.03361458e+02,0.00000000e+00,0.00000000e+00,1.28571037e-04,2.05850254e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.30026289e+00,1.05026289e+00,2.88406611e-04,1.05032248e-06,0.00000000e+00,0.00000000e+00,3.25793407e-05,1.64107188e-06,7.24592963e-03,2.02293054e-05,3.91839652e-01,1.50431149e-03,3.67520458e+04,1.00408389e+02,0.00000000e+00,0.00000000e+00,1.37455772e-04,2.11437576e-06,0.00000000e+00,0.00000000e+00,1.52684000e+00,2.97737991e-03
1.40028793e+00,1.15028793e+00,2.93668160e-04,1.19424594e-06,0.00000000e+00,0.00000000e+00,3.43002617e-05,1.70818626e-06,7.15671773e-03,2.24956966e-05,4.09310730e-01,1.65289965e-03,3.66011660e+04,1.09863246e+02,0.00000000e+00,0.00000000e+00,1.46247651e-04,2.09426924e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50031297e+00,1.25031297e+00,2.97616309e-04,1.23388296e-06,0.00000000e+00,0.00000000e+00,3.64361849e-05,2.11311241e-06,7.05436434e-03,2.29455575e-05,4.25582614e-01,1.78405958e-03,3.63806601e+04,1.18439678e+02,0.00000000e+00,0.00000000e+00,1.54610117e-04,2.43198008e-06,0.00000000e+00,0.00000000e+00,1.58229000e+00,3.03335968e-03
1.60033801e+00,1.35033801e+00,3.02225891e-04,1.26540353e-06,0.00000000e+00,0.00000000e+00,3.63072600e-05,1.28134318e-06,6.94760817e-03,2.19592482e-05,4.41058438e-01,1.70737443e-03,3.61183771e+04,1.18877484e+02,0.00000000e+00,0.00000000e+00,1.61332398e-04,1.93386630e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.70036304e+00,1.45036304e+00,3.06886084e-04,1.31525170e-06,0.00000000e+00,0.00000000e+00,3.68236401e-05,1.22228544e-06,6.85119442e-03,1.89048528e-05,4.55705240e-01,1.72845424e-03,3.59658481e+04,9.96633358e+01,0.00000000e+00,0.00000000e+00,1.68464623e-04,1.97069109e-06,0.00000000e+00,0.00000000e+00,1.63425000e+00,3.22127929e-03
1.80038808e+00,1.55038808e+00,3.11301665e-04,1.36618700e-06,0.00000000e+00,0.00000000e+00,3.97836269e-05,1.43782482e-06,6.77532952e-03,2.26542149e-05,4.70343011e-01,1.73681342e-03,3.58546179e+04,1.16675698e+02,0.00000000e+00,0.00000000e+00,1.77289410e-04,2.15165883e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.90041312e+00,1.65041312e+00,3.16268398e-04,1.50912732e-06,0.00000000e+00,0.00000000e+00,4.01763918e-05,1.24786435e-06,6.66558154e-03,2.18734331e-05,4.87281994e-01,1.82008211e-03,3.55588447e+04,1.10319436e+02,0.00000000e+00,0.00000000e+00,1.85212971e-04,1.99946401e-06,0.00000000e+00,0.00000000e+00,1.68870000e+00,3.28936135e-03
2.00043816e+00,1.75043816e+00,3.22234201e-04,1.53334986e-06,0.00000000e+00,0.00000000e+00,4.08101830e-05,1.06680878e-06,6.59777073e-03,2.39408142e-05,5.03770266e-01,1.86624618e-03,3.54977831e+04,1.22144180e+02,0.00000000e+00,0.00000000e+00,1.93065040e-04,1.87220412e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.10046319e+00,1.85046319e+00,3.26488105e-04,1.43023194e-06,0.00000000e+00,0.00000000e+00,4.34915308e-05,1.12831952e-06,6.50098668e-03,2.44121324e-05,5.20283763e-01,1.96368651e-03,3.53344204e+04,1.26602566e+02,0.00000000e+00,0.00000000e+00,2.02085872e-04,1.85503053e-06,0.00000000e+00,0.00000000e+00,1.74015000e+00,3.56901283e-03
2.20048823e+00,1.95048823e+00,3.33144661e-04,1.63208365e-06,0.00000000e+00,0.00000000e+00,4.56594361e-05,1.03632140e-06,6.41925463e-03,2.27417846e-05,5.38104566e-01,1.97199136e-03,3.52650480e+04,1.33553745e+02,0.00000000e+00,0.00000000e+00,2.12092220e-04,2.00961353e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
