z_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_z_mean,current_z_std
5.00000000e-02,4.23407798e-03,1.10542747e-04,0.00000000e+00,0.00000000e+00,1.27134282e-03,7.72860997e-05,6.43921001e-03,7.25345483e-05,8.90176343e+00,2.31438227e-01,3.07980165e+04,6.93580951e+02,5.33324724e-03,1.63952255e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-01,4.23925169e-03,1.12052534e-04,0.00000000e+00,0.00000000e+00,1.18667966e-03,5.98264791e-05,6.41082979e-03,6.83902658e-05,8.86340963e+00,2.25470376e-01,3.07315565e+04,6.96720906e+02,5.25445822e-03,1.61472428e-04,0.00000000e+00,0.00000000e+00,2.18545944e+01,5.82295283e-01
2.50000000e-01,4.21407584e-03,1.12466084e-04,0.00000000e+00,0.00000000e+00,1.14900047e-03,5.64283031e-05,6.37361250e-03,6.36439723e-05,8.84112410e+00,2.26638466e-01,3.06096320e+04,6.96869419e+02,5.18989893e-03,1.57749381e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e-01,4.20442082e-03,1.08973114e-04,0.00000000e+00,0.00000000e+00,1.14439477e-03,4.54566784e-05,6.34523985e-03,7.79002374e-05,8.85422093e+00,2.24840464e-01,3.06548790e+04,6.88045007e+02,5.17444221e-03,1.42647911e-04,0.00000000e+00,0.00000000e+00,2.18470664e+01,5.79940982e-01
4.50000000e-01,4.21791869e-03,1.09151403e-04,0.00000000e+00,0.00000000e+00,1.13727143e-03,4.29883467e-05,6.25635020e-03,3.53918220e-05,8.87170643e+00,2.25745157e-01,3.06852549e+04,6.89502934e+02,5.18366163e-03,1.38794222e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.50000000e-01,4.20150989e-03,1.10732083e-04,0.00000000e+00,0.00000000e+00,1.11708066e-03,4.26394445e-05,6.22674080e-03,3.68023639e-05,8.84464541e+00,2.27040194e-01,3.06387110e+04,7.02089419e+02,5.14727117e-03,1.46244082e-04,0.00000000e+00,0.00000000e+00,2.18232550e+01,5.78012838e-01
6.50000000e-01,4.21087269e-03,1.13401122e-04,0.00000000e+00,0.00000000e+00,1.14477328e-03,4.47051593e-05,6.20243715e-03,3.79093477e-05,8.84096582e+00,2.26648498e-01,3.05795207e+04,7.06608683e+02,5.18577783e-03,1.44678850e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.50000000e-01,4.19472160e-03,1.10726396e-04,0.00000000e+00,0.00000000e+00,1.18077381e-03,5.36767558e-05,6.17569574e-03,3.83999299e-05,8.84986115e+00,2.30111233e-01,3.05135991e+04,6.99524128e+02,5.20595048e-03,1.42738150e-04,0.00000000e+00,0.00000000e+00,2.18267624e+01,5.79295915e-01
8.50000000e-01,4.18607399e-03,1.09442723e-04,0.00000000e+00,0.00000000e+00,1.20243603e-03,5.85464499e-05,6.13902630e-03,3.84045106e-05,8.83810485e+00,2.22586470e-01,3.04866892e+04,6.79586829e+02,5.21945512e-03,1.38665252e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.50000000e-01,4.19966951e-03,1.11006152e-04,0.00000000e+00,0.00000000e+00,1.14835263e-03,4.29123186e-05,6.10698980e-03,4.01504530e-05,8.87729406e+00,2.27262757e-01,3.06055960e+04,6.85376528e+02,5.17913461e-03,1.37160218e-04,0.00000000e+00,0.00000000e+00,2.18331624e+01,5.79202832e-01
