r_cm,depth_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_r_mean,current_r_std
3.00012519e-01,5.00125188e-02,3.65949810e-04,1.34928603e-06,0.00000000e+00,0.00000000e+00,1.38012021e-05,5.71983451e-07,1.32079396e-02,4.89447469e-05,2.90798963e-01,1.04019526e-03,6.41845919e+03,2.27745867e+01,5.79446393e-05,7.44915916e-07,0.00000000e+00,0.00000000e+00,6.36500000e-02,9.24566510e-04
4.00037556e-01,1.50037556e-01,2.83100638e-04,1.04768791e-06,0.00000000e+00,0.00000000e+00,1.34623639e-05,5.51100400e-07,9.67542028e-03,3.21765406e-05,2.53617836e-01,1.15131795e-03,4.90046957e+03,1.66484001e+01,5.91752713e-05,7.80198889e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00062594e-01,2.50062594e-01,2.69778774e-04,1.01782668e-06,0.00000000e+00,0.00000000e+00,1.53825777e-05,7.28180650e-07,8.88518905e-03,3.06170446e-05,2.60925384e-01,1.11922948e-03,4.63337800e+03,1.58766339e+01,6.61998883e-05,9.23887353e-07,0.00000000e+00,0.00000000e+00,1.29225000e+00,2.22285534e-03
6.00087631e-01,3.50087631e-01,2.67591498e-04,9.96559957e-07,0.00000000e+00,0.00000000e+00,1.73671019e-05,8.02249269e-07,8.47064440e-03,2.82750292e-05,2.75351057e-01,1.10055045e-03,4.54104064e+03,1.48016254e+01,7.53546031e-05,1.00043904e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00112669e-01,4.50112669e-01,2.68401353e-04,9.62229321e-07,0.00000000e+00,0.00000000e+00,1.87716427e-05,6.40173206e-07,8.18572909e-03,2.67488982e-05,2.91099780e-01,1.17901552e-03,4.50483687e+03,1.41729463e+01,8.36435753e-05,9.35638786e-07,0.00000000e+00,0.00000000e+00,1.35225000e+00,2.51433747e-03
8.00137707e-01,5.50137707e-01,2.69534655e-04,9.89851174e-07,0.00000000e+00,0.00000000e+00,2.09202099e-05,7.31625263e-07,7.95698113e-03,2.43442940e-05,3.07015609e-01,1.29405994e-03,4.48669227e+03,1.41160029e+01,9.17939519e-05,1.08006278e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00162744e-01,6.50162744e-01,2.72546107e-04,9.75745810e-07,0.00000000e+00,0.00000000e+00,2.28595262e-05,9.31785173e-07,7.79443143e-03,2.49388577e-05,3.23225514e-01,1.31889148e-03,4.49537838e+03,1.34415590e+01,1.00443298e-04,1.31475589e-06,0.00000000e+00,0.00000000e+00,1.41127000e+00,2.67279032e-03
1.00018778e+00,7.50187782e-01,2.75341890e-04,9.71782881e-07,0.00000000e+00,0.00000000e+00,2.54288858e-05,1.11278360e-06,7.64433855e-03,2.46216262e-05,3.38556815e-01,1.35600501e-03,4.50337686e+03,1.30719794e+01,1.09103456e-04,1.44213300e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10021282e+00,8.50212819e-01,2.79184989e-04,9.02553104e-07,0.00000000e+00,0.00000000e+00,2.83235207e-05,1.92484953e-06,7.48766214e-03,2.05387999e-05,3.57702698e-01,1.48752114e-03,4.52460899e+03,1.21781728e+01,1.19119393e-04,2.17876960e-06,0.00000000e+00,0.00000000e+00,1.46961000e+00,2.82341907e-03
1.20023786e+00,9.50237857e-01,2.84309596e-04,9.62036798e-07,0.00000000e+00,0.00000000e+00,3.03157120e-05,1.62181742e-06,7.36795802e-03,2.22744415e-05,3.74757322e-01,1.50027823e-03,4.55088487e+03,1.12180006e+01,1.28712256e-04,2.11545249e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
