z_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_z_mean,current_z_std
5.00000000e-02,2.57955843e-03,5.47056604e-05,0.00000000e+00,0.00000000e+00,4.88968099e-04,2.96827456e-05,6.43674138e-03,7.26182959e-05,4.05516616e+00,5.01401568e-02,1.87836509e+04,2.77793749e+02,2.89860131e-03,5.98118835e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50000000e-01,2.57798731e-03,4.77718721e-05,0.00000000e+00,0.00000000e+00,4.60816380e-04,2.47243835e-05,6.40836074e-03,6.85054841e-05,4.04434645e+00,4.59103081e-02,1.87485977e+04,2.34557198e+02,2.86948408e-03,5.74983071e-05,0.00000000e+00,0.00000000e+00,9.79160000e+00,1.18150496e-01
2.50000000e-01,2.57443909e-03,5.22130777e-05,0.00000000e+00,0.00000000e+00,4.81393804e-04,3.01153331e-05,6.37112714e-03,6.36967602e-05,4.05893433e+00,4.87077294e-02,1.87863198e+04,2.53918283e+02,2.88479569e-03,6.80181494e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e-01,2.59165094e-03,5.34118419e-05,0.00000000e+00,0.00000000e+00,5.04273403e-04,4.48597080e-05,6.34276456e-03,7.79376414e-05,4.06212411e+00,4.89332174e-02,1.88696864e+04,2.51052525e+02,2.92356961e-03,8.05951822e-05,0.00000000e+00,0.00000000e+00,9.78200000e+00,1.17472011e-01
4.50000000e-01,2.57228543e-03,5.08184898e-05,0.00000000e+00,0.00000000e+00,5.05946240e-04,2.99663852e-05,6.25348423e-03,3.53361515e-05,4.04864459e+00,5.03381008e-02,1.87681749e+04,2.54861717e+02,2.90864187e-03,6.68779475e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.50000000e-01,2.58707699e-03,5.15202620e-05,0.00000000e+00,0.00000000e+00,5.08713171e-04,3.14650506e-05,6.22325312e-03,3.66542251e-05,4.05131710e+00,4.84933582e-02,1.88205149e+04,2.64754824e+02,2.92681761e-03,6.64398441e-05,0.00000000e+00,0.00000000e+00,9.78260000e+00,1.19267427e-01
6.50000000e-01,2.56688379e-03,4.97913898e-05,0.00000000e+00,0.00000000e+00,5.20944097e-04,3.27249347e-05,6.19894947e-03,3.78068508e-05,4.04978942e+00,4.64973963e-02,1.87017517e+04,2.60489042e+02,2.92060206e-03,6.50187698e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.50000000e-01,2.59020022e-03,4.88444388e-05,0.00000000e+00,0.00000000e+00,5.17099838e-04,2.96978821e-05,6.17220805e-03,3.84247875e-05,4.05894645e+00,4.80917628e-02,1.88098039e+04,2.50470616e+02,2.94049410e-03,6.34273638e-05,0.00000000e+00,0.00000000e+00,9.77940000e+00,1.20380150e-01
8.50000000e-01,2.59878749e-03,4.93723533e-05,0.00000000e+00,0.00000000e+00,5.59562944e-04,4.64865121e-05,6.13553862e-03,3.84980583e-05,4.06140494e+00,4.80974003e-02,1.88583568e+04,2.46738109e+02,2.99201028e-03,7.14309453e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.50000000e-01,2.58455408e-03,5.45328831e-05,0.00000000e+00,0.00000000e+00,5.29220907e-04,3.20115789e-05,6.10350211e-03,4.02166097e-05,4.05602669e+00,5.23432413e-02,1.88102019e+04,2.78752563e+02,2.94764654e-03,6.91261656e-05,0.00000000e+00,0.00000000e+00,9.76920000e+00,1.18198671e-01
1.05000000e+00,2.57596391e-03,5.26669405e-05,0.00000000e+00,0.00000000e+00,5.40985913e-04,3.63174104e-05,6.06724607e-03,3.95787559e-05,4.04579686e+00,5.31622319e-02,1.87346606e+04,2.76962685e+02,2.95141579e-03,7.13666010e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.15000000e+00,2.58555340e-03,5.25379040e-05,0.00000000e+00,0.00000000e+00,5.18359847e-04,3.09093913e-05,6.03256827e-03,3.99879353e-05,4.04971713e+00,5.42747771e-02,1.87648836e+04,2.76340115e+02,2.94079950e-03,6.53474419e-05,0.00000000e+00,0.00000000e+00,9.78060000e+00,1.18796829e-01
1.25000000e+00,2.56560441e-03,5.16122030e-05,0.00000000e+00,0.00000000e+00,4.82591438e-04,2.29842622e-05,6.00735105e-03,4.10203921e-05,4.03328420e+00,5.32573195e-02,1.86584231e+04,2.78188993e+02,2.88624793e-03,6.28221611e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.35000000e+00,2.55097268e-03,4.99295891e-05,0.00000000e+00,0.00000000e+00,4.82988456e-04,2.03533286e-05,5.97092067e-03,4.21252550e-05,4.03118853e+00,5.04596644e-02,1.85686435e+04,2.62118124e+02,2.87298778e-03,5.90127029e-05,0.00000000e+00,0.00000000e+00,9.77680000e+00,1.18358308e-01
1.45000000e+00,2.55870375e-03,5.33523835e-05,0.00000000e+00,0.00000000e+00,5.15988429e-04,2.15753612e-05,5.95937099e-03,4.45904487e-05,4.03092197e+00,5.20360753e-02,1.85657852e+04,2.77503356e+02,2.91375093e-03,6.42704029e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.55000000e+00,2.57949863e-03,4.96945845e-05,0.00000000e+00,0.00000000e+00,5.20397483e-04,2.12026437e-05,5.94404918e-03,5.20441804e-05,4.04856222e+00,5.00806576e-02,1.86769749e+04,2.66775413e+02,2.93876022e-03,5.95319940e-05,0.00000000e+00,0.00000000e+00,9.78200000e+00,1.17385463e-01
1.65000000e+00,2.60357887e-03,4.73485445e-05,0.00000000e+00,0.00000000e+00,5.15992483e-04,2.28882497e-05,5.94723728e-03,6.76923680e-05,4.06287378e+00,4.82386806e-02,1.87714611e+04,2.43892056e+02,2.95696494e-03,5.71024167e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.75000000e+00,2.58784822e-03,4.99632946e-05,0.00000000e+00,0.00000000e+00,5.08921347e-04,2.45474987e-05,5.89978723e-03,5.31106533e-05,4.04253113e+00,4.80085084e-02,1.86611211e+04,2.51199069e+02,2.93556319e-03,5.93693610e-05,0.00000000e+00,0.00000000e+00,9.78820000e+00,1.18740221e-01
1.85000000e+00,2.59533344e-03,5.54323754e-05,0.00000000e+00,0.00000000e+00,5.57726811e-04,3.60820975e-05,5.85243999e-03,4.71364419e-05,4.02482561e+00,4.80725451e-02,1.86990205e+04,2.80800030e+02,2.99123445e-03,7.10164813e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.95000000e+00,2.57042777e-03,5.43036384e-05,0.00000000e+00,0.00000000e+00,5.61659816e-04,6.41938536e-05,5.83672511e-03,4.98753460e-05,4.03161513e+00,5.04881055e-02,1.85817381e+04,2.73609339e+02,2.97043102e-03,8.43262801e-05,0.00000000e+00,0.00000000e+00,9.78940000e+00,1.20562427e-01
2.05000000e+00,2.57272513e-03,5.00124233e-05,0.00000000e+00,0.00000000e+00,5.11028665e-04,2.75582744e-05,5.82932455e-03,5.69022423e-05,4.03549617e+00,5.12955334e-02,1.85649211e+04,2.63433912e+02,2.92344372e-03,6.16124049e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.15000000e+00,2.56773003e-03,4.85478671e-05,0.00000000e+00,0.00000000e+00,4.95177009e-04,2.39377202e-05,5.82384958e-03,6.81709972e-05,4.03105822e+00,4.82941617e-02,1.85811111e+04,2.59457995e+02,2.90395425e-03,5.70776346e-05,0.00000000e+00,0.00000000e+00,9.77320000e+00,1.20869111e-01
2.25000000e+00,2.58550411e-03,4.58060851e-05,0.00000000e+00,0.00000000e+00,5.24981193e-04,2.51255401e-05,5.81118806e-03,8.49215320e-05,4.05176521e+00,5.15314374e-02,1.86003514e+04,2.54960285e+02,2.95371375e-03,5.20081282e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.35000000e+00,2.59355381e-03,4.51486159e-05,0.00000000e+00,0.00000000e+00,5.60755973e-04,4.56366490e-05,5.72122636e-03,6.89414822e-05,4.04934933e+00,4.98299808e-02,1.85660282e+04,2.35839264e+02,3.00050565e-03,7.01051121e-05,0.00000000e+00,0.00000000e+00,9.76680000e+00,1.21713763e-01
2.45000000e+00,2.59322919e-03,4.75391359e-05,0.00000000e+00,0.00000000e+00,5.05958133e-04,2.35202187e-05,5.67076809e-03,6.81514879e-05,4.03259429e+00,4.86153594e-02,1.85517624e+04,2.46968517e+02,2.94711284e-03,5.87794116e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.55000000e+00,2.60069026e-03,4.57634701e-05,0.00000000e+00,0.00000000e+00,5.55387005e-04,4.99874348e-05,5.66836595e-03,7.80913899e-05,4.03208981e+00,4.84505143e-02,1.85985578e+04,2.41317634e+02,3.00481144e-03,6.78755754e-05,0.00000000e+00,0.00000000e+00,9.75800000e+00,1.20398997e-01
2.65000000e+00,2.57499676e-03,4.74132674e-05,0.00000000e+00,0.00000000e+00,5.14358679e-04,2.66359998e-05,5.54690625e-03,5.96023561e-05,4.02805087e+00,4.97294286e-02,1.84316443e+04,2.50419148e+02,2.94142125e-03,5.92189121e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.75000000e+00,2.56362110e-03,4.60934234e-05,0.00000000e+00,0.00000000e+00,5.35385960e-04,2.92349053e-05,5.51137132e-03,6.17562940e-05,4.02402659e+00,4.97423748e-02,1.83895560e+04,2.41551541e+02,2.95177419e-03,6.16941742e-05,0.00000000e+00,0.00000000e+00,9.75720000e+00,1.18450210e-01
2.85000000e+00,2.56301161e-03,4.74383744e-05,0.00000000e+00,0.00000000e+00,5.30228437e-04,3.01921913e-05,5.49172341e-03,6.38625713e-05,4.01707867e+00,5.19487089e-02,1.83508917e+04,2.48724022e+02,2.94644786e-03,6.27983688e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.95000000e+00,2.56876489e-03,4.77364764e-05,0.00000000e+00,0.00000000e+00,5.23160901e-04,3.14695922e-05,5.48722773e-03,7.26253696e-05,4.01803604e+00,5.42072652e-02,1.83686650e+04,2.51513027e+02,2.94466855e-03,6.44324953e-05,0.00000000e+00,0.00000000e+00,9.76020000e+00,1.18725026e-01
3.05000000e+00,2.58584248e-03,4.24952857e-05,0.00000000e+00,0.00000000e+00,5.41940110e-04,3.31909942e-05,5.46508235e-03,7.13862128e-05,4.03309107e+00,4.74932037e-02,1.84579210e+04,2.21570671e+02,2.98006004e-03,6.13694795e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.15000000e+00,2.57393941e-03,4.16100462e-05,0.00000000e+00,0.00000000e+00,5.40761224e-04,3.08288808e-05,5.41556477e-03,8.34461229e-05,4.01721235e+00,5.03701330e-02,1.83219803e+04,2.25864444e+02,2.96796251e-03,5.55546232e-05,0.00000000e+00,0.00000000e+00,9.76280000e+00,1.18930280e-01
3.25000000e+00,2.57989738e-03,4.56963094e-05,0.00000000e+00,0.00000000e+00,5.26897139e-04,2.59095345e-05,5.36924775e-03,9.30683003e-05,4.02614934e+00,4.94338393e-02,1.83762908e+04,2.51112127e+02,2.96045039e-03,5.47029470e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.35000000e+00,2.60553990e-03,4.80829187e-05,0.00000000e+00,0.00000000e+00,5.38450141e-04,2.59263475e-05,5.30474119e-03,8.81350761e-05,4.04066592e+00,4.89299064e-02,1.84715684e+04,2.60941159e+02,2.99892177e-03,5.73735323e-05,0.00000000e+00,0.00000000e+00,9.76400000e+00,1.16573529e-01
3.45000000e+00,2.59358290e-03,4.59594160e-05,0.00000000e+00,0.00000000e+00,5.42080627e-04,2.54446464e-05,5.22721500e-03,5.35797026e-05,4.03345573e+00,4.76664655e-02,1.83719339e+04,2.43595319e+02,2.99336724e-03,5.72018516e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.55000000e+00,2.55498003e-03,4.34615721e-05,0.00000000e+00,0.00000000e+00,5.37502741e-04,2.77519835e-05,5.19466157e-03,5.29023524e-05,4.00350071e+00,4.83145426e-02,1.81666326e+04,2.34149607e+02,2.95088027e-03,5.70179714e-05,0.00000000e+00,0.00000000e+00,9.74120000e+00,1.17611481e-01
3.65000000e+00,2.55067667e-03,4.32295500e-05,0.00000000e+00,0.00000000e+00,5.91954363e-04,4.79623851e-05,5.16865983e-03,5.48190192e-05,4.01758794e+00,4.77370807e-02,1.82299412e+04,2.33184478e+02,3.00017461e-03,6.35536419e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.75000000e+00,2.58481954e-03,4.46830004e-05,0.00000000e+00,0.00000000e+00,6.23264279e-04,6.64789345e-05,5.11302020e-03,5.34836829e-05,4.03643742e+00,4.49732603e-02,1.83464387e+04,2.30442020e+02,3.06720297e-03,8.06285452e-05,0.00000000e+00,0.00000000e+00,9.72320000e+00,1.19702161e-01
3.85000000e+00,2.56438271e-03,4.88000995e-05,0.00000000e+00,0.00000000e+00,5.43162819e-04,2.38294888e-05,5.07419887e-03,5.08185978e-05,3.99548060e+00,4.75276118e-02,1.81829250e+04,2.51765462e+02,2.96777157e-03,5.71012601e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.95000000e+00,2.57197388e-03,4.67218319e-05,0.00000000e+00,0.00000000e+00,5.29275379e-04,2.34414311e-05,5.04030028e-03,5.16438380e-05,4.01591800e+00,4.98819365e-02,1.82331579e+04,2.54219085e+02,2.96235411e-03,5.67773301e-05,0.00000000e+00,0.00000000e+00,9.71660000e+00,1.21224571e-01
4.05000000e+00,2.57922109e-03,4.84793448e-05,0.00000000e+00,0.00000000e+00,5.15644314e-04,2.48720577e-05,5.00274422e-03,5.18267796e-05,4.02247620e+00,5.12674249e-02,1.82532996e+04,2.68023914e+02,2.95626101e-03,5.90859550e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.15000000e+00,2.56351979e-03,4.55344206e-05,0.00000000e+00,0.00000000e+00,5.12500603e-04,2.34721866e-05,4.96851380e-03,5.16200750e-05,4.01946853e+00,5.01235068e-02,1.81695124e+04,2.47452976e+02,2.93976113e-03,5.50918506e-05,0.00000000e+00,0.00000000e+00,9.69280000e+00,1.18033216e-01
4.25000000e+00,2.57032884e-03,4.33108255e-05,0.00000000e+00,0.00000000e+00,5.05795308e-04,2.10656674e-05,4.97067611e-03,6.32266283e-05,4.01872072e+00,4.74505852e-02,1.81610212e+04,2.29253267e+02,2.93945071e-03,5.23738518e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.35000000e+00,2.57677135e-03,4.21397895e-05,0.00000000e+00,0.00000000e+00,4.96402622e-04,2.10867786e-05,4.91789656e-03,5.93123444e-05,4.00637155e+00,4.48164995e-02,1.81334699e+04,2.23664068e+02,2.93865955e-03,5.23024545e-05,0.00000000e+00,0.00000000e+00,9.69660000e+00,1.17487510e-01
4.45000000e+00,2.55705139e-03,4.48268259e-05,0.00000000e+00,0.00000000e+00,5.03172051e-04,2.14691363e-05,4.89614397e-03,6.32072215e-05,3.98698603e+00,4.73254521e-02,1.80492280e+04,2.39326285e+02,2.92630314e-03,5.46762642e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.55000000e+00,2.56063953e-03,4.44016551e-05,0.00000000e+00,0.00000000e+00,5.54632623e-04,3.57681950e-05,4.92026823e-03,8.37680271e-05,4.00421573e+00,4.90194691e-02,1.80724832e+04,2.34871248e+02,2.98105073e-03,5.76378807e-05,0.00000000e+00,0.00000000e+00,9.70320000e+00,1.16122891e-01
4.65000000e+00,2.54128446e-03,4.34949238e-05,0.00000000e+00,0.00000000e+00,5.42571466e-04,2.74156104e-05,4.89200218e-03,7.85515880e-05,3.99998380e+00,4.56393307e-02,1.79838770e+04,2.29454822e+02,2.95041922e-03,5.08239420e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.75000000e+00,2.57109455e-03,4.78914912e-05,0.00000000e+00,0.00000000e+00,5.79983670e-04,3.18672355e-05,4.84610399e-03,7.28332875e-05,4.01571887e+00,4.51511975e-02,1.81113779e+04,2.55125973e+02,3.01826321e-03,5.74497763e-05,0.00000000e+00,0.00000000e+00,9.67840000e+00,1.14804665e-01
4.85000000e+00,2.56224974e-03,4.69126807e-05,0.00000000e+00,0.00000000e+00,5.62165871e-04,3.48906501e-05,4.81564406e-03,7.05223923e-05,4.00296802e+00,4.64639629e-02,1.80220986e+04,2.52543408e+02,2.99052423e-03,6.15931077e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.95000000e+00,2.56636262e-03,4.49260967e-05,0.00000000e+00,0.00000000e+00,5.68560650e-04,3.64574980e-05,4.81305799e-03,7.51239788e-05,4.02309672e+00,5.08192944e-02,1.81198775e+04,2.57074326e+02,2.99819134e-03,6.32468479e-05,0.00000000e+00,0.00000000e+00,9.67500000e+00,1.14713574e-01
5.05000000e+00,2.55553762e-03,4.72203874e-05,0.00000000e+00,0.00000000e+00,5.18600465e-04,2.22194068e-05,4.76062539e-03,7.15502571e-05,3.99133016e+00,4.79354566e-02,1.80379873e+04,2.56018420e+02,2.93989091e-03,5.50079442e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.15000000e+00,2.52827288e-03,4.26244295e-05,0.00000000e+00,0.00000000e+00,5.10681550e-04,2.49788017e-05,4.70971982e-03,6.54961764e-05,3.97613870e+00,4.61294776e-02,1.78161475e+04,2.31964224e+02,2.90874670e-03,5.11453684e-05,0.00000000e+00,0.00000000e+00,9.68020000e+00,1.16180890e-01
5.25000000e+00,2.52029173e-03,4.29022596e-05,0.00000000e+00,0.00000000e+00,4.99837249e-04,2.49933276e-05,4.67817813e-03,6.57422234e-05,3.96210285e+00,4.70525995e-02,1.77441684e+04,2.35000480e+02,2.89221409e-03,5.16670673e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.35000000e+00,2.52930268e-03,4.62669886e-05,0.00000000e+00,0.00000000e+00,6.24542162e-04,1.11930314e-04,4.65476480e-03,6.92407821e-05,3.97499465e+00,4.51326211e-02,1.78002275e+04,2.46101149e+02,3.02584132e-03,1.26394091e-04,0.00000000e+00,0.00000000e+00,9.66300000e+00,1.17493986e-01
5.45000000e+00,2.55075978e-03,4.73568067e-05,0.00000000e+00,0.00000000e+00,5.15140841e-04,2.62954786e-05,4.61364482e-03,6.53937240e-05,3.98735076e+00,4.37619560e-02,1.79071177e+04,2.51414760e+02,2.93902802e-03,5.24690673e-05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
