r_cm,depth_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_r_mean,current_r_std
3.00012519e-01,5.00125188e-02,3.65973128e-04,1.35661418e-06,0.00000000e+00,0.00000000e+00,1.39546767e-05,5.37585501e-07,1.32079396e-02,4.89447469e-05,2.90714849e-01,1.04277360e-03,6.41818582e+03,2.28109049e+01,5.81119266e-05,7.28125304e-07,0.00000000e+00,0.00000000e+00,6.33700000e-02,9.60498082e-04
4.00037556e-01,1.50037556e-01,2.83117087e-04,1.05127283e-06,0.00000000e+00,0.00000000e+00,1.36520340e-05,5.26562753e-07,9.67542028e-03,3.21765406e-05,2.53428291e-01,1.09707545e-03,4.89972917e+03,1.65532994e+01,5.93803693e-05,7.61880964e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00062594e-01,2.50062594e-01,2.69907195e-04,1.01298445e-06,0.00000000e+00,0.00000000e+00,1.55622779e-05,7.21297157e-07,8.88518905e-03,3.06170446e-05,2.60896304e-01,1.06323758e-03,4.63295777e+03,1.57815096e+01,6.65031338e-05,9.21718080e-07,0.00000000e+00,0.00000000e+00,1.29241000e+00,2.17269999e-03
6.00087631e-01,3.50087631e-01,2.67623643e-04,9.84865583e-07,0.00000000e+00,0.00000000e+00,1.75108940e-05,8.07175168e-07,8.47064440e-03,2.82750292e-05,2.75477649e-01,1.08329461e-03,4.54066670e+03,1.47939313e+01,7.55228888e-05,1.02975992e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00112669e-01,4.50112669e-01,2.68506603e-04,9.56716857e-07,0.00000000e+00,0.00000000e+00,1.89315531e-05,6.48723804e-07,8.18572909e-03,2.67488982e-05,2.91199385e-01,1.19647811e-03,4.50455104e+03,1.41643949e+01,8.38999797e-05,9.58973533e-07,0.00000000e+00,0.00000000e+00,1.35241000e+00,2.46408917e-03
8.00137707e-01,5.50137707e-01,2.69876576e-04,9.98693961e-07,0.00000000e+00,0.00000000e+00,2.07823969e-05,6.67714258e-07,7.95698113e-03,2.43442940e-05,3.07300956e-01,1.31199852e-03,4.48788234e+03,1.42992604e+01,9.19904792e-05,1.07496982e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00162744e-01,6.50162744e-01,2.72714752e-04,9.78713698e-07,0.00000000e+00,0.00000000e+00,2.24452927e-05,5.91517468e-07,7.79443143e-03,2.49388577e-05,3.23412884e-01,1.30432235e-03,4.49512619e+03,1.33964257e+01,1.00196872e-04,1.04923759e-06,0.00000000e+00,0.00000000e+00,1.41178000e+00,2.62661495e-03
1.00018778e+00,7.50187782e-01,2.75418263e-04,9.80584062e-07,0.00000000e+00,0.00000000e+00,2.54436844e-05,9.47432534e-07,7.64433855e-03,2.46216262e-05,3.38785278e-01,1.37463618e-03,4.50307057e+03,1.30213651e+01,1.09200751e-04,1.30490316e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10021282e+00,8.50212819e-01,2.79292961e-04,8.84950994e-07,0.00000000e+00,0.00000000e+00,2.84160273e-05,1.87677130e-06,7.48766214e-03,2.05387999e-05,3.57754837e-01,1.49785386e-03,4.52448286e+03,1.20577817e+01,1.19320619e-04,2.12147173e-06,0.00000000e+00,0.00000000e+00,1.47061000e+00,2.85476358e-03
1.20023786e+00,9.50237857e-01,2.84473105e-04,9.88023308e-07,0.00000000e+00,0.00000000e+00,3.03913118e-05,1.57088273e-06,7.36795802e-03,2.22744415e-05,3.74576092e-01,1.46466545e-03,4.55015349e+03,1.11584197e+01,1.28942649e-04,2.07266826e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
