nuclide,atoms
Ag109,3.896753e+20
Am241,9.900096e+18
Am242_m1,4.049830e+16
Am243,2.401458e+15
Ba135,5.949571e+15
Ba137,3.019885e+20
Ba137_m1,1.980298e+15
Ba138,1.984813e+22
Ce140,1.832232e+22
Ce142,1.693473e+22
Cm242,5.013591e+15
Cm243,2.839915e+14
Cs133,1.982797e+22
Cs135,1.975538e+22
Cs137,1.296382e+22
Eu151,1.420879e+20
Eu153,5.559846e+20
Gd155,1.091311e+20
Gd157,4.045335e+19
He4,5.261679e+18
Kr80,3.571763e+15
Kr82,4.659008e+18
Kr83,1.520664e+21
Kr84,2.828495e+21
Kr86,5.189102e+21
La139,1.881983e+22
Mo100,1.896534e+22
Mo95,1.939054e+22
Mo97,1.771107e+22
Mo98,1.737137e+22
Nb93,4.019424e+14
Nb93_m1,8.405186e+15
Nb95,3.638696e+18
Nb95_m1,2.025362e+15
Nd143,1.699561e+22
Nd144,1.540516e+22
Nd145,1.146853e+22
Nd146,9.150743e+21
Np237,2.177557e+21
Pa231,1.063284e+15
Pr141,1.712525e+22
Pu238,1.172418e+20
Pu239,1.406534e+23
Pu240,2.393200e+21
Pu241,2.307548e+19
Pu242,3.008097e+17
Rh103,1.048706e+22
Ru101,1.553937e+22
Ru102,1.417067e+22
Ru99,5.875190e+16
Sm149,3.249987e+21
Sm151,1.180235e+21
Sr88,9.719762e+21
Sr90,1.090012e+22
Tc99,1.790529e+22
Th230,5.183532e+14
Th232,1.739706e+15
U233,6.285076e+14
U234,1.841821e+20
U235,1.084936e+24
U235_m1,2.882520e+14
U236,5.882142e+22
U238,6.092892e+24
Xe126,1.717445e+15
Xe128,9.787166e+18
Xe130,2.926842e+19
Xe131,8.812179e+21
Xe132,1.340315e+22
Xe134,2.341481e+22
Xe136,1.935611e+22
Y89,1.298826e+22
Y90,2.764892e+18
Zr90,1.146713e+24
Zr91,2.660151e+23
Zr92,3.978541e+23
Zr93,1.945348e+22
Zr94,4.037223e+23
Zr95,3.138184e+18
Zr96,8.078857e+22
