r_cm,depth_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_local_mean,heating_local_std,fission_q_recoverable_mean,fission_q_recoverable_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_r_mean,current_r_std
1.85446357e+02,1.85196357e+02,4.96253893e-05,1.57776676e-06,0.00000000e+00,0.00000000e+00,6.71949502e-06,6.71435631e-07,0.00000000e+00,0.00000000e+00,3.74064110e-02,8.80592593e-04,2.82509899e+02,8.92357039e+00,0.00000000e+00,0.00000000e+00,5.63448847e-05,1.71287669e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.85546382e+02,1.85296382e+02,4.94943697e-05,1.66937746e-06,0.00000000e+00,0.00000000e+00,7.53745354e-06,1.24940793e-06,0.00000000e+00,0.00000000e+00,3.71667109e-02,8.30969460e-04,2.86803633e+02,1.16100856e+01,0.00000000e+00,0.00000000e+00,5.70318236e-05,2.05459930e-06,0.00000000e+00,0.00000000e+00,1.84109000e+00,8.66385846e-03
1.85646407e+02,1.85396407e+02,4.87939322e-05,1.51294091e-06,0.00000000e+00,0.00000000e+00,8.65833432e-06,1.38276822e-06,0.00000000e+00,0.00000000e+00,3.70629056e-02,8.56260289e-04,2.89889551e+02,1.18447888e+01,0.00000000e+00,0.00000000e+00,5.74522669e-05,2.06401836e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.85746432e+02,1.85496432e+02,4.83899834e-05,1.59632152e-06,0.00000000e+00,0.00000000e+00,8.12479229e-06,1.52308320e-06,0.00000000e+00,0.00000000e+00,3.66813182e-02,8.65865733e-04,2.87257550e+02,1.35787260e+01,0.00000000e+00,0.00000000e+00,5.65147760e-05,2.23571300e-06,0.00000000e+00,0.00000000e+00,1.83773000e+00,8.66632698e-03
1.85846457e+02,1.85596457e+02,4.82876636e-05,1.62720092e-06,0.00000000e+00,0.00000000e+00,6.69417615e-06,1.01256637e-06,0.00000000e+00,0.00000000e+00,3.69081035e-02,8.94404410e-04,2.76694153e+02,1.11237445e+01,0.00000000e+00,0.00000000e+00,5.49818401e-05,1.99987343e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.85946482e+02,1.85696482e+02,4.90607221e-05,1.69604493e-06,0.00000000e+00,0.00000000e+00,6.05323366e-06,6.23097694e-07,0.00000000e+00,0.00000000e+00,3.71397819e-02,8.82233254e-04,2.75204606e+02,9.54926683e+00,0.00000000e+00,0.00000000e+00,5.51139561e-05,1.86634447e-06,0.00000000e+00,0.00000000e+00,1.83468000e+00,8.63254214e-03
1.86046507e+02,1.85796507e+02,4.86893819e-05,1.65618546e-06,0.00000000e+00,0.00000000e+00,6.29442996e-06,6.90558076e-07,0.00000000e+00,0.00000000e+00,3.69125741e-02,8.72365583e-04,2.74437354e+02,9.65461075e+00,0.00000000e+00,0.00000000e+00,5.49838122e-05,1.86289687e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.86146532e+02,1.85896532e+02,4.77948673e-05,1.64005274e-06,0.00000000e+00,0.00000000e+00,6.81158199e-06,8.85304789e-07,0.00000000e+00,0.00000000e+00,3.63370601e-02,9.16376371e-04,2.74026900e+02,9.92336638e+00,0.00000000e+00,0.00000000e+00,5.46064496e-05,1.84899089e-06,0.00000000e+00,0.00000000e+00,1.83086000e+00,8.54288079e-03
1.86246557e+02,1.85996557e+02,4.71572902e-05,1.62566004e-06,0.00000000e+00,0.00000000e+00,9.06315249e-06,1.80996659e-06,0.00000000e+00,0.00000000e+00,3.57999583e-02,8.88425625e-04,2.82668233e+02,1.49174585e+01,0.00000000e+00,0.00000000e+00,5.62204430e-05,2.60795788e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.86346582e+02,1.86096582e+02,4.75972352e-05,1.64709162e-06,0.00000000e+00,0.00000000e+00,6.63188964e-06,8.70594913e-07,0.00000000e+00,0.00000000e+00,3.59638620e-02,9.00999181e-04,2.70533795e+02,9.79148326e+00,0.00000000e+00,0.00000000e+00,5.42291252e-05,1.84013958e-06,0.00000000e+00,0.00000000e+00,1.82687000e+00,8.67442142e-03
1.86446607e+02,1.86196607e+02,4.65649709e-05,1.51915265e-06,0.00000000e+00,0.00000000e+00,6.22899998e-06,8.86048516e-07,0.00000000e+00,0.00000000e+00,3.48944452e-02,8.04207557e-04,2.64221369e+02,9.80991135e+00,0.00000000e+00,0.00000000e+00,5.27939712e-05,1.80434065e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.86546632e+02,1.86296632e+02,4.60936327e-05,1.56486819e-06,0.00000000e+00,0.00000000e+00,6.45675128e-06,9.21913255e-07,0.00000000e+00,0.00000000e+00,3.48021350e-02,8.24251965e-04,2.63274231e+02,9.60499980e+00,0.00000000e+00,0.00000000e+00,5.25503843e-05,1.78219944e-06,0.00000000e+00,0.00000000e+00,1.82477000e+00,8.63468288e-03
