z_cm,pb_n2n,nXt
2.97500000e+01,6.05070665e-04,1.87003825e-03
2.98500000e+01,5.92297260e-04,1.88174875e-03
2.99500000e+01,5.84185253e-04,1.89022138e-03
3.00500000e+01,5.81018811e-04,1.88283017e-03
3.01500000e+01,5.77553843e-04,1.86075439e-03
3.02500000e+01,5.66188923e-04,1.86270521e-03
3.03500000e+01,5.62298998e-04,1.85574659e-03
3.04500000e+01,5.57359354e-04,1.86638032e-03
3.05500000e+01,5.55545827e-04,1.88252789e-03
3.06500000e+01,5.51524786e-04,1.87831571e-03
3.07500000e+01,5.44927308e-04,1.87367348e-03
3.08500000e+01,5.35450653e-04,1.85735620e-03
3.09500000e+01,5.26800455e-04,1.85376738e-03
3.10500000e+01,5.18758103e-04,1.86097722e-03
3.11500000e+01,5.12918325e-04,1.85803514e-03
3.12500000e+01,5.10725271e-04,1.84863076e-03
3.13500000e+01,5.10163617e-04,1.85713624e-03
3.14500000e+01,5.04867984e-04,1.85946688e-03
3.15500000e+01,4.89549468e-04,1.86471633e-03
3.16500000e+01,4.82799030e-04,1.85027237e-03
3.17500000e+01,4.84428889e-04,1.83530476e-03
3.18500000e+01,4.86428691e-04,1.83554031e-03
3.19500000e+01,4.86965181e-04,1.84301022e-03
3.20500000e+01,4.85385707e-04,1.82734050e-03
3.21500000e+01,4.96029454e-04,1.84206193e-03
3.22500000e+01,4.86718815e-04,1.82566924e-03
3.23500000e+01,4.77739520e-04,1.83146104e-03
3.24500000e+01,4.71677001e-04,1.83083832e-03
3.25500000e+01,4.66618026e-04,1.82656563e-03
3.26500000e+01,4.63407980e-04,1.80382029e-03
3.27500000e+01,4.56479509e-04,1.82330542e-03
3.28500000e+01,4.52505231e-04,1.82405406e-03
3.29500000e+01,4.48398174e-04,1.83878535e-03
3.30500000e+01,4.41637559e-04,1.83941152e-03
3.31500000e+01,4.36738325e-04,1.81693857e-03
3.32500000e+01,4.32568531e-04,1.82204778e-03
3.33500000e+01,4.21535928e-04,1.79796089e-03
3.34500000e+01,4.12313173e-04,1.79369017e-03
3.35500000e+01,4.16763401e-04,1.80001389e-03
3.36500000e+01,4.13453664e-04,1.80861642e-03
3.37500000e+01,4.10742547e-04,1.81583512e-03
3.38500000e+01,4.11274275e-04,1.80165568e-03
3.39500000e+01,4.13479979e-04,1.79434224e-03
3.40500000e+01,4.21433779e-04,1.79494932e-03
3.41500000e+01,4.21084506e-04,1.79924084e-03
3.42500000e+01,4.21021987e-04,1.79805904e-03
3.43500000e+01,4.19058818e-04,1.78910192e-03
3.44500000e+01,4.08021761e-04,1.77992502e-03
3.45500000e+01,3.95104946e-04,1.76174115e-03
3.46500000e+01,3.86923073e-04,1.77505190e-03
3.47500000e+01,3.86891787e-04,1.77193018e-03
3.48500000e+01,3.85342559e-04,1.75565797e-03
3.49500000e+01,3.82005816e-04,1.76233220e-03
3.50500000e+01,3.79602651e-04,1.76761176e-03
3.51500000e+01,3.70365686e-04,1.76687116e-03
3.52500000e+01,3.65757774e-04,1.75582095e-03
3.53500000e+01,3.62425788e-04,1.73326460e-03
3.54500000e+01,3.55812636e-04,1.71274754e-03
3.55500000e+01,3.59898124e-04,1.71930735e-03
3.56500000e+01,3.56547537e-04,1.72326532e-03
3.57500000e+01,3.47480362e-04,1.70601829e-03
3.58500000e+01,3.45352038e-04,1.72238566e-03
3.59500000e+01,3.48403001e-04,1.71911735e-03
3.60500000e+01,3.50222975e-04,1.73172120e-03
3.61500000e+01,3.49138106e-04,1.73618741e-03
3.62500000e+01,3.54956185e-04,1.71693401e-03
3.63500000e+01,3.41609752e-04,1.70217517e-03
3.64500000e+01,3.34969716e-04,1.71361882e-03
3.65500000e+01,3.28711678e-04,1.70282827e-03
3.66500000e+01,3.26173360e-04,1.68859822e-03
3.67500000e+01,3.25013378e-04,1.67972183e-03
3.68500000e+01,3.24799608e-04,1.69726839e-03
3.69500000e+01,3.23754040e-04,1.70518602e-03
3.70500000e+01,3.19696709e-04,1.68979820e-03
3.71500000e+01,3.12076804e-04,1.68027363e-03
3.72500000e+01,3.02087524e-04,1.67015403e-03
3.73500000e+01,3.00269758e-04,1.70432377e-03
3.74500000e+01,3.00277608e-04,1.69495274e-03
3.75500000e+01,2.95108650e-04,1.70362968e-03
3.76500000e+01,2.95748227e-04,1.68279519e-03
3.77500000e+01,2.89296931e-04,1.65349166e-03
3.78500000e+01,2.72851448e-04,1.66287590e-03
3.79500000e+01,2.68769280e-04,1.65964418e-03
3.80500000e+01,2.67315002e-04,1.66733343e-03
3.81500000e+01,2.67092559e-04,1.64557378e-03
3.82500000e+01,2.67101600e-04,1.63840415e-03
3.83500000e+01,2.62212347e-04,1.63251342e-03
3.84500000e+01,2.59099204e-04,1.63443567e-03
3.85500000e+01,2.58489661e-04,1.64011227e-03
3.86500000e+01,2.57758636e-04,1.62825516e-03
3.87500000e+01,2.60570897e-04,1.60982049e-03
3.88500000e+01,2.62229299e-04,1.58971303e-03
3.89500000e+01,2.63407424e-04,1.58045645e-03
3.90500000e+01,2.60724700e-04,1.58468032e-03
3.91500000e+01,2.53162165e-04,1.59899065e-03
3.92500000e+01,2.49873265e-04,1.59913143e-03
3.93500000e+01,2.47297816e-04,1.60272005e-03
3.94500000e+01,2.41394716e-04,1.61466771e-03
3.95500000e+01,2.38818196e-04,1.61262743e-03
3.96500000e+01,2.33078162e-04,1.62221098e-03
3.97500000e+01,2.32003644e-04,1.61513066e-03
3.98500000e+01,2.31819789e-04,1.60317039e-03
3.99500000e+01,2.31032264e-04,1.58636395e-03
4.00500000e+01,2.30842659e-04,1.58311644e-03
4.01500000e+01,2.29746635e-04,1.60049728e-03
4.02500000e+01,2.26679153e-04,1.58432014e-03
4.03500000e+01,2.24305427e-04,1.59280929e-03
4.04500000e+01,2.24435801e-04,1.57054102e-03
4.05500000e+01,2.17243359e-04,1.56659305e-03
4.06500000e+01,2.15731116e-04,1.57721120e-03
4.07500000e+01,2.15173030e-04,1.60276332e-03
4.08500000e+01,2.10929521e-04,1.60636026e-03
4.09500000e+01,2.09643429e-04,1.60040793e-03
4.10500000e+01,2.08763626e-04,1.60023701e-03
4.11500000e+01,2.07974842e-04,1.60139947e-03
4.12500000e+01,2.02889739e-04,1.55520848e-03
4.13500000e+01,1.96143184e-04,1.55574927e-03
4.14500000e+01,1.93844931e-04,1.56333730e-03
4.15500000e+01,1.90348389e-04,1.56557567e-03
4.16500000e+01,1.87218705e-04,1.54038486e-03
4.17500000e+01,1.87532609e-04,1.54665577e-03
4.18500000e+01,1.86217402e-04,1.55759111e-03
4.19500000e+01,1.86045898e-04,1.55723819e-03
4.20500000e+01,1.86045898e-04,1.54628051e-03
4.21500000e+01,1.83580167e-04,1.55437104e-03
4.22500000e+01,1.81705373e-04,1.53854678e-03
4.23500000e+01,1.79488706e-04,1.54120920e-03
4.24500000e+01,1.85195562e-04,1.54114053e-03
4.25500000e+01,1.86738077e-04,1.53893813e-03
4.26500000e+01,1.83692603e-04,1.55203921e-03
4.27500000e+01,1.83359406e-04,1.54576669e-03
4.28500000e+01,1.82739478e-04,1.55240409e-03
4.29500000e+01,1.84875095e-04,1.54019789e-03
4.30500000e+01,1.83263292e-04,1.53601017e-03
4.31500000e+01,1.84531328e-04,1.51227153e-03
4.32500000e+01,1.82841993e-04,1.50349828e-03
4.33500000e+01,1.80013217e-04,1.51204075e-03
4.34500000e+01,1.80078708e-04,1.51220440e-03
4.35500000e+01,1.77107480e-04,1.52195922e-03
4.36500000e+01,1.76670297e-04,1.49704716e-03
4.37500000e+01,1.74559126e-04,1.50884887e-03
4.38500000e+01,1.70952329e-04,1.53689832e-03
4.39500000e+01,1.65068352e-04,1.51845926e-03
4.40500000e+01,1.63965948e-04,1.53643219e-03
4.41500000e+01,1.64390924e-04,1.53743114e-03
4.42500000e+01,1.62828134e-04,1.53000623e-03
4.43500000e+01,1.61852936e-04,1.52663871e-03
4.44500000e+01,2.30455523e-04,1.52753015e-03
4.45500000e+01,1.92798376e-04,1.52789618e-03
4.46500000e+01,1.44311253e-04,1.51905595e-03
4.47500000e+01,1.39209473e-04,1.49023707e-03
4.48500000e+01,1.38651902e-04,1.48691966e-03
4.49500000e+01,1.32842327e-04,1.48989484e-03
4.50500000e+01,1.31855630e-04,1.48900418e-03
4.51500000e+01,1.29585169e-04,1.46909947e-03
4.52500000e+01,1.27525880e-04,1.47557288e-03
