nuclide,atoms
U238,6.094102e+24
Zr90,1.146431e+24
U235,1.085325e+24
Zr94,4.036797e+23
Zr92,3.978155e+23
Zr91,2.659700e+23
Pu239,1.399289e+23
Zr96,8.073936e+22
U236,5.872473e+22
Xe134,2.335016e+22
Ba138,1.979468e+22
Cs133,1.979253e+22
Cs135,1.969924e+22
Zr93,1.941067e+22
Xe136,1.929935e+22
Mo95,1.918601e+22
Mo100,1.891047e+22
La139,1.877037e+22
Ce140,1.827598e+22
Tc99,1.779623e+22
Mo97,1.764249e+22
Mo98,1.734247e+22
Pr141,1.707551e+22
Nd143,1.695243e+22
Ce142,1.689420e+22
Ru101,1.549356e+22
Nd144,1.536118e+22
Ru102,1.412045e+22
Xe132,1.336167e+22
Cs137,1.324264e+22
Y89,1.295957e+22
Nd145,1.143757e+22
Sr90,1.115476e+22
Rh103,1.044643e+22
Sr88,9.699089e+21
Nd146,9.123477e+21
Xe131,8.785747e+21
Rb87,7.232416e+21
Ru104,7.208151e+21
Sm147,5.718088e+21
Te130,5.533020e+21
Kr86,5.177402e+21
Nd148,5.096812e+21
Ba137,5.073567e+21
Pd105,4.469534e+21
Rb85,3.539061e+21
Sm149,3.237564e+21
Kr84,2.821786e+21
Pu240,2.508792e+21
Pd106,2.464082e+21
Nd150,2.177626e+21
Np237,2.129148e+21
I129,1.879291e+21
Kr83,1.517093e+21
Pd107,1.311725e+21
Sm151,1.184164e+21
Te128,1.082219e+21
Sm152,1.017164e+21
Se82,9.204139e+20
Pm147,8.517480e+20
Pd108,7.122376e+20
Ce144,5.850539e+20
Ru100,5.760854e+20
Br81,5.630078e+20
Eu153,5.534428e+20
I127,5.059295e+20
Kr85,3.956063e+20
Ag109,3.864756e+20
Se80,3.536279e+20
Sm154,2.928838e+20
Pd104,2.643365e+20
Ba134,2.575576e+20
Mo96,2.480737e+20
Sm148,2.257007e+20
Pd110,2.104408e+20
Sm150,2.065731e+20
Sn126,1.894487e+20
U234,1.773955e+20
Ba136,1.650818e+20
Zr95,1.643403e+20
Ru106,1.499387e+20
Eu151,1.319689e+20
Se79,1.283638e+20
Y91,1.223585e+20
Pu238,1.153350e+20
Cd111,1.106976e+20
Gd155,1.086007e+20
Te125,9.984673e+19
Sn124,9.436365e+19
Nb95,8.978819e+19
Gd156,8.769930e+19
Sr89,8.352901e+19
He4,7.586455e+19
Ce141,7.327710e+19
Cd112,7.290055e+19
Nd142,6.230817e+19
Cd113,6.150439e+19
Ru103,5.973619e+19
Sb123,5.959143e+19
Se78,5.944882e+19
Sn122,5.885755e+19
Cs134,5.880576e+19
Cd116,5.341037e+19
Cd114,5.255885e+19
Np239,5.177421e+19
Sn117,5.059995e+19
Sn119,4.952901e+19
Sn120,4.890496e+19
Sn118,4.745252e+19
In115,4.671499e+19
Sb121,4.654225e+19
Gd157,4.017011e+19
Eu155,3.823960e+19
Sr86,3.097569e+19
Ba140,3.044865e+19
Pr143,3.016840e+19
Xe130,2.905541e+19
Pu241,2.537628e+19
Eu154,2.326042e+19
Se77,2.203164e+19
Gd158,2.192791e+19
Gd154,2.087107e+19
Sb125,1.697394e+19
Xe133,1.394773e+19
Xe128,1.045378e+19
Nd147,9.845765e+18
I131,9.559255e+18
Am241,9.151970e+18
Cd110,8.858078e+18
Ge76,8.595945e+18
Te126,8.228543e+18
Tb159,8.216338e+18
Eu152,7.351286e+18
Mo99,6.684418e+18
Te132,5.633216e+18
H1,4.758043e+18
Kr82,4.639852e+18
La140,4.021712e+18
Gd160,3.423695e+18
U237,3.277399e+18
Ce143,3.059738e+18
As75,3.029858e+18
Sn121_m1,2.944009e+18
Y90,2.836970e+18
Sn115,2.347156e+18
I133,2.296992e+18
Ba135,1.773251e+18
Zr97,1.628531e+18
Te129_m1,1.487704e+18
Ru99,1.455630e+18
Te127_m1,1.358312e+18
Dy161,1.320035e+18
Sn116,1.299677e+18
Rh105,1.063377e+18
Ge74,1.060817e+18
Pm149,1.020177e+18
Xe135,1.003807e+18
Y93,9.862462e+17
Sr91,8.378823e+17
Gd152,8.378150e+17
Te122,8.163303e+17
Te124,7.341654e+17
I135,6.858261e+17
Dy162,5.554969e+17
Cs136,5.470915e+17
Tc99_m1,5.348559e+17
Dy160,4.628888e+17
Cd113_m1,4.458190e+17
Pr145,3.739850e+17
La141,3.676698e+17
Ge73,3.615251e+17
U239,3.578737e+17
In113,3.441272e+17
Sr87,3.269403e+17
Y92,3.198380e+17
Pu242,3.142078e+17
Sb127,2.918494e+17
Mo94,2.819085e+17
Sr92,2.421344e+17
Te131_m1,2.414960e+17
Pm151,2.332403e+17
La138,2.295714e+17
Dy163,2.243654e+17
Te125_m1,2.229530e+17
Eu156,2.033007e+17
Sm146,1.814031e+17
Pm148_m1,1.731546e+17
Xe133_m1,1.713898e+17
I132,1.696968e+17
Sm153,1.667019e+17
Rb86,1.643492e+17
Ag111,1.570004e+17
Xe131_m1,1.530716e+17
Kr88,1.440591e+17
Ba139,1.417000e+17
La142,1.394322e+17
Ru105,1.335291e+17
Tc98,1.211626e+17
Nb97,1.172130e+17
I134,1.110886e+17
Sn123,1.065116e+17
Ge72,1.053427e+17
Dy164,1.009795e+17
Nb95_m1,1.001378e+17
U233,9.236827e+16
Kr85_m1,9.208558e+16
Np238,8.846927e+16
Nb93_m1,8.774202e+16
Xe129,8.039107e+16
Te134,7.668712e+16
Br79,7.403733e+16
Sn119_m1,6.762429e+16
Cs138,5.961971e+16
Rh103_m1,5.861525e+16
Sn125,5.756553e+16
Th232,5.728283e+16
Te133_m1,4.963826e+16
Sb129,4.864831e+16
Kr87,4.852022e+16
Pd109,4.815831e+16
Ho165,4.615253e+16
Nb93,4.460094e+16
Se76,4.452011e+16
Am242_m1,4.245088e+16
Y91_m1,4.241619e+16
Ga71,4.216798e+16
Pa231,3.370002e+16
Ag110_m1,3.350399e+16
Nd149,3.320986e+16
Y94,3.069871e+16
Er166,2.997987e+16
Te127,2.940739e+16
Ba141,2.844895e+16
Pm148,2.672347e+16
Zn70,2.597200e+16
Pr144,2.464206e+16
Cm242,2.446455e+16
Np236,2.362015e+16
Xe138,2.347373e+16
La143,2.176977e+16
Mo101,2.160909e+16
Tc101,2.100833e+16
Pr146,1.969527e+16
Br83,1.962453e+16
Te131,1.839845e+16
Cd115_m1,1.829708e+16
Rb89,1.729887e+16
Y95,1.703278e+16
Sb131,1.645953e+16
Er167,1.626968e+16
Ga69,1.591918e+16
Ba142,1.591043e+16
Cs139,1.560914e+16
Cd115,1.550467e+16
Rb88,1.516004e+16
Kr83_m1,1.496053e+16
Mo102,1.446368e+16
Pr142,1.347297e+16
Tc104,1.331826e+16
Te133,1.273886e+16
Te129,1.225357e+16
Sb124,1.221383e+16
Pm146,1.196192e+16
Sr93,1.177452e+16
Pd102,1.138050e+16
Ce146,1.100779e+16
Tb160,1.075153e+16
Zn68,1.071920e+16
Pd112,1.036958e+16
Er168,1.022475e+16
Sn114,8.328604e+15
Pr147,8.250248e+15
Sb130,8.113069e+15
Br84,7.759392e+15
Sn121,7.671733e+15
Zn67,7.554161e+15
Th230,7.514117e+15
Xe137,6.308295e+15
Sn128,5.758817e+15
Te123,5.699712e+15
Nb94,5.546284e+15
Tm169,5.431891e+15
Sb126,5.375249e+15
Xe135_m1,5.319261e+15
Ce139,5.153644e+15
Sm156,5.080988e+15
As77,4.753936e+15
Eu157,4.289442e+15
Sb128,4.186159e+15
Sn127,3.922636e+15
I130,3.742387e+15
Tc105,3.734685e+15
Rh107,3.718935e+15
Rh102,3.437069e+15
Kr89,3.427179e+15
Kr80,3.417318e+15
Yb172,3.316495e+15
Er170,3.187212e+15
Ce145,3.134553e+15
Rb90,2.759341e+15
Se83,2.741808e+15
Am243,2.503047e+15
Ba132,2.095155e+15
Gd153,2.064286e+15
U232,2.039864e+15
