r_cm,depth_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_local_mean,heating_local_std,fission_q_recoverable_mean,fission_q_recoverable_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_r_mean,current_r_std
3.00012519e-01,5.00125188e-02,3.65902889e-04,1.34420861e-06,0.00000000e+00,0.00000000e+00,1.37904993e-05,5.71204241e-07,1.32079396e-02,4.89447469e-05,2.90706886e-01,1.02085168e-03,5.96390705e+04,2.18609430e+02,0.00000000e+00,0.00000000e+00,5.78875009e-05,7.44877813e-07,0.00000000e+00,0.00000000e+00,6.34400000e-02,9.23686072e-04
4.00037556e-01,1.50037556e-01,2.83039404e-04,1.04486932e-06,0.00000000e+00,0.00000000e+00,1.34616541e-05,5.51795261e-07,9.67542028e-03,3.21765406e-05,2.53538863e-01,1.13269091e-03,4.45502759e+04,1.52773633e+02,0.00000000e+00,0.00000000e+00,5.91072539e-05,7.82292832e-07,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00062594e-01,2.50062594e-01,2.69764776e-04,1.01580463e-06,0.00000000e+00,0.00000000e+00,1.53929840e-05,7.27902111e-07,8.88518905e-03,3.06170446e-05,2.60924570e-01,1.09314751e-03,4.14710168e+04,1.44397096e+02,0.00000000e+00,0.00000000e+00,6.61807792e-05,9.23666930e-07,0.00000000e+00,0.00000000e+00,1.29204000e+00,2.18071993e-03
6.00087631e-01,3.50087631e-01,2.67636750e-04,9.98417520e-07,0.00000000e+00,0.00000000e+00,1.73668398e-05,8.03290936e-07,8.47064440e-03,2.82750292e-05,2.75438785e-01,1.09162642e-03,4.00160556e+04,1.39422941e+02,0.00000000e+00,0.00000000e+00,7.53821050e-05,1.00275161e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00112669e-01,4.50112669e-01,2.68397209e-04,9.71000596e-07,0.00000000e+00,0.00000000e+00,1.87721143e-05,6.40477865e-07,8.18572909e-03,2.67488982e-05,2.91123626e-01,1.18302648e-03,3.91435891e+04,1.31728858e+02,0.00000000e+00,0.00000000e+00,8.36317842e-05,9.39206486e-07,0.00000000e+00,0.00000000e+00,1.35214000e+00,2.47480293e-03
8.00137707e-01,5.50137707e-01,2.69490591e-04,9.93783213e-07,0.00000000e+00,0.00000000e+00,2.09502882e-05,7.28697132e-07,7.95698113e-03,2.43442940e-05,3.06995670e-01,1.30058813e-03,3.84811611e+04,1.28978275e+02,0.00000000e+00,0.00000000e+00,9.17807623e-05,1.07950449e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00162744e-01,6.50162744e-01,2.72531930e-04,9.75283480e-07,0.00000000e+00,0.00000000e+00,2.29158308e-05,9.33090264e-07,7.79443143e-03,2.49388577e-05,3.23203610e-01,1.32006629e-03,3.80394391e+04,1.25978053e+02,0.00000000e+00,0.00000000e+00,1.00482794e-04,1.31313785e-06,0.00000000e+00,0.00000000e+00,1.41120000e+00,2.64349767e-03
1.00018778e+00,7.50187782e-01,2.75200060e-04,9.65769599e-07,0.00000000e+00,0.00000000e+00,2.54672351e-05,1.11495195e-06,7.64433855e-03,2.46216262e-05,3.38299340e-01,1.35881577e-03,3.76014445e+04,1.18635793e+02,0.00000000e+00,0.00000000e+00,1.08995612e-04,1.43682621e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10021282e+00,8.50212819e-01,2.79136313e-04,9.08634916e-07,0.00000000e+00,0.00000000e+00,2.84111969e-05,1.92638613e-06,7.48766214e-03,2.05387999e-05,3.57452297e-01,1.50071580e-03,3.72574571e+04,1.06135279e+02,0.00000000e+00,0.00000000e+00,1.19153918e-04,2.18579376e-06,0.00000000e+00,0.00000000e+00,1.46959000e+00,2.78839920e-03
1.20023786e+00,9.50237857e-01,2.84215604e-04,9.56604682e-07,0.00000000e+00,0.00000000e+00,3.03740011e-05,1.62240278e-06,7.36795802e-03,2.22744415e-05,3.74352725e-01,1.49818055e-03,3.70041987e+04,1.02252867e+02,0.00000000e+00,0.00000000e+00,1.28670544e-04,2.12004595e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.30026289e+00,1.05026289e+00,2.88527048e-04,1.02000948e-06,0.00000000e+00,0.00000000e+00,3.24338302e-05,1.65724901e-06,7.24592963e-03,2.02293054e-05,3.91976267e-01,1.53843881e-03,3.67474787e+04,1.01862285e+02,0.00000000e+00,0.00000000e+00,1.37430747e-04,2.11713533e-06,0.00000000e+00,0.00000000e+00,1.52592000e+00,3.00126828e-03
