r_cm,depth_cm,nXt_mean,nXt_std,fission_mean,fission_std,ngamma_mean,ngamma_std,n2n_mean,n2n_std,flux_mean,flux_std,heating_mean,heating_std,absorption_mean,absorption_std,nu_fission_mean,nu_fission_std,current_r_mean,current_r_std
3.00012519e-01,5.00125188e-02,3.69837630e-04,1.33969080e-06,0.00000000e+00,0.00000000e+00,1.63761914e-05,7.59796822e-07,1.32079396e-02,4.89447469e-05,3.02898273e-01,1.11459636e-03,6.44710582e+03,2.26091831e+01,6.44429047e-05,8.86422909e-07,0.00000000e+00,0.00000000e+00,7.37947653e-02,1.01258880e-03
4.00037556e-01,1.50037556e-01,2.87907635e-04,1.07263568e-06,0.00000000e+00,0.00000000e+00,1.77153473e-05,1.16834524e-06,9.67542028e-03,3.21765406e-05,2.69710436e-01,1.20760219e-03,4.93608453e+03,1.67594014e+01,6.82777785e-05,1.33561357e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00062594e-01,2.50062594e-01,2.76293229e-04,1.13024146e-06,0.00000000e+00,0.00000000e+00,1.95820037e-05,1.14716598e-06,8.88518905e-03,3.06170446e-05,2.81122258e-01,1.30032580e-03,4.67887135e+03,1.63335788e+01,7.69845637e-05,1.35614896e-06,0.00000000e+00,0.00000000e+00,1.34344432e+00,2.48961806e-03
6.00087631e-01,3.50087631e-01,2.74852273e-04,1.02690271e-06,0.00000000e+00,0.00000000e+00,2.15897861e-05,1.08155599e-06,8.47064440e-03,2.82750292e-05,2.99257464e-01,1.18724574e-03,4.59531003e+03,1.48745204e+01,8.68675419e-05,1.26014174e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00112669e-01,4.50112669e-01,2.77553963e-04,9.87591343e-07,0.00000000e+00,0.00000000e+00,2.29029928e-05,7.10701079e-07,8.18572909e-03,2.67488982e-05,3.19207313e-01,1.33432648e-03,4.57153377e+03,1.37822893e+01,9.69525907e-05,1.02877990e-06,0.00000000e+00,0.00000000e+00,1.41602432e+00,2.85434608e-03
8.00137707e-01,5.50137707e-01,2.80509328e-04,1.05230889e-06,0.00000000e+00,0.00000000e+00,2.45944732e-05,6.98688584e-07,7.95698113e-03,2.43442940e-05,3.39398277e-01,1.41807050e-03,4.56452652e+03,1.44626346e+01,1.06418196e-04,1.04821264e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
9.00162744e-01,6.50162744e-01,2.84364946e-04,1.04917569e-06,0.00000000e+00,0.00000000e+00,2.74852668e-05,7.23473583e-07,7.79443143e-03,2.49388577e-05,3.59419440e-01,1.44084445e-03,4.57929934e+03,1.38172037e+01,1.16938428e-04,1.08706524e-06,0.00000000e+00,0.00000000e+00,1.48715903e+00,2.98581772e-03
1.00018778e+00,7.50187782e-01,2.88850817e-04,1.15657625e-06,0.00000000e+00,0.00000000e+00,3.00483462e-05,8.73451434e-07,7.64433855e-03,2.46216262e-05,3.79221459e-01,1.59099891e-03,4.59708716e+03,1.37535691e+01,1.27297240e-04,1.36804840e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.10021282e+00,8.50212819e-01,2.94133815e-04,1.10207107e-06,0.00000000e+00,0.00000000e+00,3.18116831e-05,8.25048981e-07,7.48766214e-03,2.05387999e-05,4.02090490e-01,1.74671563e-03,4.62805541e+03,1.28297303e+01,1.37476596e-04,1.35204212e-06,0.00000000e+00,0.00000000e+00,1.55685903e+00,3.16387859e-03
1.20023786e+00,9.50237857e-01,2.99823432e-04,1.10123370e-06,0.00000000e+00,0.00000000e+00,3.36162821e-05,8.57988753e-07,7.36795802e-03,2.22744415e-05,4.23464834e-01,1.75171625e-03,4.66252757e+03,1.24620414e+01,1.47466541e-04,1.42346769e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.30026289e+00,1.05026289e+00,3.04985059e-04,1.18496223e-06,0.00000000e+00,0.00000000e+00,3.66924167e-05,1.48333070e-06,7.24592963e-03,2.02293054e-05,4.43748994e-01,1.87661103e-03,4.69469568e+03,1.27884050e+01,1.58069124e-04,1.87043272e-06,0.00000000e+00,0.00000000e+00,1.62442903e+00,3.42526718e-03
1.40028793e+00,1.15028793e+00,3.11546639e-04,1.16616793e-06,0.00000000e+00,0.00000000e+00,3.98457710e-05,1.64249134e-06,7.15671773e-03,2.24956966e-05,4.64745166e-01,1.93093312e-03,4.74217134e+03,1.30544746e+01,1.69638676e-04,2.07087020e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.50031297e+00,1.25031297e+00,3.17000249e-04,1.22585035e-06,0.00000000e+00,0.00000000e+00,4.28787520e-05,1.84052599e-06,7.05439084e-03,2.29503054e-05,4.85180905e-01,2.00406650e-03,4.77441247e+03,1.35856996e+01,1.80477109e-04,2.33402022e-06,0.00000000e+00,0.00000000e+00,1.69153903e+00,3.55820890e-03
1.60033801e+00,1.35033801e+00,3.23018310e-04,1.36313523e-06,0.00000000e+00,0.00000000e+00,4.43749835e-05,1.17989879e-06,6.94763945e-03,2.19677916e-05,5.04885952e-01,2.17169412e-03,4.81054244e+03,1.43008916e+01,1.90179513e-04,1.85324526e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.70036304e+00,1.45036304e+00,3.29802227e-04,1.40349935e-06,0.00000000e+00,0.00000000e+00,4.50590464e-05,9.26300531e-07,6.85121499e-03,1.89062362e-05,5.26113653e-01,2.29571728e-03,4.85724085e+03,1.37692082e+01,1.99666138e-04,1.77366759e-06,0.00000000e+00,0.00000000e+00,1.75595339e+00,3.93411538e-03
1.80038808e+00,1.55038808e+00,3.36358936e-04,1.47845574e-06,0.00000000e+00,0.00000000e+00,4.82557238e-05,1.15674955e-06,6.77534659e-03,2.26553232e-05,5.45152916e-01,2.24504520e-03,4.90108993e+03,1.45009174e+01,2.10927665e-04,1.97848669e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.90041312e+00,1.65041312e+00,3.42415887e-04,1.39792172e-06,0.00000000e+00,0.00000000e+00,5.02526483e-05,1.03149704e-06,6.66559674e-03,2.18741428e-05,5.66521763e-01,2.18395930e-03,4.92993710e+03,1.34611446e+01,2.21516584e-04,1.76274426e-06,0.00000000e+00,0.00000000e+00,1.82116775e+00,4.16709799e-03
2.00043816e+00,1.75043816e+00,3.48707532e-04,1.53581939e-06,0.00000000e+00,0.00000000e+00,5.17791068e-05,1.07731904e-06,6.59778474e-03,2.39412492e-05,5.85407366e-01,2.38690557e-03,4.98262218e+03,1.41765392e+01,2.30498530e-04,1.80485613e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.10046319e+00,1.85046319e+00,3.55147893e-04,1.47673411e-06,0.00000000e+00,0.00000000e+00,5.48516793e-05,1.21956107e-06,6.50099986e-03,2.44129325e-05,6.07797758e-01,2.42930671e-03,5.02950447e+03,1.45081065e+01,2.42080364e-04,1.96496349e-06,0.00000000e+00,0.00000000e+00,1.88454775e+00,4.43857858e-03
2.20048823e+00,1.95048823e+00,3.62012821e-04,1.56345707e-06,0.00000000e+00,0.00000000e+00,5.74710383e-05,1.18056139e-06,6.41926720e-03,2.27424142e-05,6.29211626e-01,2.64910775e-03,5.07280944e+03,1.53429021e+01,2.52849491e-04,2.10885836e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.30051327e+00,2.05051327e+00,3.69850917e-04,1.70227479e-06,0.00000000e+00,0.00000000e+00,5.90525556e-05,1.14443613e-06,6.35865311e-03,2.54144502e-05,6.49726111e-01,2.80572737e-03,5.12714773e+03,1.69366507e+01,2.63476812e-04,2.23624679e-06,0.00000000e+00,0.00000000e+00,1.94836775e+00,4.75252160e-03
2.40053831e+00,2.15053831e+00,3.75017021e-04,1.79396806e-06,0.00000000e+00,0.00000000e+00,6.10393725e-05,1.21508834e-06,6.26522234e-03,2.39113127e-05,6.68632437e-01,2.88885647e-03,5.15846250e+03,1.66279231e+01,2.72829572e-04,2.26895133e-06,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.50056335e+00,2.25056335e+00,3.81893078e-04,1.84942391e-06,0.00000000e+00,0.00000000e+00,6.50176640e-05,1.66316839e-06,6.18367100e-03,2.46907940e-05,6.89751672e-01,3.01252809e-03,5.20013496e+03,1.75748052e+01,2.85726535e-04,2.76275479e-06,0.00000000e+00,0.00000000e+00,2.01151810e+00,4.90336610e-03
